title,date
증권가 주목 루머들,2022.02.07 23:18
스톡옵션,2022.02.07 23:06
카카오게임즈 실적 증권가 전망,2022.02.07 23:03
실적하향이다,2022.02.07 22:21
아름다운 조정이구먼,2022.02.07 22:05
ㅋㅋ OOO들많네,2022.02.07 22:05
현재 시각 10시 1분,2022.02.07 22:01
보라 파트너스 데이 시작시간 및 참가기업,2022.02.07 21:29
2.8일 보라 파트너스데이2.0,2022.02.07 21:26
공매도 집중 폭격대상 카겜. 진정한 2022년 게임 대장주 썸에이지.,2022.02.07 21:26
보라 2.0 파트너스데이 그거,2022.02.07 21:18
듣다가 뿜은 병맛 주식 노래 (쓸고퀄),2022.02.07 21:04
이거 너무헌거 아니냐고 OOO,2022.02.07 21:14
여러 기관들은 아금 야금 순매수 들어옴,2022.02.07 20:54
보라 2.0 하루 앞둔 카카오게임즈...연기금도 '카겜' 사들인 이유,2022.02.07 20:50
"말딸 , 오딘 공성전 , 대만 출시....",2022.02.07 20:39
종가 추매 완료 굿~~~~,2022.02.07 20:27
낼  그리고 모레,2022.02.07 20:14
수요일!  말딸 출시일 발표가 유력하다!,2022.02.07 20:10
형들 늦지마,2022.02.07 19:54
하 근데 다른 것보다,2022.02.07 19:35
다음 테마는 블록체인입니다,2022.02.07 19:22
대차보소ㅋㅋㅋ,2022.02.07 19:20
대차보소ㅋㅋㅋ,2022.02.07 19:57
형들 ,2022.02.07 19:16
키움증권에서...,2022.02.07 18:54
낼,2022.02.07 18:53
대차,2022.02.07 18:23
말딸 언제나와,2022.02.07 18:07
형이 말햇지.. ,2022.02.07 18:06
내가 뭐랬니 음봉 떠도 쫄지마라했지??,2022.02.07 18:02
보라코인 낼 행사하는건 맞음?,2022.02.07 17:38
늘그렇듯이~,2022.02.07 17:36
그래서 내일은 오르나ㆍㆍ,2022.02.07 17:24
보라는 오르는데,2022.02.07 17:08
오늘 외인겁나게 팔아먹었는데 주가,2022.02.07 17:06
2011년 이후 물가지수 최대폭 상승이란다.,2022.02.07 17:03
와라 5만원대,2022.02.07 16:48
공매도들 혼날려고 또들어왓냐,2022.02.07 16:43
편안하게 장기보유,2022.02.07 16:29
ㄷㄷ 시외 왜 폭등함,2022.02.07 16:28
담주,2022.02.07 16:25
카겜이 오늘도 수고했다,2022.02.07 16:24
아따 시부엉,2022.02.07 16:22
오늘 외인 매도가 다행..,2022.02.07 16:06
스톡옵션을 스탠리창구로 받을 수 있던가?,2022.02.07 15:54
뭐여 기관도 받았네 ㅋ,2022.02.07 15:52
뭐여 기관도 받았네 ㅋ,2022.02.07 16:10
20만주 스톡옵션 모간서울이 받았냐?,2022.02.07 15:52
오늘 ,2022.02.07 15:47
매동,2022.02.07 15:38
쫄지마라 ㅋㅋㅋㅋㅋ,2022.02.07 15:36
스탠리막판 20만주채웠나,2022.02.07 15:36
우마무스메 연기,2022.02.07 15:35
마지막까지 끝장나게 팔았네,2022.02.07 15:32
기업설명회 당일 이후.. 폭락 예상,2022.02.07 15:25
개돼지들 떠들어서 공매쳤더니,2022.02.07 15:25
내일 보라 모레 카겜 IR,2022.02.07 15:23
냅둬유,2022.02.07 15:20
힘내라 모건,2022.02.07 15:19
재미지네 ㅋㅋ,2022.02.07 15:17
오늘 최종 매동보면 누가 받는지 알겠지,2022.02.07 15:16
