일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/02/18","171.85","-0.12","-0.07","169.31","174.22","167.27","3921.0","136.0","31954.0"
"2022/02/17","171.97","7.92","4.83","165.14","173.55","163.91","8824.0","334.0","31977.0"
"2022/02/16","164.05","6.19","3.92","160.59","164.17","159.98","4356.0","140.0","30503.0"
"2022/02/15","157.86","0.21","0.13","156.43","159.50","155.80","4138.0","117.0","29353.0"
"2022/02/14","157.65","4.12","2.68","151.45","157.66","149.76","4753.0","127.0","29314.0"
"2022/02/11","153.53","-1.23","-0.79","152.71","156.29","151.16","6060.0","134.0","28547.0"
"2022/02/10","154.76","-3.41","-2.16","159.79","159.79","154.05","7059.0","219.0","28777.0"
"2022/02/09","158.17","0.69","0.44","159.48","159.62","156.30","6041.0","124.0","29411.0"
"2022/02/08","157.48","5.46","3.59","152.61","158.01","152.61","6196.0","219.0","29282.0"
"2022/02/07","152.02","0.47","0.31","150.42","157.23","150.42","8281.0","286.0","28268.0"
"2022/02/04","151.55","3.35","2.26","148.09","151.81","147.88","4416.0","97.0","28179.0"
"2022/02/03","148.20","0.92","0.62","149.53","150.64","147.96","3708.0","106.0","27556.0"
"2022/01/28","147.28","4.06","2.83","144.84","147.68","143.09","3490.0","99.0","27386.0"
"2022/01/27","143.22","-2.69","-1.84","145.91","147.40","142.54","4542.0","115.0","26631.0"
"2022/01/26","145.91","1.37","0.95","145.04","150.77","145.04","4882.0","151.0","27132.0"
"2022/01/25","144.54","-5.07","-3.39","149.16","150.31","144.14","4710.0","115.0","26876.0"
"2022/01/24","149.61","-5.46","-3.52","154.43","154.87","149.29","3431.0","97.0","27820.0"
"2022/01/21","155.07","2.84","1.87","150.82","157.98","150.23","6601.0","239.0","28834.0"
"2022/01/20","152.23","1.63","1.08","151.55","153.31","146.59","7152.0","231.0","28306.0"
"2022/01/19","150.60","-3.86","-2.50","150.98","154.60","148.56","5676.0","175.0","28003.0"
"2022/01/18","154.46","-4.60","-2.89","159.53","159.79","153.92","5421.0","173.0","28720.0"
"2022/01/17","159.06","-3.61","-2.22","161.40","162.54","157.94","5393.0","158.0","29576.0"
"2022/01/14","162.67","-6.33","-3.75","167.60","167.80","162.00","6107.0","197.0","30247.0"
"2022/01/13","169.00","-1.36","-0.80","170.88","172.38","168.86","3339.0","106.0","31424.0"
"2022/01/12","170.36","0.08","0.05","171.04","172.94","169.69","5383.0","185.0","31677.0"
"2022/01/11","170.28","-4.08","-2.34","173.80","174.82","169.69","6771.0","216.0","31662.0"
"2022/01/10","174.36","-8.72","-4.76","181.32","181.77","172.26","8006.0","250.0","32422.0"
"2022/01/07","183.08","-2.51","-1.35","185.30","186.06","182.87","3170.0","83.0","34043.0"
"2022/01/06","185.59","0.60","0.32","183.81","187.59","182.31","4550.0","146.0","34510.0"
"2022/01/05","184.99","-4.12","-2.18","189.59","189.80","183.26","4125.0","135.0","34398.0"
"2022/01/04","189.11","-4.39","-2.27","193.96","193.96","188.44","2308.0","81.0","35163.0"
"2022/01/03","193.50","0.44","0.23","194.53","195.26","192.59","2095.0","56.0","35980.0"
"2021/12/30","193.06","-2.67","-1.36","195.73","195.73","193.05","2534.0","53.0","35898.0"
"2021/12/29","195.73","-3.90","-1.95","196.59","196.96","195.32","5383.0","80.0","36394.0"
"2021/12/28","199.63","2.77","1.41","196.81","199.63","195.19","5318.0","99.0","37121.0"
"2021/12/27","196.86","-2.75","-1.38","199.41","199.41","196.60","3154.0","66.0","36605.0"
"2021/12/24","199.61","-0.87","-0.43","199.97","201.24","198.95","3043.0","57.0","37117.0"
"2021/12/23","200.48","-0.75","-0.37","201.95","201.95","198.00","3997.0","86.0","37277.0"
"2021/12/22","201.23","-1.64","-0.81","204.05","204.11","200.97","2842.0","57.0","37416.0"
"2021/12/21","202.87","-1.86","-0.91","204.94","206.16","201.09","4886.0","88.0","37722.0"
"2021/12/20","204.73","-4.70","-2.24","207.17","207.44","203.96","2806.0","66.0","38068.0"
"2021/12/17","209.43","2.98","1.44","205.69","209.43","205.39","15640.0","522.0","38942.0"
"2021/12/16","206.45","1.31","0.64","206.37","206.70","204.18","2117.0","72.0","38388.0"
"2021/12/15","205.14","-1.02","-0.49","205.71","206.93","204.43","1939.0","88.0","38145.0"
"2021/12/14","206.16","-0.83","-0.40","205.45","208.27","205.05","1676.0","63.0","38335.0"
"2021/12/13","206.99","0.20","0.10","207.82","210.21","206.74","2402.0","111.0","38489.0"
"2021/12/10","206.79","-2.25","-1.08","209.86","210.43","206.02","3077.0","160.0","38452.0"
"2021/12/09","209.04","-8.22","-3.78","210.04","210.82","207.49","14201.0","830.0","38869.0"
"2021/12/08","217.26","-0.19","-0.09","218.94","220.93","216.23","1911.0","72.0","40397.0"
"2021/12/07","217.45","5.00","2.35","212.98","218.47","212.98","2140.0","85.0","40434.0"
"2021/12/06","212.45","-4.40","-2.03","217.61","217.61","211.07","2328.0","94.0","39503.0"
"2021/12/03","216.85","7.40","3.53","210.16","218.38","208.95","3135.0","126.0","40322.0"
"2021/12/02","209.45","0.30","0.14","207.72","210.37","205.42","2323.0","81.0","38945.0"
"2021/12/01","209.15","-0.61","-0.29","211.60","213.99","207.16","3306.0","140.0","38889.0"
"2021/11/30","209.76","-13.87","-6.20","225.05","228.69","204.90","10781.0","522.0","39003.0"
"2021/11/29","223.63","4.33","1.97","219.27","225.42","211.48","5216.0","233.0","41583.0"
"2021/11/26","219.30","0.14","0.06","221.20","222.47","215.23","4222.0","211.0","40777.0"
"2021/11/25","219.16","7.56","3.57","212.38","219.41","210.89","3709.0","195.0","40747.0"
"2021/11/24","211.60","0.30","0.14","212.21","213.90","209.60","2555.0","87.0","39341.0"
"2021/11/23","211.30","2.49","1.19","208.77","212.57","207.75","2174.0","90.0","39286.0"
"2021/11/22","208.81","-2.72","-1.29","211.33","211.33","204.75","2304.0","90.0","38824.0"
"2021/11/19","211.53","1.08","0.51","210.55","211.53","207.49","2331.0","95.0","39328.0"
"2021/11/18","210.45","3.96","1.92","207.00","210.45","206.28","2464.0","109.0","39127.0"
"2021/11/17","206.49","0.91","0.44","207.16","207.47","204.15","2777.0","100.0","38392.0"
"2021/11/16","205.58","0.46","0.22","205.13","205.58","201.65","1894.0","77.0","38222.0"
