일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/02/18","1111.83","-1.82","-0.16","1096.83","1117.96","1093.45","2450.0","320.0","49985.0"
"2022/02/17","1113.65","-12.40","-1.10","1128.29","1138.54","1098.09","3919.0","481.0","50049.0"
"2022/02/16","1126.05","14.22","1.28","1112.08","1130.95","1096.05","3975.0","600.0","50705.0"
"2022/02/15","1111.83","4.16","0.38","1114.15","1148.99","1107.60","4544.0","593.0","50081.0"
"2022/02/14","1107.67","-3.11","-0.28","1090.28","1114.33","1081.78","3778.0","496.0","49681.0"
"2022/02/11","1110.78","-55.95","-4.80","1125.95","1137.15","1105.54","5169.0","910.0","49639.0"
"2022/02/10","1166.73","-16.05","-1.36","1192.40","1201.19","1160.18","4720.0","560.0","52593.0"
"2022/02/09","1182.78","-3.71","-0.31","1201.79","1202.16","1176.12","3870.0","379.0","53314.0"
"2022/02/08","1186.49","5.31","0.45","1191.10","1215.70","1174.37","4885.0","554.0","53546.0"
"2022/02/07","1181.18","14.43","1.24","1177.27","1186.02","1157.42","4059.0","539.0","53311.0"
"2022/02/04","1166.75","39.24","3.48","1125.96","1179.69","1123.70","5695.0","673.0","52453.0"
"2022/02/03","1127.51","-27.10","-2.35","1167.24","1169.68","1125.58","3587.0","470.0","50486.0"
"2022/01/28","1154.61","12.83","1.12","1155.94","1170.94","1122.10","4022.0","563.0","51295.0"
"2022/01/27","1141.78","-65.91","-5.46","1210.69","1216.09","1138.62","4985.0","616.0","50578.0"
"2022/01/26","1207.69","-14.82","-1.21","1232.70","1241.91","1207.18","3881.0","549.0","53432.0"
"2022/01/25","1222.51","-25.04","-2.01","1257.92","1265.78","1220.38","4115.0","526.0","54274.0"
"2022/01/24","1247.55","-25.56","-2.01","1267.01","1273.35","1234.13","3875.0","482.0","55547.0"
"2022/01/21","1273.11","-11.28","-0.88","1261.84","1293.15","1257.34","3681.0","578.0","56197.0"
"2022/01/20","1284.39","44.17","3.56","1241.83","1290.46","1234.44","2900.0","389.0","56992.0"
"2022/01/19","1240.22","-22.17","-1.76","1260.19","1266.74","1235.76","2791.0","381.0","55361.0"
"2022/01/18","1262.39","-23.21","-1.81","1287.55","1301.68","1257.68","1985.0","272.0","56522.0"
"2022/01/17","1285.60","1.03","0.08","1283.90","1296.72","1271.36","1791.0","279.0","57421.0"
"2022/01/14","1284.57","-22.93","-1.75","1278.04","1296.72","1264.77","2636.0","453.0","57527.0"
"2022/01/13","1307.50","-39.31","-2.92","1342.26","1344.31","1305.55","3032.0","477.0","58430.0"
"2022/01/12","1346.81","31.90","2.43","1334.80","1353.58","1330.12","3102.0","429.0","60490.0"
"2022/01/11","1314.91","-30.35","-2.26","1346.10","1354.88","1310.35","3712.0","510.0","59247.0"
"2022/01/10","1345.26","-15.62","-1.15","1349.88","1362.52","1325.25","3375.0","474.0","60760.0"
"2022/01/07","1360.88","5.88","0.43","1363.23","1382.93","1360.84","4010.0","520.0","61652.0"
"2022/01/06","1355.00","-80.17","-5.59","1404.91","1407.59","1353.09","8682.0","955.0","61545.0"
"2022/01/05","1435.17","-67.74","-4.51","1493.58","1494.05","1431.38","4172.0","633.0","65234.0"
"2022/01/04","1502.91","-43.88","-2.84","1542.76","1545.07","1495.25","4405.0","527.0","68458.0"
"2022/01/03","1546.79","18.96","1.24","1546.85","1586.16","1539.28","6436.0","703.0","70497.0"
"2021/12/30","1527.83","10.00","0.66","1515.86","1539.86","1505.51","5207.0","564.0","69831.0"
"2021/12/29","1517.83","-9.54","-0.62","1530.29","1539.76","1514.89","7090.0","884.0","69657.0"
"2021/12/28","1527.37","19.90","1.32","1511.65","1527.45","1498.95","5930.0","797.0","70812.0"
"2021/12/27","1507.47","-2.47","-0.16","1510.82","1515.20","1494.97","4011.0","517.0","69612.0"
"2021/12/24","1509.94","3.74","0.25","1510.33","1524.43","1504.70","4421.0","454.0","69910.0"
"2021/12/23","1506.20","-9.65","-0.64","1522.82","1529.89","1500.68","3627.0","430.0","69729.0"
"2021/12/22","1515.85","12.14","0.81","1512.10","1527.64","1507.52","8053.0","533.0","70299.0"
"2021/12/21","1503.71","5.50","0.37","1505.57","1511.67","1480.67","2570.0","373.0","69705.0"
"2021/12/20","1498.21","-15.14","-1.00","1510.01","1515.13","1490.75","2600.0","414.0","69447.0"
