일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/02/18","881.71","7.49","0.86","862.19","882.01","860.81","953405.0","6307.0","385828.0"
"2022/02/17","874.22","-3.93","-0.45","879.12","890.78","858.78","1171956.0","8927.0","382333.0"
"2022/02/16","878.15","38.23","4.55","857.54","878.15","857.54","876748.0","7281.0","383989.0"
"2022/02/15","839.92","-12.87","-1.51","855.62","860.40","837.83","1036347.0","6961.0","367243.0"
"2022/02/14","852.79","-24.63","-2.81","864.49","867.24","850.28","889899.0","6732.0","372834.0"
"2022/02/11","877.42","-18.26","-2.04","885.31","889.42","877.28","1025547.0","7707.0","383603.0"
"2022/02/10","895.68","-14.85","-1.63","914.65","914.92","893.21","858885.0","7714.0","391411.0"
"2022/02/09","910.53","15.26","1.70","904.07","910.53","900.86","890474.0","6783.0","397834.0"
"2022/02/08","895.27","-4.13","-0.46","900.70","907.24","887.54","1184930.0","9594.0","391098.0"
"2022/02/07","899.40","-3.47","-0.38","905.96","905.96","893.91","901975.0","8037.0","392418.0"
"2022/02/04","902.87","11.27","1.26","888.51","902.87","886.93","1053337.0","9138.0","393766.0"
"2022/02/03","891.60","18.73","2.15","887.85","898.37","887.02","1079998.0","9307.0","388467.0"
"2022/01/28","872.87","23.64","2.78","852.57","872.87","835.55","1028108.0","9072.0","380260.0"
"2022/01/27","849.23","-32.86","-3.73","884.23","885.00","847.34","1174849.0","9038.0","369828.0"
"2022/01/26","882.09","-7.35","-0.83","892.01","900.38","881.68","1116984.0","8872.0","384058.0"
"2022/01/25","889.44","-25.96","-2.84","920.95","923.07","883.17","1286528.0","8856.0","387167.0"
"2022/01/24","915.40","-27.45","-2.91","935.13","935.13","911.02","1038913.0","7938.0","398459.0"
"2022/01/21","942.85","-15.85","-1.65","950.67","958.38","937.48","1128911.0","7950.0","409743.0"
"2022/01/20","958.70","24.80","2.66","934.00","958.70","933.97","1043809.0","7188.0","416430.0"
"2022/01/19","933.90","-10.04","-1.06","935.06","944.81","929.15","1224552.0","7749.0","405063.0"
"2022/01/18","943.94","-13.96","-1.46","959.98","969.17","942.11","1070286.0","8180.0","409391.0"
"2022/01/17","957.90","-13.49","-1.39","971.81","971.81","954.82","1111748.0","7853.0","415425.0"
"2022/01/14","971.39","-11.86","-1.21","971.11","977.69","967.19","1367327.0","9306.0","421695.0"
"2022/01/13","983.25","-8.08","-0.82","994.55","994.55","981.31","1235146.0","10045.0","426726.0"
"2022/01/12","991.33","21.41","2.21","978.69","991.71","978.69","1158100.0","9982.0","430201.0"
"2022/01/11","969.92","-10.46","-1.07","982.44","985.13","962.91","1280482.0","9753.0","420951.0"
"2022/01/10","980.38","-14.78","-1.49","992.49","992.49","976.41","1270478.0","9536.0","425457.0"
"2022/01/07","995.16","14.86","1.52","986.18","997.02","986.18","1470713.0","9820.0","431724.0"
"2022/01/06","980.30","-29.32","-2.90","993.60","1003.01","979.83","1461245.0","11948.0","424545.0"
"2022/01/05","1009.62","-22.04","-2.14","1029.12","1029.12","1007.84","1500451.0","12048.0","436919.0"
"2022/01/04","1031.66","-6.17","-0.59","1041.07","1041.29","1025.23","1324121.0","12139.0","445674.0"
"2022/01/03","1037.83","3.85","0.37","1038.97","1039.67","1030.57","1054530.0","10093.0","448124.0"
"2021/12/30","1033.98","5.93","0.58","1029.74","1034.87","1021.59","907418.0","10103.0","446297.0"
"2021/12/29","1028.05","0.61","0.06","1028.46","1034.05","1022.73","950937.0","11684.0","443469.0"
"2021/12/28","1027.44","16.08","1.59","1016.29","1027.45","1014.39","1286746.0","13243.0","444228.0"
"2021/12/27","1011.36","3.94","0.39","1008.90","1013.70","1006.87","1151529.0","10045.0","437281.0"
"2021/12/24","1007.42","4.11","0.41","1008.05","1010.98","1005.61","1235764.0","10866.0","439629.0"
"2021/12/23","1003.31","3.18","0.32","1004.45","1007.42","1001.48","1435843.0","11871.0","437821.0"
"2021/12/22","1000.13","3.53","0.35","1004.10","1005.23","999.05","1182499.0","10926.0","436199.0"
"2021/12/21","996.60","6.09","0.61","994.53","997.30","982.43","1371818.0","11768.0","434549.0"
"2021/12/20","990.51","-10.75","-1.07","1001.17","1004.75","990.51","1009821.0","10569.0","431776.0"
"2021/12/17","1001.26","-6.60","-0.65","1001.51","1005.36","995.93","1095248.0","10336.0","436220.0"
"2021/12/16","1007.86","4.34","0.43","1013.05","1016.32","1006.90","1336914.0","12447.0","438852.0"
"2021/12/15","1003.52","0.71","0.07","1002.18","1007.44","999.21","1125306.0","10407.0","436596.0"
"2021/12/14","1002.81","-3.15","-0.31","1001.11","1007.73","996.85","1081581.0","10304.0","436213.0"
"2021/12/13","1005.96","-5.61","-0.55","1014.27","1014.90","1005.96","1339323.0","11498.0","437471.0"
"2021/12/10","1011.57","-11.30","-1.10","1016.34","1018.42","1010.02","1153421.0","11060.0","439847.0"
"2021/12/09","1022.87","16.83","1.67","1009.29","1022.87","1009.29","1060993.0","11094.0","443671.0"
"2021/12/08","1006.04","9.40","0.94","1006.61","1012.64","1003.92","1065607.0","12034.0","436476.0"
"2021/12/07","996.64","4.77","0.48","996.89","999.52","991.07","1017251.0","11174.0","432398.0"
"2021/12/06","991.87","-6.60","-0.66","990.07","994.15","980.87","1060488.0","10412.0","430238.0"
"2021/12/03","998.47","21.04","2.15","981.65","998.49","977.91","1211827.0","10563.0","433214.0"
"2021/12/02","977.43","0.28","0.03","967.34","978.16","961.98","1091537.0","12347.0","424000.0"
"2021/12/01","977.15","11.52","1.19","969.90","977.73","949.86","1079798.0","12151.0","423862.0"
"2021/11/30","965.63","-26.71","-2.69","1003.04","1004.83","960.84","1356752.0","15439.0","418808.0"
"2021/11/29","992.34","-13.55","-1.35","986.64","1002.79","980.26","1347690.0","13028.0","429666.0"
"2021/11/26","1005.89","-9.77","-0.96","1017.90","1021.15","999.40","1239981.0","14129.0","435589.0"
"2021/11/25","1015.66","-4.47","-0.44","1023.41","1025.90","1015.62","1097456.0","11634.0","439681.0"
"2021/11/24","1020.13","6.41","0.63","1015.23","1021.13","1003.19","1023600.0","11197.0","442043.0"
"2021/11/23","1013.72","-18.59","-1.80","1024.33","1029.08","1012.95","1037748.0","11657.0","439265.0"
"2021/11/22","1032.31","-9.61","-0.92","1043.55","1045.36","1023.13","1320324.0","14537.0","447133.0"
"2021/11/19","1041.92","9.15","0.89","1032.07","1042.40","1029.54","1268957.0","13398.0","450938.0"
"2021/11/18","1032.77","1.51","0.15","1033.16","1034.51","1018.13","1467430.0","14921.0","446204.0"
"2021/11/17","1031.26","-4.20","-0.41","1039.36","1039.36","1028.02","1410241.0","16138.0","445377.0"
"2021/11/16","1035.46","6.43","0.62","1029.35","1035.98","1027.07","995271.0","13409.0","446579.0"
"2021/11/15","1029.03","19.96","1.98","1016.35","1029.07","1016.16","932603.0","11727.0","444075.0"
"2021/11/12","1009.07","16.42","1.65","999.29","1009.15","998.14","856018.0","11962.0","435405.0"
"2021/11/11","992.65","4.90","0.50","981.42","994.69","979.68","1108640.0","12920.0","427848.0"
"2021/11/10","987.75","-20.93","-2.07","1006.59","1006.90","983.82","1476503.0","14354.0","425780.0"
"2021/11/09","1008.68","6.18","0.62","1002.51","1010.79","1002.51","1245497.0","11659.0","433588.0"
"2021/11/08","1002.50","1.15","0.11","999.08","1003.18","988.36","1254165.0","10375.0","430896.0"
"2021/11/05","1001.35","-0.08","-0.01","1006.04","1006.04","995.35","1253705.0","11272.0","430422.0"
"2021/11/04","1001.43","-3.57","-0.36","1012.62","1015.72","995.73","1227813.0","11418.0","430353.0"
"2021/11/03","1005.00","-4.44","-0.44","1011.20","1013.68","1003.66","1099572.0","10259.0","432055.0"
"2021/11/02","1009.44","10.87","1.09","1000.96","1012.20","1000.96","1399931.0","10827.0","433942.0"
"2021/11/01","998.57","6.24","0.63","995.56","1001.25","994.28","1173730.0","10939.0","429085.0"
"2021/10/29","992.33","-7.80","-0.78","1004.91","1005.19","991.03","1318559.0","10407.0","425206.0"
"2021/10/28","1000.13","-8.82","-0.87","1008.93","1011.50","999.59","1311944.0","11407.0","428184.0"
"2021/10/27","1008.95","-2.81","-0.28","1012.91","1013.17","1006.03","1273225.0","11208.0","431940.0"
"2021/10/26","1011.76","17.45","1.75","1000.32","1011.76","1000.29","1330617.0","9992.0","432990.0"
"2021/10/25","994.31","-0.76","-0.08","994.75","995.39","986.55","1061836.0","8737.0","425438.0"
"2021/10/22","995.07","1.37","0.14","992.22","1000.15","989.43","1161758.0","10771.0","425781.0"
"2021/10/21","993.70","-7.92","-0.79","1003.48","1004.61","992.04","1559957.0","11817.0","424749.0"
"2021/10/20","1001.62","-3.73","-0.37","1009.11","1011.55","1001.10","1552193.0","11827.0","427826.0"
"2021/10/19","1005.35","11.49","1.16","997.57","1005.35","997.10","1375184.0","12241.0","429311.0"
"2021/10/18","993.86","3.32","0.34","992.57","997.92","985.14","1188921.0","9740.0","424331.0"
"2021/10/15","990.54","7.11","0.72","990.24","992.16","981.83","1365015.0","11765.0","422904.0"
"2021/10/14","983.43","29.96","3.14","960.58","983.63","960.52","1191420.0","11106.0","419563.0"
"2021/10/13","953.47","13.32","1.42","939.40","954.63","939.28","1049503.0","9341.0","406746.0"
"2021/10/12","940.15","-12.96","-1.36","951.12","951.12","936.95","1142384.0","8629.0","401106.0"
"2021/10/08","953.11","-0.32","-0.03","959.81","961.72","948.02","1339875.0","11200.0","406605.0"
"2021/10/07","953.43","31.07","3.37","932.65","953.48","932.32","1353557.0","10686.0","406546.0"
"2021/10/06","922.36","-33.01","-3.46","962.62","967.67","922.36","1651916.0","13278.0","392728.0"
"2021/10/05","955.37","-27.83","-2.83","974.24","974.24","950.09","1346265.0","11661.0","405150.0"
"2021/10/01","983.20","-20.07","-2.00","998.70","1002.68","982.26","1371271.0","11792.0","416952.0"
