일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/02/18","2744.52","0.43","0.02","2714.52","2747.08","2711.88","513521.0","8508.0","2157426.0"
"2022/02/17","2744.09","14.41","0.53","2735.11","2770.66","2711.99","611422.0","11813.0","2157576.0"
"2022/02/16","2729.68","53.14","1.99","2719.61","2730.43","2711.34","422366.0","8390.0","2146197.0"
"2022/02/15","2676.54","-27.94","-1.03","2712.45","2716.45","2665.47","589039.0","9436.0","2104888.0"
"2022/02/14","2704.48","-43.23","-1.57","2715.10","2724.72","2688.24","616343.0","11579.0","2126853.0"
"2022/02/11","2747.71","-24.22","-0.87","2739.14","2766.70","2735.08","480520.0","10993.0","2161381.0"
"2022/02/10","2771.93","3.08","0.11","2787.44","2788.27","2761.76","509611.0","12776.0","2179937.0"
"2022/02/09","2768.85","22.38","0.81","2772.63","2773.38","2753.51","539124.0","10338.0","2176096.0"
"2022/02/08","2746.47","1.41","0.05","2767.76","2779.85","2726.72","560534.0","11786.0","2158495.0"
"2022/02/07","2745.06","-5.20","-0.19","2750.70","2750.70","2718.94","417838.0","11292.0","2157575.0"
"2022/02/04","2750.26","42.44","1.57","2714.83","2751.80","2712.87","536149.0","11393.0","2162190.0"
"2022/02/03","2707.82","44.48","1.67","2706.34","2735.34","2702.78","435710.0","12473.0","2129673.0"
"2022/01/28","2663.34","48.85","1.87","2617.87","2668.59","2591.53","434187.0","13753.0","2094859.0"
"2022/01/27","2614.49","-94.75","-3.50","2709.24","2722.86","2614.49","487727.0","20549.0","2056789.0"
"2022/01/26","2709.24","-11.15","-0.41","2729.75","2744.14","2708.10","472651.0","8979.0","2007683.0"
"2022/01/25","2720.39","-71.61","-2.56","2786.41","2789.62","2703.99","639959.0","11701.0","2016270.0"
"2022/01/24","2792.00","-42.29","-1.49","2823.76","2828.11","2780.68","473993.0","9304.0","2068283.0"
"2022/01/21","2834.29","-28.39","-0.99","2837.49","2847.95","2817.11","532753.0","10718.0","2098927.0"
"2022/01/20","2862.68","20.40","0.72","2842.28","2862.70","2830.97","395669.0","8872.0","2119406.0"
"2022/01/19","2842.28","-21.96","-0.77","2840.34","2871.79","2832.18","463829.0","9649.0","2105224.0"
"2022/01/18","2864.24","-25.86","-0.89","2898.98","2902.79","2857.26","554041.0","10041.0","2121897.0"
