일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/02/18","405.98","-2.89","-0.71","406.82","408.80","405.27","1591.0","40.0","26520.0"
"2022/02/17","408.87","0.15","0.04","409.59","411.83","406.94","3008.0","77.0","26709.0"
"2022/02/16","408.72","3.71","0.92","409.43","410.38","406.54","2302.0","60.0","26699.0"
"2022/02/15","405.01","0.49","0.12","405.59","408.07","402.79","2437.0","61.0","26457.0"
"2022/02/14","404.52","-0.70","-0.17","403.82","405.40","401.75","2686.0","65.0","26425.0"
"2022/02/11","405.22","-4.15","-1.01","406.60","407.98","404.78","2636.0","78.0","26470.0"
"2022/02/10","409.37","-3.09","-0.75","413.20","413.35","408.18","3226.0","105.0","26741.0"
"2022/02/09","412.46","3.14","0.77","411.13","413.49","409.04","3084.0","89.0","26943.0"
"2022/02/08","409.32","0.19","0.05","411.63","413.73","406.59","2537.0","81.0","26738.0"
"2022/02/07","409.13","-2.95","-0.72","410.68","411.08","403.99","3106.0","95.0","26726.0"
"2022/02/04","412.08","2.30","0.56","410.52","413.20","409.23","2556.0","73.0","26918.0"
"2022/02/03","409.78","4.83","1.19","404.74","414.48","404.41","4285.0","118.0","26768.0"
"2022/01/28","404.95","6.65","1.67","403.32","404.95","395.93","3849.0","105.0","26453.0"
"2022/01/27","398.30","-8.26","-2.03","406.56","406.72","396.66","4202.0","101.0","26019.0"
"2022/01/26","406.56","3.91","0.97","404.45","408.67","403.65","3246.0","72.0","26558.0"
"2022/01/25","402.65","-6.77","-1.65","406.68","408.20","400.06","4353.0","94.0","26303.0"
"2022/01/24","409.42","-4.00","-0.97","411.84","414.39","408.48","3265.0","81.0","26745.0"
"2022/01/21","413.42","3.17","0.77","407.14","414.46","405.92","2890.0","79.0","27006.0"
"2022/01/20","410.25","2.32","0.57","410.54","413.36","407.49","2744.0","77.0","26799.0"
"2022/01/19","407.93","-0.04","-0.01","406.56","410.54","404.16","3374.0","92.0","26647.0"
"2022/01/18","407.97","3.74","0.93","405.37","410.18","404.29","3111.0","93.0","26650.0"
"2022/01/17","404.23","-4.58","-1.12","410.29","410.83","403.56","17395.0","497.0","26406.0"
"2022/01/14","408.81","-1.14","-0.28","407.47","411.10","406.63","5314.0","84.0","26705.0"
"2022/01/13","409.95","2.17","0.53","408.43","410.80","407.85","3749.0","93.0","26779.0"
"2022/01/12","407.78","1.23","0.30","408.02","409.84","406.45","3146.0","90.0","26638.0"
"2022/01/11","406.55","-2.40","-0.59","407.55","410.12","405.22","3226.0","80.0","26558.0"
"2022/01/10","408.95","3.09","0.76","404.35","409.37","403.74","3245.0","76.0","26714.0"
"2022/01/07","405.86","-3.87","-0.94","408.22","410.42","403.48","4481.0","95.0","26512.0"
"2022/01/06","409.73","-5.03","-1.21","413.76","415.80","409.62","10677.0","127.0","26765.0"
"2022/01/05","414.76","7.04","1.73","407.52","416.83","407.14","4973.0","134.0","27094.0"
"2022/01/04","407.72","-2.02","-0.49","408.90","409.92","404.12","3445.0","100.0","26634.0"
"2022/01/03","409.74","-2.75","-0.67","411.68","412.15","405.83","3814.0","87.0","26766.0"
"2021/12/30","412.49","-3.41","-0.82","414.12","415.93","411.04","3285.0","92.0","26945.0"
"2021/12/29","415.90","-20.47","-4.69","423.18","423.18","414.83","6691.0","181.0","27168.0"
"2021/12/28","436.37","1.17","0.27","435.29","436.56","433.66","6531.0","169.0","28505.0"
"2021/12/27","435.20","-2.29","-0.52","437.22","437.25","432.58","3940.0","109.0","28429.0"
"2021/12/24","437.49","-2.28","-0.52","441.04","442.66","435.94","4187.0","112.0","28579.0"
"2021/12/23","439.77","1.89","0.43","437.95","441.67","437.75","3214.0","92.0","28727.0"
"2021/12/22","437.88","1.08","0.25","437.25","440.18","435.14","2855.0","92.0","28604.0"
"2021/12/21","436.80","4.10","0.95","435.75","439.17","433.57","3557.0","117.0","28533.0"
"2021/12/20","432.70","-2.71","-0.62","436.69","438.19","431.45","2979.0","90.0","28266.0"
"2021/12/17","435.41","13.09","3.10","424.06","436.41","424.06","5699.0","184.0","28443.0"
"2021/12/16","422.32","12.10","2.95","414.20","422.78","414.20","5360.0","156.0","27587.0"
"2021/12/15","410.22","-1.27","-0.31","410.82","413.13","408.89","2138.0","64.0","26797.0"
"2021/12/14","411.49","0.59","0.14","409.04","411.90","408.22","3286.0","79.0","26880.0"
"2021/12/13","410.90","1.88","0.46","410.18","416.38","409.03","3146.0","88.0","26842.0"
"2021/12/10","409.02","-1.30","-0.32","409.25","411.48","406.70","2449.0","62.0","26719.0"
"2021/12/09","410.32","4.27","1.05","406.62","410.32","403.68","4396.0","126.0","26804.0"
"2021/12/08","406.05","-1.94","-0.48","408.41","412.20","404.82","4001.0","104.0","26525.0"
"2021/12/07","407.99","0.41","0.10","407.81","409.21","406.11","3601.0","108.0","26651.0"
"2021/12/06","407.58","-1.45","-0.35","407.68","409.87","401.72","4136.0","111.0","26625.0"
"2021/12/03","409.03","9.40","2.35","401.66","410.76","400.66","4307.0","127.0","26720.0"
"2021/12/02","399.63","2.58","0.65","392.21","400.70","390.78","4630.0","133.0","26105.0"
"2021/12/01","397.05","-2.42","-0.61","399.01","400.94","390.58","5842.0","185.0","25937.0"
"2021/11/30","399.47","-16.47","-3.96","411.18","412.33","396.86","10517.0","350.0","26095.0"
"2021/11/29","415.94","-0.46","-0.11","414.67","417.24","413.91","15219.0","680.0","27171.0"
"2021/11/26","416.40","0.12","0.03","416.51","417.92","415.69","3388.0","44.0","36844.0"
"2021/11/25","416.28","-0.42","-0.10","416.54","416.98","415.50","8086.0","48.0","36833.0"
"2021/11/24","416.70","0.41","0.10","415.79","417.63","415.67","3825.0","33.0","36870.0"
"2021/11/23","416.29","0.67","0.16","415.93","417.20","415.44","2881.0","31.0","36834.0"
"2021/11/22","415.62","-0.72","-0.17","415.69","416.75","415.27","3980.0","38.0","36775.0"
"2021/11/19","416.34","1.10","0.26","415.63","417.53","415.26","3795.0","32.0","36838.0"
"2021/11/18","415.24","-0.42","-0.10","415.61","416.56","414.72","1973.0","28.0","36741.0"
"2021/11/17","415.66","-1.85","-0.44","417.25","417.25","414.99","2765.0","39.0","36778.0"
"2021/11/16","417.51","-1.02","-0.24","418.48","418.48","416.75","2227.0","31.0","36941.0"
"2021/11/15","418.53","-1.30","-0.31","420.33","420.33","418.24","2757.0","36.0","37032.0"
"2021/11/12","419.83","3.77","0.91","416.23","420.11","416.08","3309.0","48.0","37147.0"
"2021/11/11","416.06","-1.73","-0.41","417.53","417.53","415.00","3896.0","55.0","36814.0"
"2021/11/10","417.79","-0.55","-0.13","418.27","419.77","416.87","2954.0","38.0","36967.0"
"2021/11/09","418.34","1.19","0.29","417.05","418.58","416.86","2244.0","30.0","37015.0"
"2021/11/08","417.15","1.20","0.29","415.73","417.85","414.97","2448.0","30.0","36910.0"
"2021/11/05","415.95","-1.91","-0.46","418.55","418.55","414.91","3647.0","45.0","36803.0"
"2021/11/04","417.86","1.12","0.27","417.59","419.40","417.30","2525.0","30.0","36972.0"
"2021/11/03","416.74","-3.00","-0.71","419.75","419.78","416.49","2568.0","33.0","36874.0"
"2021/11/02","419.74","1.24","0.30","418.79","421.16","418.68","3203.0","34.0","37139.0"
"2021/11/01","418.50","1.55","0.37","416.72","419.09","416.53","5755.0","45.0","37030.0"
"2021/10/29","416.95","-1.53","-0.37","418.47","418.74","415.45","3492.0","51.0","36892.0"
"2021/10/28","418.48","-2.72","-0.65","420.84","421.36","418.43","3227.0","48.0","37027.0"
"2021/10/27","421.20","-0.31","-0.07","421.22","421.57","419.87","2408.0","31.0","37268.0"
"2021/10/26","421.51","-0.59","-0.14","422.06","422.64","420.52","3304.0","51.0","37296.0"
"2021/10/25","422.10","-3.26","-0.77","428.36","429.89","418.09","5251.0","464.0","37348.0"
"2021/10/22","425.36","10.37","2.50","415.78","427.35","415.66","4059.0","235.0","37636.0"
"2021/10/21","414.99","0.20","0.05","416.25","419.41","413.13","5710.0","189.0","36719.0"
"2021/10/20","414.79","0.44","0.11","415.55","416.81","410.23","4620.0","161.0","36701.0"
"2021/10/19","414.35","3.64","0.89","412.51","418.52","411.86","3551.0","134.0","36663.0"
"2021/10/18","410.71","-2.83","-0.68","413.58","413.58","406.28","3558.0","163.0","36336.0"
"2021/10/15","413.54","-1.12","-0.27","415.24","417.19","412.28","3669.0","142.0","36587.0"
"2021/10/14","414.66","-1.15","-0.28","416.96","418.89","411.61","5070.0","164.0","36685.0"
"2021/10/13","415.81","6.32","1.54","411.80","416.94","411.80","5236.0","149.0","36787.0"
"2021/10/12","409.49","-6.98","-1.68","416.18","417.51","409.09","6044.0","182.0","36228.0"
"2021/10/08","416.47","-11.55","-2.70","427.80","427.80","414.00","7781.0","206.0","36846.0"
"2021/10/07","428.02","1.70","0.40","429.85","433.18","426.66","5795.0","158.0","37867.0"
"2021/10/06","426.32","-7.38","-1.70","436.01","436.49","426.32","8602.0","183.0","37717.0"
"2021/10/05","433.70","-6.77","-1.54","439.42","441.68","431.80","10975.0","269.0","38370.0"
"2021/10/01","440.47","0.80","0.18","438.47","442.11","437.58","11880.0","194.0","38969.0"
"2021/09/30","439.67","3.58","0.82","438.11","444.88","437.59","30478.0","366.0","38898.0"
"2021/09/29","436.09","3.40","0.79","427.38","438.69","426.70","5219.0","182.0","38581.0"
"2021/09/28","432.69","-4.84","-1.11","436.00","436.83","432.05","9704.0","184.0","38281.0"
"2021/09/27","437.53","10.12","2.37","428.73","442.56","428.73","10211.0","233.0","38709.0"
"2021/09/24","427.41","-0.80","-0.19","429.52","430.65","426.15","8772.0","128.0","37814.0"
"2021/09/23","428.21","8.18","1.95","417.54","429.30","416.33","4799.0","161.0","37885.0"
"2021/09/17","420.03","-1.07","-0.25","421.08","422.36","419.17","8385.0","150.0","37161.0"
"2021/09/16","421.10","-1.16","-0.27","423.61","425.05","420.73","9160.0","114.0","37256.0"
"2021/09/15","422.26","-0.37","-0.09","422.30","424.63","420.17","5092.0","101.0","37358.0"
"2021/09/14","422.63","1.58","0.38","421.95","427.92","421.95","10863.0","137.0","37391.0"
"2021/09/13","421.05","-4.82","-1.13","423.08","424.34","419.57","5467.0","104.0","37251.0"
"2021/09/10","425.87","4.10","0.97","424.25","428.39","423.27","13038.0","170.0","37677.0"
"2021/09/09","421.77","1.44","0.34","422.07","428.44","421.56","15741.0","298.0","37315.0"
"2021/09/08","420.33","1.31","0.31","418.86","424.33","418.46","13875.0","206.0","37187.0"
"2021/09/07","419.02","-3.73","-0.88","421.86","424.44","417.14","9452.0","158.0","37071.0"
"2021/09/06","422.75","-0.18","-0.04","422.54","426.46","418.99","17530.0","198.0","37401.0"
"2021/09/03","422.93","-1.43","-0.34","424.50","425.86","420.55","15328.0","179.0","37417.0"
"2021/09/02","424.36","-5.81","-1.35","429.87","429.91","422.89","4811.0","156.0","37544.0"
"2021/09/01","430.17","16.08","3.88","416.26","431.03","416.26","5434.0","304.0","38058.0"
"2021/08/31","414.09","6.87","1.69","408.51","420.22","405.53","8572.0","1014.0","36636.0"
"2021/08/30","407.22","2.48","0.61","409.72","410.35","404.69","4346.0","149.0","36028.0"
"2021/08/27","404.74","-3.43","-0.84","408.91","409.22","403.77","5787.0","119.0","35808.0"
"2021/08/26","408.17","-2.58","-0.63","414.40","417.84","407.13","5133.0","151.0","36107.0"
"2021/08/25","410.75","-1.23","-0.30","412.55","417.29","408.94","9363.0","143.0","36336.0"
"2021/08/24","411.98","3.17","0.78","410.20","415.21","409.68","9548.0","152.0","36444.0"
"2021/08/23","408.81","10.30","2.58","403.67","412.41","403.67","20855.0","214.0","36164.0"
"2021/08/20","398.51","-9.30","-2.28","409.20","410.30","397.29","10894.0","231.0","35253.0"
"2021/08/19","407.81","-9.23","-2.21","417.37","417.37","407.71","5825.0","152.0","36075.0"
"2021/08/18","417.04","5.23","1.27","414.80","420.96","414.80","8618.0","174.0","36892.0"
"2021/08/17","411.81","-14.60","-3.42","426.85","428.44","411.54","19616.0","273.0","36429.0"
"2021/08/13","426.41","-5.02","-1.16","430.67","431.34","423.27","33070.0","266.0","37721.0"
"2021/08/12","431.43","12.40","2.96","430.18","434.76","425.03","15856.0","341.0","38165.0"
"2021/08/11","419.03","-2.36","-0.56","423.22","425.86","417.27","4832.0","198.0","37068.0"
"2021/08/10","421.39","-0.38","-0.09","422.60","424.34","419.02","3367.0","81.0","37276.0"
