일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/02/18","181.80","1.49","0.83","178.24","182.52","177.31","13015.0","106.0","9174.0"
"2022/02/17","180.31","-0.54","-0.30","181.04","184.57","177.13","44054.0","264.0","9098.0"
"2022/02/16","180.85","7.48","4.31","177.63","180.85","177.63","34546.0","280.0","9126.0"
"2022/02/15","173.37","-0.93","-0.53","175.02","176.50","172.46","11739.0","102.0","8748.0"
"2022/02/14","174.30","-7.13","-3.93","178.61","178.61","173.54","11679.0","100.0","8795.0"
"2022/02/11","181.43","-4.76","-2.56","183.67","184.07","181.07","12446.0","105.0","9155.0"
"2022/02/10","186.19","-2.74","-1.45","190.09","190.22","185.63","17512.0","149.0","9395.0"
"2022/02/09","188.93","3.33","1.79","186.35","188.93","186.27","32191.0","195.0","9533.0"
"2022/02/08","185.60","0.52","0.28","186.14","188.83","183.23","51746.0","549.0","9365.0"
"2022/02/07","185.08","-1.52","-0.81","186.62","187.75","183.42","21075.0","150.0","9338.0"
"2022/02/04","186.60","2.59","1.41","183.36","186.60","182.95","38666.0","163.0","9415.0"
"2022/02/03","184.01","2.13","1.17","184.11","185.85","183.43","12667.0","97.0","9285.0"
"2022/01/28","181.88","6.05","3.44","176.55","181.88","173.19","16345.0","140.0","9177.0"
"2022/01/27","175.83","-9.66","-5.21","185.81","186.18","175.11","16137.0","159.0","8871.0"
"2022/01/26","185.49","-0.46","-0.25","186.30","188.54","184.53","36084.0","278.0","9359.0"
"2022/01/25","185.95","-7.41","-3.83","193.97","195.13","184.48","28351.0","214.0","9382.0"
"2022/01/24","193.36","-5.49","-2.76","198.01","198.03","193.16","35591.0","316.0","9756.0"
"2022/01/21","198.85","-3.44","-1.70","201.18","202.07","197.27","31285.0","269.0","10033.0"
"2022/01/20","202.29","5.56","2.83","196.45","202.36","195.76","15028.0","123.0","10206.0"
"2022/01/19","196.73","-1.98","-1.00","196.98","199.28","195.52","11592.0","116.0","9925.0"
"2022/01/18","198.71","-3.82","-1.89","202.72","205.67","198.56","12228.0","140.0","10026.0"
"2022/01/17","202.53","-4.64","-2.24","207.01","207.31","202.05","10989.0","101.0","10218.0"
"2022/01/14","207.17","-2.48","-1.18","206.96","207.90","205.72","11376.0","120.0","10452.0"
"2022/01/13","209.65","-0.22","-0.10","210.60","211.43","208.85","18109.0","166.0","10577.0"
"2022/01/12","209.87","3.64","1.77","207.69","209.87","207.62","18679.0","194.0","10589.0"
"2022/01/11","206.23","-1.98","-0.95","208.53","208.87","202.82","14330.0","177.0","10405.0"
"2022/01/10","208.21","-2.95","-1.40","210.67","210.95","207.02","11443.0","121.0","10505.0"
"2022/01/07","211.16","2.99","1.44","209.10","211.95","209.10","13871.0","182.0","10654.0"
"2022/01/06","208.17","-7.96","-3.68","212.07","214.54","208.14","22078.0","249.0","10409.0"
"2022/01/05","216.13","-7.33","-3.28","222.37","222.45","215.20","27487.0","352.0","10791.0"
