title,date
5G 주파수 추가배정 관련 질문이요,2022.02.20 20:09
kt에는 왜 YTN이 안나오죠??,2022.02.20 18:16
왜 개티가 4만원 가길 바라냐,2022.02.20 17:07
"중국인 1명, 5년간 건강보험 30억원 타갔다",2022.02.20 17:02
"중국인 1명, 5년간 건강보험 30억원 타갔다",2022.02.20 19:55
"중국인 1명, 5년간 건강보험 30억원 타갔다",2022.02.20 21:18
우크라이나가 뭐고? 먹는기가?,2022.02.20 16:34
"애들아, 자사주 소각은 주린이들이 바라는 것.",2022.02.20 15:39
"애들아, 자사주 소각은 주린이들이 바라는 것.",2022.02.20 19:57
KT가 더 성장할려면,2022.02.20 15:25
5% 이자에도 난리라는데,2022.02.20 10:02
5% 이자에도 난리라는데,2022.02.20 11:28
노조,2022.02.20 08:33
하나금융과 메리츠의 공통점은,2022.02.19 23:33
만약  어떤 중소 기업이,2022.02.19 20:42
개티도 오죽하면  클라우드 분할 하겠냐,2022.02.19 20:24
조선장 진짜 대단하다,2022.02.19 19:16
주간추천주 kt,2022.02.19 18:53
삼전노조의 바램은,2022.02.19 18:19
"애들아, 엉아가 다시 말하지만 자사주 소각은",2022.02.19 17:45
"애들아, 엉아가 다시 말하지만 자사주 소각은",2022.02.20 11:36
"애들아, 엉아가 다시 말하지만 자사주 소각은",2022.02.20 11:52
Kt 인력 줄여라,2022.02.19 17:17
Kt 인력 줄여라,2022.02.19 21:27
"애들아, 자사주 소각하면 외인 한도도 줄어든다.",2022.02.19 16:54
PBR 0.5 ㅋㅋㅋ,2022.02.19 16:04
배당금 1250 에서 1910으로 안올렸으면...,2022.02.19 15:41
연봉 8800만원이 작데 ㅋㅋㅋㅋㅋ,2022.02.19 15:38
KT 이놈들도 핵심사업 분사...한다네...  주가 2만원대. 하락 불가피할듯,2022.02.19 14:22
다음주에 31600  살 수 있나요 ???,2022.02.19 14:09
답은 하니다,2022.02.19 13:54
답은 하니다,2022.02.19 14:03
Kt새노조,2022.02.19 13:11
정권교체,2022.02.19 13:09
국힘의원 개아석들,2022.02.19 11:24
