title,date
시간외,2022.02.20 14:14
통신 및 통신장비주에 대한 분석 및 정리-SKT,2022.02.19 10:54
분기배당주라 삿는데 다정리,2022.02.19 10:46
배당금 유지가 될까?? 궁금해서...,2022.02.19 08:26
이번 배당락이 언제인가요??,2022.02.18 18:28
이종목은 장외만 빨간불이네,2022.02.18 17:30
매매동향,2022.02.18 15:39
헤헤,2022.02.18 15:08
니는 꼼짝을 안하노,2022.02.18 14:33
55990에서 홀딩해주세요,2022.02.18 13:59
시소 게임의 종착역인가!!!,2022.02.18 11:35
한번 확 밀어주라 차라리 잡주야,2022.02.18 11:10
이건 왜 못가!!!,2022.02.18 11:04
51900 / 2000,2022.02.18 11:03
4기 투자할때 통신사들 ,2022.02.18 10:53
[선진지수편입??아젠다학살증시가 선진?],2022.02.18 10:27
jp형 왔네 슈브랄,2022.02.18 10:12
4자 조만간에볼듯,2022.02.18 09:43
다시 10% 1차 매수완료,2022.02.18 09:30
Kt 유심털리면 ,2022.02.18 09:15
휴켐스추천,2022.02.18 09:03
노후자금 배당투자시 유의 하세요.,2022.02.18 07:55
자사주,2022.02.18 00:06
[챠트-젤먼저생각할것::해먹은vs해먹을..],2022.02.17 21:39
요즘 신라젠.오스템임플란트.땡땡전기 상폐이슈있던데요,2022.02.17 19:19
매매동향,2022.02.17 15:38
지금 배당금이 얼마냐가 문제가 아니다,2022.02.17 15:09
한결,2022.02.17 14:23
지랄하건 말건 제갈길 잘 가네 레알 믿고 사는 주식ㅇㅇ,2022.02.17 13:55
개미들 다 팔고 나가네,2022.02.17 13:23
진짜 조금 수익보고 전량 현금화,2022.02.17 13:08
우크라이나 군이 러시아 반군 기지에 포를 날렸다고 주가 폭락하네요 ㅠ,2022.02.17 13:00
좋은 이슈에 ,2022.02.17 12:32
에라이,2022.02.17 12:14
여기 분기배당 얼마주나요?,2022.02.17 10:29
인적분할로 인한 결과,2022.02.17 10:04
외인 지분 늘어난다,2022.02.17 10:02
텔레콤   껍데기만   남나  ?,2022.02.17 08:00
왜케안와,2022.02.17 07:27
올라갑니다   빠진만큼,2022.02.17 02:10
형님덜,2022.02.16 20:56
ㅉㅉ,2022.02.16 17:47
매매동향,2022.02.16 15:42
올해 한번은 자사주 소각하겠지?,2022.02.16 15:36
너무 무겁다,2022.02.16 14:31
소원이다 이프로만 떨어져 줘!! 매수할께,2022.02.16 14:19
소원이다 ,2022.02.16 14:07
주가지수에 비해서 실망,2022.02.16 11:31
에라이,2022.02.16 11:26
악재는 이제 다 반영되었고..,2022.02.16 11:12
육개장~,2022.02.16 10:51
57000원 지지대 언제 쯤 만드러가려나,2022.02.16 10:34
개잡주야오르자,2022.02.16 10:24
아놔,2022.02.16 10:23
결국 내 평단까지 내려왔구먼,2022.02.15 22:00
한국거래소 공공기관 재지정으로 기울어진 운동장 바로잡기 서명 운동,2022.02.15 13:44
개미,2022.02.15 13:16
ㅡㅡ,2022.02.15 12:01
여기도 모간질왔네 OOO,2022.02.15 11:43
"이번에도분기배당2500원인가,,,,",2022.02.15 11:14
증권 토론방에서 국힘 여론 조작단 알바들 좀 꺼져라 그지들아!!!,2022.02.15 10:48
속보) 야당 대권후보를 오살로 죽일려는 끔찍한 사건 드러나..,2022.02.15 10:15
"더사서분기배당이라도받아야지모,,,",2022.02.15 10:13
모건 이 스팍색은 ???,2022.02.15 10:04
평단,2022.02.15 09:57
시장 조정 더할거 같음ㆍ ,2022.02.14 19:51
이건 아무래도 장투할 상황이 아닌거같다,2022.02.14 19:40
이러한 ㆍ시기엔ㆍ무포여?,2022.02.14 19:32
선배님들 질문이요,2022.02.14 19:18
ㅋㅋㅋ,2022.02.14 17:16
배당금,2022.02.14 17:11
51900 / 2000,2022.02.14 16:50
금리상승에 배당 경기방어주,2022.02.14 15:47
오늘도 20주추매,2022.02.14 15:34
스퀘어랑 가격 맞췄냐?,2022.02.14 15:28
1분기 배당이나 받아야겠다.... 대형주가 똥값으로 거래되어도 방법이 없다,2022.02.14 15:17
46에서 대기중~~,2022.02.14 15:02
다른통신주들 보합이나 양전인데,2022.02.14 15:01
흠 나락가노,2022.02.14 14:50
사고싶어죽겠네.....20월선 한번 찍을것 같기도하고.....,2022.02.14 14:08
아니 이걸왜파냐 모아가야지,2022.02.14 14:00
팔아야되냐?? 좀알려주라,2022.02.14 13:28
4분기 배당인가요?,2022.02.14 13:21
제대로물렷네,2022.02.14 13:06
46에서 대기중~~,2022.02.14 13:01
배당일,2022.02.14 12:27
배당일,2022.02.14 12:33
120일선 뚫고 내려갈듯?,2022.02.14 12:15
하.. 결국 내 평단까지 내려왔네 54500원..,2022.02.14 12:12
선배님들,2022.02.14 11:58
존버,2022.02.14 11:41
Kt는 32만인데,2022.02.14 11:25
214주 마이너스30 ,2022.02.14 10:36
일시적 하락에 개의치 말고 고배당 받으며,2022.02.14 10:35
5000주 주줍니다,2022.02.14 10:16
2022년 배당정책,2022.02.14 09:43
개웃기네,2022.02.14 09:26
확실히 바닥인가보네,2022.02.14 09:13
방어주라서 그런지,2022.02.14 09:09
우크라이나,2022.02.14 00:48
안티형들,2022.02.13 23:22
공매도 악법 개정 (퍼나르기 도움 부탁드립니다),2022.02.13 13:51
상승직전 원익머트리얼즈,2022.02.13 12:29
주가관련주 내일시초가에 매도 신호,2022.02.13 11:29
분기배당 최소800원 유지시 주가 65000~70000가능,2022.02.13 10:59
[인재 확보전] 상반기 4대 그룹 채용 '역대급'…2~3월 공고 쏟아진다,2022.02.13 09:54
주식 너무 쉽다,2022.02.12 19:56
Skt사야하는 이유는 하나다ㆍ,2022.02.12 12:12
SKT 사야되는 아유 [명확간결],2022.02.12 09:32
원달러 1200원 돌파 달러약세 시기전망,2022.02.12 08:16
자사주처분 끝났네,2022.02.11 22:09
이회사배당,2022.02.11 19:39
열렸네,2022.02.11 18:44
SK Telecom 서비스 대실망~!!!!!,2022.02.11 18:37
외인과 기관은 주식선물과 현물 함께함,2022.02.11 17:50
55000원에 5000개 사신분 필독,2022.02.11 15:51
ㅎ ?,2022.02.11 15:34
"55,000에 전재산 몰빵 5000주",2022.02.11 14:53
긴급 수정,2022.02.11 14:42
배당락일 언제인가요?,2022.02.11 14:38
55천원 위에 사면 안되는 주식이 되어버림,2022.02.11 14:36
55000올인했다,2022.02.11 14:30
응 계속 떨어져보ㅏ,2022.02.11 13:52
왜떨어지는건가요?,2022.02.11 13:46
개잡주~,2022.02.11 13:37
못팔아서 안달이네 ㅋ,2022.02.11 13:34
"수정함  46,000원 ~~",2022.02.11 11:53
[왜 모세엑소더스여야하는지 이젠보이니??],2022.02.11 11:53
풀배팅이요 ㅅㄱ,2022.02.11 11:48
회사 자기주식 처분,2022.02.11 11:40
"분할 실패, 주가 하락, 박부회장 아웃!!",2022.02.11 11:15
분기당 830원 배당인데 왜 년 배당은 2660원이죠?,2022.02.11 11:11
아 개물렸네 쓰레기같은 종목,2022.02.11 11:09
개미들이 사서 이거 못감,2022.02.11 11:05
Kt는 양전이다 이쓰렉아,2022.02.11 11:00
이정도면 자사주매입해서 소각해야지,2022.02.11 10:54
인플레,2022.02.11 10:54
액분 후 최저점 도달.... 끝이 보이지 않네요... LG엔솔 보다 실적은 몇 배 좋은데,2022.02.11 10:21
5.6층입니다,2022.02.11 10:05
지수빠질땐 1등 오를땐꼴등,2022.02.11 10:01
모두 팔 때 매수,2022.02.11 09:43
변동성장세 안정적 고배당 통신주에 투자,2022.02.11 09:34
추매 두배로하고감,2022.02.11 09:21
이개잡주는 경기방어주라더니 ,2022.02.11 09:18
51900 / 2000,2022.02.11 09:16
배당금 ,2022.02.11 09:14
개잡주노,2022.02.11 08:52
5천원 빠질듯,2022.02.11 08:35
애들아. ,2022.02.10 19:03
1분기 배당일은 몇일까지 들고있어야되나요,2022.02.10 18:55
"영업이익 증가, 5G 가입자도 ↑",2022.02.10 18:34
51900 / 2000,2022.02.10 16:32
우량주고 뭐고 없다.,2022.02.10 16:04
감히 상방베팅을하다니,2022.02.10 15:46
왜 이렇게 처박아죠?,2022.02.10 15:22
올리면 안되는 이유가 있는 듯,2022.02.10 15:05
KT는 배당락 거의복구중,2022.02.10 12:41
언니 오빠들,2022.02.10 12:09
마 평단 56인데 너무 높은거야?,2022.02.10 11:54
추매했네요 다음 5.5때뵐게요,2022.02.10 11:45
추매하고감ㅇㅇ,2022.02.10 11:40
SK텔레콤 2021년 연간 실적 발표,2022.02.10 11:32
가입자는 늘고 마케팅비는 줄어들면...,2022.02.10 11:19
이런 망할잡주쎄리 평단왔네,2022.02.10 11:05
진짜 드럽게일가네,2022.02.10 10:29
아 짜증나,2022.02.10 10:12
skt해지하고 kt로 통신사 이동했당,2022.02.10 09:37
ROE 21년:9.6 -> 22년:3.6,2022.02.10 09:31
정말 짜증나는 주식이네!!!,2022.02.10 09:26
십잡주,2022.02.10 09:04
아주 지롤을 하는구나,2022.02.10 09:02
[독일!! 전체주의를 다시 부활시키려고하는것인가??],2022.02.10 08:40
분기배당받는 재미 최고네요ㆍ,2022.02.10 08:28
간만에 미국 통신주 상승! ,2022.02.10 06:30
5g 5g 말만 하는건가,2022.02.10 02:50
Sk텔레콤 자율주행으로 간단다 ~ ,2022.02.09 21:55
  KBS 뉴스  ㅡ나쁜  넘들    ㅡ  SK텔레콤,2022.02.09 21:34
주린이 질문함다...,2022.02.09 20:59
경영설명회에 주주가치제고뭐임?,2022.02.09 17:18
매매동향,2022.02.09 15:39
외국인 매매 현황,2022.02.09 15:38
LG엔솔 시총 120조... SK텔레콤 12조... 실적은 SK가 더 좋은데 주가 꼬라지 비교불가,2022.02.09 14:32
지수편입,2022.02.09 13:00
"분할전배당 10,000원서 16,600원으로 증가",2022.02.09 12:45
PER 10배는 좀 빡세지 않음??,2022.02.09 12:22
분할전기준으로 1년에 얼마인거죠?,2022.02.09 12:19
[삭제된 게시물의 답글]배당금,2022.02.09 12:24
배당금 1년에 1660원 실화임?,2022.02.09 12:00
  5G  시설   5%미만  ,2022.02.09 11:59
답이없다,2022.02.09 11:56
배당뭐냐ㅋㅋ,2022.02.09 11:53
분기당 900원이  기대치였음,2022.02.09 11:50
"작년 영업익 1조3872억 11.1%↑···""성장·혁신 가속화""",2022.02.09 11:24
[우리들이 사회를 가꾸어나가는대로되리라..],2022.02.09 11:24
무기한 공매도,2022.02.09 10:51
1666 ㅋㅋㅋㅋ,2022.02.09 10:50
배당금은 지금 팔아도 들어오나요??,2022.02.09 09:49
UAM 약빨이 먹혀야지,2022.02.09 09:40
분기 2퍼면 삼전보다 좋노 ㄷㄷ,2022.02.09 09:37
실적이 기대치에 못미치나,2022.02.09 09:34
설마 지금사면 배당받는줄 알고 사는거야?,2022.02.09 09:32
[유태인은 세계에정평난 우수민족::상업+과학기술],2022.02.09 09:22
앞으로 영업만 잘해서 이익만 늘리자ㆍ,2022.02.09 08:51
1660원 배당,2022.02.09 08:50
영업이익이랑 순이익증가인데?,2022.02.09 08:37
생각보다 배당금이 많이 적네,2022.02.09 08:13
배당금 언제 들어오나요,2022.02.09 07:43
배당금 공시 1660원,2022.02.09 07:37
SK텔레콤은 최근?UAM?서비스를 위한...,2022.02.09 07:21
내일,2022.02.08 23:29
매매동향,2022.02.08 15:43
진짜진짜  짜증나는 주식이네!!!!,2022.02.08 13:09
2만개 뚫뚫,2022.02.08 12:28
SK텔레콤은 도심항공교통(UAM)과 인공지능...,2022.02.08 11:58
개미들 엄청 매도 하누만.  ????,2022.02.08 11:05
잡주야올라라,2022.02.08 10:14
그냥 5.5가면 추매하면된다,2022.02.08 09:27
모간 쓰레기. 또 들어왔네.  ??,2022.02.08 09:26
왜 외인들은,2022.02.08 09:13
분기배당주들중에서 제일 안전한종목 맞죠?,2022.02.08 08:30
배당금4천원은 넘겠지?,2022.02.08 08:23
[아젠다나라는 국민을위한나라가아니다!!],2022.02.08 08:12
미통신주  급락 ㅡㅡ  경축,2022.02.08 07:10
Sk텔 동생 브로드밴드 먹고살기 힘든가 즉시처리 못하냐,2022.02.08 04:24
배당공시 안때리냐?,2022.02.08 03:24
2월 MSCI 라밸런싱 일정 및 편입 편출 예상,2022.02.07 20:38
평단,2022.02.07 19:55
배당공시,2022.02.07 17:53
"6만원,,,",2022.02.07 17:39
아무리 배당주지만 기본 가격은 지켜야지,2022.02.07 17:32
실적발표를 앞두고 하락하는거 보니,2022.02.07 15:12
Sk스퀘어 가는데~~~,2022.02.07 14:57
다른통신주 보합 양전할때 혼자 빌빌대네,2022.02.07 14:14
"KB국민銀-SK텔레콤, 협업 첫 결과물 'AI뱅킹 서비스' 공개",2022.02.07 14:13
10개추매!,2022.02.07 13:41
이건 경기방어주가아니네,2022.02.07 13:36
[삭제된 게시물의 답글]엘지 유플 12800윈에 옮기길잘했네 개이득ㅎ,2022.02.07 17:03
추매너무좋네 딴대서돈벌고 또추매하러올게여,2022.02.07 12:19
200주 완성,2022.02.07 12:17
매물대를 보아하니,2022.02.07 12:00
거버넌스가 쓰레기인 기업 (feat.물적분할 및 자회사 상장),2022.02.07 11:33
영업익 4조' 시대 눈앞에 둔 이통3사,2022.02.07 11:09
약속의시간 11시,2022.02.07 11:06
54800 추매ㅎㅎ,2022.02.07 10:48
55 깨졌네..,2022.02.07 10:46
기냥~,2022.02.07 10:42
악재가뭐니..,2022.02.07 10:40
기관.외인,2022.02.07 10:32
55100 200주추매,2022.02.07 10:25
[비굴하라..],2022.02.07 10:08
ㅋㅋ배당 얼마나 준다고~~,2022.02.07 10:03
SKT - JOBY 협약 뉴스 뜸!,2022.02.07 09:53
배당주는 배당받을때되면 올라감 ㅋㅋ,2022.02.07 09:39
"우상호 ""과잉의전 논란, 이재명·김혜경이 갑질한 사안은 아냐""",2022.02.07 09:36
얘는 내 평단 맞추기를 몇 번이나 하는지...,2022.02.07 09:33
이것도 OOO 주식이네!!!,2022.02.07 09:27
추매하고갑니다,2022.02.07 09:12
모간서울,2022.02.07 09:10
개잡주새리,2022.02.07 09:05
배당금 지급 문의,2022.02.07 08:17
배당,2022.02.06 10:23
올라가거나 말거나 배당율 계산갑니다,2022.02.06 05:07
다음 주 9일엔 SK텔레콤 실적 발표,2022.02.05 22:43
sk텔레콤 joby aviation  하고 파트너 실화냐?,2022.02.05 18:46
월요일 매수할려고 하는데?,2022.02.05 16:28
SK텔레콤은...,2022.02.05 10:10
배당은 얼마인가요?,2022.02.05 00:42
어느 변호사의 선행,2022.02.05 00:04
51900 / 2000,2022.02.04 23:01
sk텔레콤,2022.02.04 22:54
"안진걸 민생경제연구소장이 자발적으로  이 후보 지지 모임 맹글엇댄다,,",2022.02.04 20:41
며칠전 지수 2600 찍을때도,2022.02.04 18:53
"제발6만원,,,,",2022.02.04 14:47
12월 배당은 얼마정도로 예상하시나요 ??,2022.02.04 13:20
앗싸ㅋㅋ,2022.02.04 12:47
Sk스퀘어 가는데~~~,2022.02.04 10:02
이건 1월부터 장중에 55500 아래로만 가면,2022.02.04 06:41
"이재명, '공금횡령, 한 번만 해도 퇴출' 재조명 공약",2022.02.03 19:47
55밑으로 빠지면 ,2022.02.03 17:01
개잡주OOO,2022.02.03 16:06
찔끔찔끔 ,2022.02.03 15:47
속임수 성공~,2022.02.03 15:22
카악 퉤 쓰레기종목이네요,2022.02.03 15:21
내가 다시 sk 사면 사람이 아니다.,2022.02.03 15:16
국내 최초 블록체인·DID 기반 무인 매장용 ‘코로나19 예방 접종 정보 인증 시스템’ 출시,2022.02.03 14:52
아무리 배당주라지만!!!,2022.02.03 12:10
[난종종 다우육상운송지수보다 영국지수를 선도지수로..],2022.02.03 11:39
내린게11%인데,2022.02.03 11:04
공시,2022.02.03 10:56
통신배당주입니다 징징거리는 거 자제좀,2022.02.03 10:37
28000개,2022.02.03 10:07
잡주노,2022.02.03 10:01
엄청눌리네,2022.02.03 09:57
두달만 더 버티면 현금들어옴ㆍ,2022.02.03 09:51
오늘 장 좋은데...,2022.02.03 09:36
마이너스 모야 게텔콤아,2022.02.03 09:07
이제 아침에 봅시다,2022.02.03 00:21
SK텔레콤 새 소식,2022.02.02 23:18
젊은 세대와 다음 세대의 잠재적 부를 좀먹는 포퓰리스트 정치인,2022.02.02 19:27
새해 복 많이 받으세요 ^♡^*,2022.02.02 17:47
하하한,2022.02.02 16:07
