title,date
횡보털기 구간일듯,2022.02.14 18:47
위믹스 카지노나 기대혀,2022.02.14 18:25
코스피 200 종목도 아니고,2022.02.14 18:19
재료에 다 낚임..결국 설거지 기사네..,2022.02.14 18:07
로스트아크 흥행중이니,2022.02.14 17:30
관계없습니다.,2022.02.14 17:41
소셜카지노 p2e NFT,2022.02.14 17:24
형이 딱이야기해준다,2022.02.14 17:14
단기 2.2만 직행이다. ,2022.02.14 17:10
내가 느낀건데,2022.02.14 16:38
올릴구간아닌데,2022.02.14 16:34
동접자수 벌써 2위로 밀렸어요 미치것네요 ,2022.02.14 16:34
꼬북이처럼,2022.02.14 16:04
주말 내내 로스트아크니 나발이니  졸라게 씨그럽드만,2022.02.14 15:57
어후  쳐물린 개미들 보소,2022.02.14 15:55
인수가격 42000원 ... 지금 가격 26000원,2022.02.14 15:52
갑자기 좋은 아이디어가 떠올랏어,2022.02.14 15:52
유투브 주식 리딩방 하는  눈깔 판 사기꾼 새키하고 짜고치네 ...,2022.02.14 15:43
무증함주라 유보율도 개쩌는고만,2022.02.14 15:39
코스닥이 2시이후로,2022.02.14 15:38
블록체인 약빨 떨어졌나? ㅋㅋ,2022.02.14 15:33
감사,2022.02.14 15:31
요즘 거래량 없으면 안쫄아,2022.02.14 15:29
누군가 짜증이 많이 난 차트네요,2022.02.14 15:24
오늘 위에서 잡았으면 -15퍼인가?거래량 개터졌네?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022.02.14 15:23
미친거 아냐???,2022.02.14 15:22
복구는 넷마블 itam 코인이지!!,2022.02.14 15:19
오히려 좋아,2022.02.14 15:18
개발작하는거보니,2022.02.14 15:16
그지 지랄 발광중이네,2022.02.14 15:14
잘 먹고,2022.02.14 15:14
작년 년말에 유증 리픽싱 최저가!,2022.02.14 15:12
아..작전이었구나,2022.02.14 15:10
로아동접떨어졌나요?왜떨어지지,2022.02.14 15:05
밑에 매수 걸어놓으면 프로그램으로 계속 매도때린다이,2022.02.14 14:56
왜 내리냐???,2022.02.14 14:56
"하...아까 수익권일때 나갈걸...이정도로 떨어진다고,,?",2022.02.14 14:55
오늘 안가면 내일가것지,2022.02.14 14:51
이런게 진 개잡주지ㅋ,2022.02.14 14:51
얘는 왜이렇게 떨구는거야?,2022.02.14 14:50
장개시전 뉴스로...,2022.02.14 14:44
찌라시 날리고,2022.02.14 14:42
외인들 프로그램 매도 9만주..,2022.02.14 14:24
위메이드 반등!!,2022.02.14 14:23
로스트 했네 ㅋㅋㅋ 계좌,2022.02.14 14:10
대단하다,2022.02.14 13:44
거래량 개터진 윗꼬리 개떡락ㅋㅋㅋㅋㅋㅋ,2022.02.14 13:42
꼬시다,2022.02.14 13:23
관련없다는게,2022.02.14 13:22
약속의시간 오후 2시알제?,2022.02.14 12:44
지금 매수하면 됩니꽈?,2022.02.14 12:42
로아관련주라 시초가에 산 흑우업제,2022.02.14 12:06
꼬시다 로아관련주 라고 올라간다면서,2022.02.14 12:06
선데이토스트 육개장 먹으러 왔노,2022.02.14 11:48
주봉,2022.02.14 11:43
힘내자,2022.02.14 11:30
여기가..  그 유명한..,2022.02.14 11:16
로아 관련주라는 찬티다,2022.02.14 11:16
누가 돌아다니며 이게 그렇게 좋다고 광고질 하더만,2022.02.14 11:13
로아는 덤,2022.02.14 11:06
하...,2022.02.14 10:54
그래도 뭐가 있지 않을까,2022.02.14 10:45
애니팡 출시!!!!!,2022.02.14 10:44
로아 관련주라고 하던 찬티들 나와봐,2022.02.14 10:42
로아니 뭐니 뇌에 우동사리 쳐넣은ㅅㅋ들이,2022.02.14 10:39
하이튼 종토방 구라쟁이들,2022.02.14 10:38
아침에 산넘들은 사자마자 -10이네ㅋㅋㅋ,2022.02.14 10:36
한시간에 -10% 실화냐 ㅋㅋㅋ,2022.02.14 10:33
위메이드 인수하고 조땟네 ㅋㅋㅋ,2022.02.14 10:32
하루만에 -10.3% 아 ~ ㅠㅠ,2022.02.14 10:31
개미 물량 또 넘겼네,2022.02.14 10:24
브레이크 없는 종목이다.,2022.02.14 10:22
설거지를,2022.02.14 10:20
위믹스 상승인대....,2022.02.14 10:20
뽀드득 소리나네 ㅋㅋㅋㅋㅋ,2022.02.14 10:18
애들 귀엽네,2022.02.14 10:16
■ 잘먹고갑니다 꺼억~,2022.02.14 10:16
설겆이자리였네,2022.02.14 10:15
적정주가 3500원,2022.02.14 10:14
공매도 악법 개정 (퍼나르기 도움 부탁드립니다),2022.02.14 10:11
로아랑 관련없다고??,2022.02.14 10:07
이종목  재미있네   이런장에   몰려와서 안티하는 애들도있고,2022.02.14 10:07
1시간만에ㅣ 거래량56만주ㅋㅋㅋ,2022.02.14 10:05
지분도 없다시피 한 선데이토즈보단,2022.02.14 10:04
다들 팔기 바쁘네 ㅋㅋㅋㅋㅋㅋ,2022.02.14 10:02
곡소리나노 ㅋㅋㅋㅋㅋ,2022.02.14 10:01
보름만 기다려봐,2022.02.14 09:59
ㅋㅋㅋㅋㅋ 로아관련주 ,2022.02.14 09:50
이제 접근금지 ㅋㅋㅋㅋㅋ,2022.02.14 09:50
어우 달아 이 썩겟당ㅋㅋㅋㅋ,2022.02.14 09:43
한유아 YG계약,2022.02.14 09:40
여기가 그 로아랑 관련 1도 없는데,2022.02.14 09:39
극동유화 한일사료 대성산업,2022.02.14 09:36
또 작전주 쳐물렸네...,2022.02.14 09:35
한탕 끝 대성산업 고고,2022.02.14 09:32
프로그램매도 오지게 나오네,2022.02.14 09:22
이 ㅈ같은 종목은 여전하네 아주 ,2022.02.14 09:18
야,2022.02.14 09:17
어쩐지 찬티들만 바글바글하다더니 ㅋㅋㅋㅋㅋㅋ,2022.02.14 09:17
히바리가없네,2022.02.14 09:16
주말에 안티해서 미안하다  동접자가 132만이 장난이냐고?,2022.02.14 09:12
■ 스팀 130만명이 조스로 보이나?,2022.02.14 09:10
오늘 종가 최소 20프로 급등 예상한다  동접자 132만이 장난이냐,2022.02.14 09:09
아행복행,2022.02.14 09:05
로스트아크 최대지분 ㅋㅋ,2022.02.14 09:01
오 갭없이 간다개꿀!!!!,2022.02.14 08:59
로아 지분 35퍼주자나 ,2022.02.14 08:56
애니팡 관련주다,2022.02.14 08:53
왜케 오르누,2022.02.14 08:51
아 3자 유증해5구나 ㅋㅋㅋ,2022.02.14 08:46
금요일 종가 신용풀매수,2022.02.14 08:36
아니 이걸 물량 넘기려고 친티;;;,2022.02.14 08:34
유통주식수가 없음,2022.02.14 08:27
시초 매수하면 호구맞지,2022.02.14 08:11
한번 더 알려줌,2022.02.14 08:09
네오위즈 게시판엔 기대감으로 폭발적인데.,2022.02.14 01:17
스팀 로아동접 115만~,2022.02.14 00:57
"네오위즈 주주로서 한마디 함.... 내일 시가, 종가",2022.02.14 00:21
급등전 마지막으로 말한다. 시초에 무적권 잡아야한다.,2022.02.14 00:13
동시접속률은 아무런의미없다.,2022.02.13 23:53
찬티들 너무 많아,2022.02.13 23:39
로아가 대박을 치든 쪽박을치든,2022.02.13 23:16
