title,date
도박주주들 돈삭제되는거보니 기부니가조타 ,2022.02.14 19:15
와우 40층 진짜 찍었었네 ㅋㅋㅋㅋ,2022.02.14 19:14
내일 주가 오를때도 탈출못하면 답도없은거다ㅋㅋㅋ,2022.02.14 19:12
도박뽑기를떠나 겜성그래픽90년대 똥아니냐 ㅎ,2022.02.14 19:10
내일 IR에 P2E에 대한 거대한 계획 발표해라..,2022.02.14 19:08
4분기 실적,2022.02.14 19:04
코스피폭락인데 어제랑 비슷하군ㅇㅇ,2022.02.14 19:04
5종 빠칭코 ㅋ 그래픽 똥 ㅋ 주주니들이바바,2022.02.14 19:03
솔직히 엔씨에 대해서 부정적으로 보는 분들(안티분들),2022.02.14 18:58
내일 가나요?,2022.02.14 18:57
낼 IR가 오후 4시 인거 보니,2022.02.14 18:57
송준호 손범준같은놈들만,2022.02.14 18:56
프로젝터E=리니지 조선버전,2022.02.14 18:52
아직도 엔씨에게 희망을 가진 지능 유인원이신 분들..,2022.02.14 18:51
형들 그거 알어?,2022.02.14 18:51
카악 퉤~,2022.02.14 18:48
52주 신저가 ㅊㅋㅊㅋ,2022.02.14 18:47
엔씨가 갓겜 내서 주가 떡상할 확률..,2022.02.14 18:43
평단이나 까고놉시다서로,2022.02.14 18:40
MZ세대가 엔씨게임 안하는데 뭔 신작이야,2022.02.14 18:37
엔씨소프트 종목게시판은 사회에 불만 있는 사람들의,2022.02.14 18:36
팩트)엔씨이놈들,2022.02.14 18:36
딱 보니 오르겟네,2022.02.14 18:31
신겜기다리는애들은 ㄹㅇ 능지문제임,2022.02.14 18:30
큰돈 굴리는 사람들은,2022.02.14 18:27
이젠 50층이하로,2022.02.14 18:27
내일 엔씨가 60갈수 밖에 없는 이유 팩트 정리,2022.02.14 18:27
내일이네^^똥줄타지요??ㅎㅎㅎ,2022.02.14 18:26
내일 상한가 가나요?,2022.02.14 18:24
팩트,2022.02.14 18:22
낼 하한가 갈 가능성 높겠는데,2022.02.14 18:21
팩트 내일 실적이 좋으면,2022.02.14 18:18
유럽 폭포수시작 나스닥선물폭포수시작 ㅋㅋ,2022.02.14 18:17
시그니처 8종 쿠폰?,2022.02.14 18:12
엔씨는 이제 지는별이죠,2022.02.14 18:08
ㅋ 연기학원들다녀서 낼또의미심장한표정으로,2022.02.14 18:04
영업이익 2천억 미만이면 튀어라,2022.02.14 18:03
순간 나락가는줄 알았잖아 형,2022.02.14 18:03
반응 대박 좋다 신규 게임,2022.02.14 18:00
똘끼 구독취소해라,2022.02.14 17:50
리니지w 숙제받은 BJ들,2022.02.14 17:48
NFT 관련주 다 오른것 아닌가,2022.02.14 17:46
머하냐 ... 49안가고...  빨리가자!!!,2022.02.14 17:42
엔씨가 살아남는 마지막 방법. ,2022.02.14 17:42
아메바들이 서식한다고 해서 왔습니다,2022.02.14 17:40
옆집 카겜 보고 왔는디,2022.02.14 17:39
노엔씨) 약속보다는 패키지부터. NC소프트의 만행을 우리는 잊지 말아야 합니다.,2022.02.14 17:37
블소s 이거 수집형으로 나온다는데 알지?? 리니지 레드나이츠 엔진에 블소스킨일거야 아마..,2022.02.14 17:37
린w 발표하고 사퇴 한사람 기억하지???,2022.02.14 17:34
윗물이 썩으니 아랫물까지 썩었지,2022.02.14 17:30
낼 실적발표하고 48까지 주저앉겄네 ㅋㅋ,2022.02.14 17:29
낼 실적발표하고 48까지 주저앉겄네 ㅋㅋ,2022.02.14 18:01
티비에 광고한거 기억나는데,2022.02.14 17:29
엔씨가 말하는건  전부 구라라고 보면된다.,2022.02.14 17:26
되도안한 신작 5개 만들려고,2022.02.14 17:24
아이템 이번만 딱 팔겠습니다.,2022.02.14 17:22
리니지w는 마지막 리니지 입니다.,2022.02.14 17:18
엔씨 신작 효과 기대된다,2022.02.14 17:16
신작나오면 ,2022.02.14 17:15
모바일 특성 에 맞춘게임,2022.02.14 17:13
엔씨게임 특,2022.02.14 17:12
내일 개폭락,2022.02.14 17:11
신작게임 기대한다고?ㅋㅋ 겁나웃기네ㅋ,2022.02.14 17:08
쏨쏘민 팬심으로 음원산다,2022.02.14 17:02
오스템에서...,2022.02.14 16:58
게임을 출시하면 매출은 어느정도 내니까,2022.02.14 16:57
린w 나온지 얼마나?다고,2022.02.14 16:57
으하하하하하  신종5개나 쳐냈는데 떨어졌네 ㅋㅋ 냉무,2022.02.14 16:57
앞으로 NC가,2022.02.14 16:55
그냥 주식개초보가봐도,2022.02.14 16:55
"프로젝트 TL 개발비 1,000억 이면",2022.02.14 16:53
오늘 보합인 이유,2022.02.14 16:52
엔씨의 신작5종 기대하지마라 ㅋㅋㅋ 뻔하다,2022.02.14 16:48
엔씨 도박장 특,2022.02.14 16:46
100층에 물린놈,2022.02.14 16:45
하락장에 이정도 버티는건 바닥이라는 증거..,2022.02.14 16:44
프로젝트tl 17년도부터 개발 ,2022.02.14 16:44
엔씨가 주가를 올릴수있는 방법은 이제 단 하나뿐입니다.,2022.02.14 16:43
폭락장을 피했다뇨...,2022.02.14 16:43
어찌 이럴수가있냐 ....유저들은 통곡을하고있는대,2022.02.14 16:43
엔씨 신규Ip분석,2022.02.14 16:39
그래도 오늘 영상 보니까,2022.02.14 16:39
낼 실적발표 후 조심해라,2022.02.14 16:37
내일 설명회 몇시쯤?,2022.02.14 16:36
내일,2022.02.14 16:36
엔씨 주식 특징,2022.02.14 16:35
찬티들아 너희보고 욕을 싸든 저주를 갈구든 추매하라는든,2022.02.14 16:35
나스닥 선물,2022.02.14 16:32
이제 안되니까 도박게임 물량으로 조지겠다는건가?,2022.02.14 16:31
저거 신작게임 5종 ,2022.02.14 16:31
4000명직원 야구단  사옥등 유지비가 엄청드는 회사에 신규게임bm무조건 쓰레기로 나옴,2022.02.14 16:31
30만원이 바닥이 아닐까 생각합니다.,2022.02.14 16:31
오늘 발표 문제,2022.02.14 16:27
주주들은 여기서 안티탓 하며 투덜댈게 아니라,2022.02.14 16:27
리지니 w 멀티 플랫폼 한다 하지 않났나요 ?,2022.02.14 16:22
어차피 오늘 발표한 신작들도 빠찡코게임이라서,2022.02.14 16:22
근데 신작나와도,2022.02.14 16:20
엔씨에 멀티플 못주는 이유? 간단하지 ㅋ,2022.02.14 16:19
NC라는 회사 자체가 미래가 없는 회사,2022.02.14 16:15
신작 5종???,2022.02.14 16:15
신작 또 급하게 내놓는 모냥새 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022.02.14 16:13
왜 애플앱스토어 사용 안하냐고?,2022.02.14 16:10
혹시 100에 물리신분 있나요?,2022.02.14 16:10
이이온 언제나오냐?,2022.02.14 16:08
68층 수컷 흑송아지 입니다,2022.02.14 16:07
68층 수컷 흑송아지 입니다,2022.02.14 16:14
내일 분식회계 실적 구라 친다에 1표,2022.02.14 16:07
내일 분식회계 실적 구라 친다에 1표,2022.02.14 16:16
그래도 내일까진 버틸거임 ㅇㅇ,2022.02.14 16:04
아랍왕자의 수상한 행보,2022.02.14 16:02
실적발표 언제?,2022.02.14 16:02
이젠 버티기도 힘들어보인다..,2022.02.14 16:02
"씨제이의 넷마블 지분을 아랍왕자가 먹게 되면 어떤 일이 벌어지는가,,",2022.02.14 16:01
엔씨의 문제는 관종 CEO 때문임,2022.02.14 16:01
소비자가 저주하는 기업,2022.02.14 16:00
"넷마블과 엔씨의 전략적 지분관계 영원한 것인가,",2022.02.14 15:59
앱스토어 매출순위 리니지w 5위,2022.02.14 15:59
이주식  살때는  ,2022.02.14 15:59
엔씨는 3N1k에서 퇴출해야한다,2022.02.14 15:59
아랍왕자 단순 투자 맞나,2022.02.14 15:58
코스피 쓰레기 4대천왕,2022.02.14 15:56
생각보다 안떨어졌네요,2022.02.14 15:56
안티가 여길 왜오냐고?,2022.02.14 15:52
"엔씨 같은 비윤리적인 기업은 망해야 합니다,,",2022.02.14 15:50
이햐~ 이제 하다하다,2022.02.14 15:49
50만원이하로 가길래 급하게 신작소식내놨네..,2022.02.14 15:49
전설의 시작 엔씨,2022.02.14 15:48
신작이 쏟아진다!,2022.02.14 15:47
엔씨 택진이의 마인드는,2022.02.14 15:45
처음처럼!,2022.02.14 15:44
오늘 찬티들 기분 좋겠다..,2022.02.14 15:44
프로젝트R 뽑기 확인 ㅋㅋㅋ,2022.02.14 15:43
베르세르큰가 베스킨라빈슨가는 언제 나옴??,2022.02.14 15:43
신규 IP같은 쌉소리 하고있네,2022.02.14 15:43
와!!~~ ㄷㅐ박,2022.02.14 15:40
올해 신작출시는 없다. 팩트체크,2022.02.14 15:40
알바타령하는 choi의 과거,2022.02.14 15:39
엔씨 정말 매일마다 기록을 갈아치우네요 ㄷㄷ,2022.02.14 15:39
엔씨가 리니지류에서 벗어나서 다른 종류의 게임을,2022.02.14 15:39
중요한건,2022.02.14 15:36
다른나라랑 다른 공매도,2022.02.14 15:34
"엔씨의 새로운 기대작, 프로젝트 GDZ",2022.02.14 15:31
10만원 미만으로 갈 종목 엔씨,2022.02.14 15:31
오늘 지수에 제자리로 온것도 용하다....,2022.02.14 15:30
이열 신작오지네,2022.02.14 15:30
내일 공매견들 사망일~,2022.02.14 15:29
늦게와가지고 아쉽네,2022.02.14 15:28
영상나와도 거래량 봐라 ㅋ,2022.02.14 15:26
50만원선 깨졌었네,2022.02.14 15:26
중요한건,2022.02.14 15:23
이번 신작 간단 요약,2022.02.14 15:23
아직도 고점이네 은식이가 엔씨살렸다,2022.02.14 15:21
4짜 함 보입시더`,2022.02.14 15:20
엔씨 525000원에 100주 샀었는데,2022.02.14 15:19
돈받고 게임홍보하는 비제이도 욕하면,2022.02.14 15:18
미국이 화들짝놀라고 일본이 벌벌길며 중국이 소스라치는,2022.02.14 15:18
영상 주가방어 실패~!,2022.02.14 15:15
더 이상 NC에게는 대박이 없어.,2022.02.14 15:14
오늘은 내일 공매를위한 발판이었다.,2022.02.14 15:14
골프게임이 젤기대되는데 언제나오냐?,2022.02.14 15:14
"신작 티져보니까.. 도깨비,배그 베낀느낌이..",2022.02.14 15:14
역시 믿고 보는 엔씨,2022.02.14 15:13
사우디왕자 8천억 무과금,2022.02.14 15:13
