title,date
NFT는 하반기나 되야 얘기나올 것 같고,2022.02.14 19:18
외인10만주 사서 조아???,2022.02.14 19:12
외국인 오늘늘도 줍줍   기관들 줍줍,2022.02.14 18:44
겜주 시간외 ,2022.02.14 18:37
생각보다 하락이 낮아서 공매도 먹고?기 힘들겄구만,2022.02.14 18:32
개인순매수 누적,2022.02.14 18:14
카카오도 메타관련 투자한답니다!!,2022.02.14 18:11
노브라 얘는 뭔데 투자함??,2022.02.14 18:06
둥실둥실 지수따라다니는 카카오게임즈,2022.02.14 18:05
카카오게임즈 대표에게,2022.02.14 18:05
정신 차리세요 들~~,2022.02.14 18:01
내일 엔씨소프트  실적 발표,2022.02.14 17:52
아직 개미 털려면 천년도 더걸림,2022.02.14 17:37
10만 언제오냐,2022.02.14 17:35
1차 매수했음  ,2022.02.14 17:32
많이들 샀나?,2022.02.14 17:30
내일 집회 삭발식 합니다. 주주분들 모두 모여주세요 저도 참여합니다,2022.02.14 17:25
어 그래 해봐 해 해 해봐 자111살하면 그만이야,2022.02.14 17:22
"日, 우크라이나 사태 NSC 소집…대사관 직원 대피 명령",2022.02.14 17:14
살려주세요...,2022.02.14 17:08
NFT 개발자 돌연 사라졌다…투자금 들고 '먹튀' 속출,2022.02.14 17:08
아무래도 전여친에게..,2022.02.14 17:06
ㅋㅋㅋ시외 지들이 팔고 지들이 사면서,2022.02.14 17:03
2~3천주로 장난치누ㅋㅋ,2022.02.14 16:57
시외 패대기 떡락,2022.02.14 16:53
초콜릿,2022.02.14 16:49
의도적으로 누르고 개미물량 받아가네,2022.02.14 16:42
카캠은  오히려  외국인들 줍줍 하네요,2022.02.14 16:39
국장 세일기간이라 오늘 100주 추매했다,2022.02.14 16:38
와... 다들 어플로 동매좀 봐봐,2022.02.14 16:37
ㅂㄹ 형이야!!,2022.02.14 16:36
ㅎㅎㅎ 매도 믿음없음,2022.02.14 16:36
카겜 주주라면,2022.02.14 16:35
좀 가자 개새리들아,2022.02.14 16:32
이번주 대만오딘출시예정발표 그후,2022.02.14 16:31
노무라상 순식간에 51억원치 쇼핑 ,2022.02.14 16:31
카겜이 오늘도 수고했다,2022.02.14 16:30
내일이구나!!!!!!,2022.02.14 16:24
시총5조는 너무 거품이야,2022.02.14 16:20
어라??,2022.02.14 16:14
카카오게임즈 맛이 가네.....,2022.02.14 16:13
P2E NFT 게임은 카겜이 제일 유망하지,2022.02.14 16:13
말딸 임박이냐,2022.02.14 16:02
노무노무 어서오고,2022.02.14 16:00
노무노무 어서오고,2022.02.14 16:03
ㅋㅋㅋㅋㅋ을마안빠지누ㅋㅋㅋㅋㅋ,2022.02.14 16:00
노무라 들어왔네 다음주까지 기대해봅니다,2022.02.14 15:46
쪽바리 잔뜩들어왔네,2022.02.14 15:45
노무라 어서오고,2022.02.14 15:41
내일 5% 오릅니다.,2022.02.14 15:35
오늘도 고생했다 카겜,2022.02.14 15:34
대만 오딘 오픈날짜 이번주 발표 합니다,2022.02.14 15:23
띠껍노 ㅋ,2022.02.14 15:19
조현배 대표의 능력은 ??,2022.02.14 15:12
코인조정 줄때 넷마블 itam 코인 매수준비,2022.02.14 15:11
나라 망했냐?....,2022.02.14 15:03
말딸 언제낳옴?,2022.02.14 15:01
10만원 갈때까지 숨참는다,2022.02.14 14:59
카켐 ,2022.02.14 14:50
카겜은 게임주랑 같이 안움직임,2022.02.14 14:44
석유 주가 난리넹..,2022.02.14 14:44
와 옆동네 데브 난리났네,2022.02.14 14:39
조계현은 알바비만 받고 일안하냐?,2022.02.14 14:26
66층 기다려 보겠습니다.,2022.02.14 14:25
코스피 지수가 올라가기 때문에 오늘은 무조건 올라간다,2022.02.14 14:23
일하다 다시왔다ㅋㅋ,2022.02.14 14:22
종가봐야됨,2022.02.14 14:20
6만원대 매도치는 호구 ㄷㅅ들 업제?,2022.02.14 14:20
게임주들에게,2022.02.14 14:18
대장 늦잠잔거야?,2022.02.14 14:18
매도했다.,2022.02.14 14:18
400억을 보라코인에 투자 했어야지,2022.02.14 14:05
또,2022.02.14 13:57
또 찬티들 바닥에서,2022.02.14 13:47
"윤석열 ""공매도 감시 전담조직 신설…적발시 형사처벌""",2022.02.14 13:47
왜 갑자기 시가 회복하냐?,2022.02.14 13:46
"윤석열 ""공매도 감시 전담조직 신설…적발시 형사처벌""",2022.02.14 13:41
투자는,2022.02.14 13:39
찬티들 개나대는거봉께,2022.02.14 13:37
형이다,2022.02.14 13:37
꼭 욕을 해야 올려주지?? 빨리 올려,2022.02.14 13:34
니들때매 보라빠지자나,2022.02.14 13:33
자사주 시작했냐,2022.02.14 13:33
