title,date
예상 실적  목표치 기준 자체가 어닝쇼크인데!,2022.02.14 19:07
컨센선스영업이익줄었네,2022.02.14 19:07
전쟁나면 개폭락이다,2022.02.14 18:50
내일부터 금요일까지~,2022.02.14 18:32
퍼렇삐스  팔아삐스,2022.02.14 18:24
몰라 95000 500주야,2022.02.14 18:09
근데 올해 영업이익 전망치 왜케 낮음?350억?,2022.02.14 18:06
"펄어비스 자회사 넷텐션, 캐나다 게임 인프라 플랫폼 ‘엣지갭’ 입점 외",2022.02.14 18:00
내일은 펄 vs nc,2022.02.14 17:51
㈜희망회로와 불행회로 함께 돌리는 융합회로,2022.02.14 17:46
1000주 오전에 손절쳤는데 올렸네 ㅠ,2022.02.14 17:41
개인만 팔아서 ~~~~~~~~~~~~,2022.02.14 17:18
그래도올려놔서 9만지지는받을듯,2022.02.14 17:12
오늘 93층에 손절했는데 너무 푸근합니다,2022.02.14 16:55
외국인 매수세가 오래 이어졌으면 좋겠음,2022.02.14 16:45
펄어비스 어닝서프라이즈 기대하는사람있냐?,2022.02.14 16:44
내일 기업설명회에서 좋은 이야기좀 나왔으면 좋겠네요,2022.02.14 16:42
10만비스 가즈아~!!,2022.02.14 16:19
내일 메릴린 11만주 던질텐데 ,2022.02.14 16:18
95에 풀베팅했습니다. 선배님들,2022.02.14 16:13
내일 실적공시후 급락에,2022.02.14 16:11
오늘의 수급 (군계일학),2022.02.14 16:09
시외...쎄하다,2022.02.14 16:09
"◆ 펄어비스 자회사 넷텐션 '프라우드넷', 캐나다 게임 인프라 플랫폼 '엣지갭' 입점 등록일 2022년02월14일 12시51분",2022.02.14 15:57
정치테마주보다 못한 OOO 판이구먼,2022.02.14 15:50
요즘 테마 실적 발표후 폭락,2022.02.14 15:46
어떻게 1퍼에 8만주를 내어주냐;;,2022.02.14 15:46
떡상 가즈아!! 9만1900입니다!,2022.02.14 15:42
???? 갓어비스?,2022.02.14 15:35
★ 헐 몰랐는데 코스닥,2022.02.14 15:34
떡락이다...낼.,2022.02.14 15:29
큰의미 두지마 모지리들아ㅋ,2022.02.14 15:28
저는 500주 들고 랜덤박스 기다려봅니당,2022.02.14 15:26
펄어비스 바닥에서 크게될 대장님 이로다 ~~~,2022.02.14 15:21
불안..불안 하다 어째...,2022.02.14 15:20
왜 상환하는지 곰곰히 생각해봐,2022.02.14 15:20
오늘은 이정도면 되었다,2022.02.14 15:19
좋은 말 할 때,2022.02.14 15:18
대일이형!!! 형 부끄럼 많으니까.,2022.02.14 15:18
오늘같은날  상승이라면...,2022.02.14 15:14
아무래도 오늘은 고민하는 날인듯.,2022.02.14 15:12
일단 내일 ir 랜덤박스니까 부분매수해두고,2022.02.14 15:11
여기도 하락의 징조가ㅋㅋ,2022.02.14 15:09
깨비춤,2022.02.14 15:08
그니까 리스크 관리차 부분익절해두는거지,2022.02.14 15:07
펄 ir한두번 보나.,2022.02.14 15:06
