title,date
공매 평단 6.57,2022.02.20 19:01
"두올물산, 공매도 투자자 혼꾸녕 내는중. ㅋㅋ",2022.02.20 08:51
공정과 상식을 외치며 출마한 윤석열 ,2022.02.20 04:15
PER 10  될때까지  매수,2022.02.19 18:47
3만올때까지 여긴기다려야겟네,2022.02.19 17:30
김건희를 알고 싶다면~~,2022.02.19 17:04
코로나 종식을 위해 힘을 보태 주십시오!,2022.02.19 10:25
대선주자들은 국민에 기독인에 감동을 줄려면 진짜를 만나야!!,2022.02.19 10:01
윤석열 마스크 써라,2022.02.19 01:56
"""시중은행, 올해 금리상승 호재... 마이데이터·디지털전환 대비해야"" http://im.newspic.kr/Sx2lKXz",2022.02.18 23:59
누구를위한 선제공격 사드배치인가...,2022.02.18 20:41
초밥 10인분 수수께끼  풀리다,2022.02.18 19:39
촛불에 사라진 매국노들의 귀환!,2022.02.18 16:36
내 평단 102000원,2022.02.18 16:31
이번주,2022.02.18 16:15
비중 확대 지속,2022.02.18 14:54
끝난듯..,2022.02.18 14:41
걍 갈아타 신한으로,2022.02.18 14:21
동시호가 종가 예상,2022.02.18 14:12
동시호가 종가 예상,2022.02.18 14:50
금리인상전파세여,2022.02.18 13:31
매도타이밍이냐,2022.02.18 13:03
매도타이밍이냐,2022.02.18 13:21
외인들 공매도가 300억이 넘으니 문제,2022.02.18 12:42
결국 카뱅이 다 처먹을거야,2022.02.18 11:38
주주즐 생각해 볼 문제,2022.02.18 11:15
올려놓고 매도하기,2022.02.18 11:03
장초에 이래봤자 마감은 뭐다?,2022.02.18 09:42
매도자분들 감사합니다.,2022.02.18 09:34
코로나 종식을 위해서 힘 보태 주세요!,2022.02.18 09:18
오늘처럼  공매도 주축 모건패밀리 들어온날은,2022.02.18 09:12
도대체 왜 걸어다니면서 담배피는거냐 민폐되는 늠들아,2022.02.17 21:00
제가 요즘보는 증권/경제 카톡 뉴스레터,2022.02.17 20:17
초밥 10인분 수수께끼  풀리다,2022.02.17 18:58
[삭제된 게시물의 답글]PER 10  될때까지  매수,2022.02.17 20:13
MSCI 코스피5천은.,2022.02.17 15:52
매동에 다 나와있음.,2022.02.17 15:40
매동에 다 나와있음.,2022.02.17 15:44
시장 상승탄력 강화,2022.02.17 14:32
내 평단 102000원,2022.02.17 12:39
우금으로 부자 될께요,2022.02.17 12:12
카뱅이 굉장히 신경쓰이네요,2022.02.17 09:54
3월 미국금리인상,2022.02.17 09:24
전고,2022.02.17 05:33
한국 증시가 Msci 선진국 지수에 편입될시 영향분석,2022.02.16 21:03
외인  매도시작?,2022.02.16 18:29
외인  매도시작?,2022.02.16 20:20
이번급락장에 kb는 전고뚫었는데,2022.02.16 14:25
이번급락장에 kb는 전고뚫었는데,2022.02.16 14:43
이번급락장에 kb는 전고뚫었는데,2022.02.16 16:06
주가 올라가면,2022.02.16 14:01
징허다 징해,2022.02.16 13:30
Kb금융주 이번4월 배당이 어찌 되나요?,2022.02.16 13:14
줍,2022.02.16 13:13
모간서울 수훈갑...,2022.02.16 12:42
Kb금융 개잡주라는 사람특,2022.02.16 12:04
신한안가서  이리로 왔더니,2022.02.16 11:49
종가는 보합,2022.02.16 11:00
외인들 슬슬~ 패대기 시작~~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2022.02.16 10:44
인버스니? ㅋㅋㅋ,2022.02.16 10:08
세일한다,2022.02.16 09:39
물량 확대 전략,2022.02.16 09:33
질~질~,2022.02.16 09:16
푸틴형,2022.02.16 08:58
우크라이나 전쟁 안난다.,2022.02.15 23:53
코로나19 확산~부정선거 음모론(의심) => 노년층 투표율 떨어뜨리려..,2022.02.15 21:40
내일은 급등하나요?,2022.02.15 21:31
!!!!!,2022.02.15 21:13
이난장판에 그나마 너가있어 계좌가 버티지,2022.02.15 18:16
공포심리 역이용,2022.02.15 15:03
공매 상환.....4프로먹고나온다,2022.02.15 15:02
개인이 가진 kb 주식수,2022.02.15 13:32
은행주 더 갈 수 있을까?,2022.02.15 13:11
너를 너무 빨리 놔줬나봐,2022.02.15 12:26
우크라,2022.02.15 12:05
조용하네,2022.02.15 10:48
원달러 1200원 돌파 달러약세 시기전망,2022.02.15 06:47
공매도가 수상하다 정부?,2022.02.15 00:10
140조원자영업자,2022.02.14 21:11
오늘은  개미가 공매도 친듯..,2022.02.14 19:35
그래도 지금,2022.02.14 18:00
느려터진 은행업무,2022.02.14 14:21
이번주는,2022.02.14 13:22
모두 도망쳐라,2022.02.14 13:09
정신들 차리시오.,2022.02.14 12:56
외인들이 다먹네,2022.02.14 12:52
