title,date
배당 잘 줘야대,2022.02.20 08:38
새벽3시 ,2022.02.20 02:55
17000원까지 고고 개미들 매수하면  그땐 매도하고 ㅎㅎㅎ,2022.02.19 23:45
아직도 윤석열 지지하는 놈이 있나?,2022.02.19 22:14
윤석렬 어퍼컷 날리고 ? 곧 대통령 되면 어떻게 할건데 ? 이명박이한테 dase ,2022.02.19 19:06
"미접종자 피 ""400만원""",2022.02.19 18:42
선라이즈 사장이야기 들어 보는데 ,2022.02.19 18:16
전통시장앞에 대형쇼핑몰 만들자는 자신감은 뭐냐 ?,2022.02.19 16:19
2022년 배당,2022.02.19 14:13
코로나 종식을 위해 힘을 보태 주십시오!,2022.02.19 10:31
배당 가지고 참 말 많네(잠정확정),2022.02.19 10:28
이것들은 ,2022.02.19 09:26
여기도 횡령조심!!,2022.02.18 23:51
개미들 던질 물량도 바닥난듯,2022.02.18 22:40
올해 ,2022.02.18 22:02
문재인 5살 갓난아기도 고발!!,2022.02.18 19:30
문재인 5살 갓난아기도 고발!!,2022.02.19 18:29
배당금 ㆍ언제주니 ㆍ,2022.02.18 15:18
상장폐지가  답이다,2022.02.18 12:57
배당낙일 언제에요?,2022.02.18 12:39
15000까지 간다,2022.02.18 11:07
미국은,2022.02.18 09:27
기업은행 윤행장및 귀족노조 금융마피아들,2022.02.18 09:17
코로나 종식을 위해서 힘 보태 주세요!,2022.02.18 09:16
ㅋㅋㅋ,2022.02.18 09:05
오늘 또 기회가 오네요,2022.02.18 07:57
자사주매입 공개매수 상장폐지가 답,2022.02.18 07:56
세상 않변한다 ,2022.02.18 06:51
누가 샀을까???,2022.02.18 00:16
개미 물량 5%도 안된다.,2022.02.17 21:08
백신맞고 개죽음은 일상다반사가된 정권,2022.02.17 19:20
근데 오늘 하락 좀 신기한게…,2022.02.17 17:48
삼성전자 쳐물린애들 왜 쳐물렸냐?,2022.02.17 16:29
"11,000원이 정녕 싸게 보이냐?",2022.02.17 16:18
수급이 참,2022.02.17 15:00
"잘은 모르겠지만, 공매도 인가?",2022.02.17 13:31
푼돈 먹을려고 5만주 매수한거 아니다.,2022.02.17 12:44
왔네,2022.02.17 12:32
IBKS제17호스팩 신규공모 28주 배정받음 실화냐.  최종경쟁율 1. 비례경쟁율 1736.02:1 2. 예상균등수량 8주  스팩 공모주 역사상,2022.02.17 12:30
좃필이가.와야.가는구만,2022.02.17 12:03
배당,2022.02.17 11:55
ㅋㅋㅋ,2022.02.17 11:18
키움증권 15억원어치 한방에 사신 분...리스펙,2022.02.17 10:45
에휴 이제,2022.02.17 10:44
한국장은 이제 실적 장세,2022.02.17 10:43
장하성 김상조 나라 경제 파탄,2022.02.17 10:37
이거,2022.02.17 09:56
배당금 1100원정도면 좋을텐데,2022.02.17 09:14
과징금,2022.02.17 06:14
야대피해,2022.02.17 04:53
배당금 의결 얼마일까요?,2022.02.16 18:18
거버넌스가 쓰레기인 기업 (feat.중복상장 및 주주환원),2022.02.16 18:02
윤종원이 종목게시판에 설치고 다니네..,2022.02.16 16:23
11250원오면,2022.02.16 15:47
지겹네,2022.02.16 14:59
3.3클럽...??,2022.02.16 14:52
차등배당 부활시키고 공시나 좀 빨리 빨리 해라,2022.02.16 14:42
게시판에 윤종원 출몰,2022.02.16 14:32
5만주 매수자로서 꾸준한 배당이면 만족,2022.02.16 13:59
결과론적으로 정부 유증이 괜찮았어요.,2022.02.16 12:39
결과론적으로 정부 유증이 괜찮았어요.,2022.02.16 13:02
금융주들 다 떨어지네 뭐지?,2022.02.16 09:28
고수님들질문,2022.02.16 08:40
기업은행 배당금,2022.02.16 01:19
"[속보] 푸틴 ""러, 전쟁 원치 않아…서방과 안보협상 지속할 것""",2022.02.16 00:00
사람이 성질나면  상대방은  금방 쓰레기 되는겨 ,2022.02.15 23:15
썬라이즈 사법피해자들 이야기 들어 본적있냐 ? ,2022.02.15 20:24
국민들이 등신 상등신들이여 ? ,2022.02.15 18:55
나 궁금한게 기업은행은 왜 배당금 공시안해?,2022.02.15 18:22
"개미니들도, 20~30대들도 군대가야하고 ",2022.02.15 18:22
4만주 밑 아갈닥,2022.02.15 18:13
권력자들 믿지마라 ! ,2022.02.15 16:41
백신맞아야 밥먹을수 있는 시대,2022.02.15 15:25
우크라이나 전쟁,2022.02.15 14:45
"IBK투자증권, 지난해 순이익 사상 첫 1000억 돌파… 10년째 최대실적",2022.02.15 14:21
우금순이익 2조5천억 ,2022.02.15 14:09
1만주,2022.02.15 13:18
밑꼬리 단거보니 더 쏘겠네,2022.02.15 11:58
이달에도 금리인상 되겠죠,2022.02.15 09:56
