title,date
신한은행과 제주은행 합병 추진,2022.02.20 20:42
대단하다,2022.02.20 19:36
불 쉿~~~  내일 상한가로 다 죽여 버려요 ~~~!!!,2022.02.20 16:34
여기는 펀드판매한것 사고만 안터지만 오만은 충분하다,2022.02.20 13:12
■신규 매수금지■ 이유로 아직도 모를리가?,2022.02.20 12:39
1166주면,2022.02.20 08:15
[삭제된 게시물의 답글]떡상 불가능 43찍고 늘 그랫듯 다시 떡락가능 ㅡㅡ,2022.02.20 12:48
[단독] 이재명 아파트 옆집 경기주택公이 '합숙소'로 전세계약…초밥 10인분 주문 미스터리 풀리나,2022.02.19 21:19
"“이재명 발차기, 허경영 따라할줄은…단일화 각”",2022.02.19 17:52
2020년 내가 신한지주 매수 할 시기로 돌아간다면?,2022.02.19 13:59
이사가요 ㅡㅡ ,2022.02.20 12:46
임직원 다 짜르고 kb직원으로 채우면 안됨?,2022.02.19 12:59
45000원가면 비난은 덜 받을듯,2022.02.19 10:39
자..자.. 이제 담주부터가 시작이다 !,2022.02.19 09:49
"""시중은행, 올해 금리상승 호재... 마이데이터·디지털전환 대비해야"" http://im.newspic.kr/Sx2lKXz",2022.02.19 00:00
개인은 뒤지게팔고,2022.02.18 23:57
△미국처럼 기관과 외국인 증거금 법제화 △불법 공매도에 대해 영업정지 등 처벌 강화를 요구하고 있습니다.,2022.02.18 22:58
"우리·하나은행, 신한금융투자증권·라임자산운용에 1000억원대 손배소 제기",2022.02.18 21:45
오늘로 누적 순매도 130만주,2022.02.18 19:10
[단독] '라임사태' 손해배상 놓고…판매사 1100억원대 소송전,2022.02.18 19:01
아기회장 염병,2022.02.18 16:46
매도 목표가 얼마 보세요,2022.02.18 16:33
조회장 자사주 매입 수익율이 거의 0%대?,2022.02.18 15:48
ㅂㅅ 꼴값하네,2022.02.18 14:59
불구가되얏고나,2022.02.18 14:35
대단하다,2022.02.18 14:19
일단 52주 고가라도 뚫자,2022.02.18 13:59
오늘 3만원대 다시 볼줄알고...,2022.02.18 13:57
신한은 직원들에게 성과급을 주지마라…,2022.02.18 13:25
신투 2000주 매도 보고ㅡ거래창보니 던진거네,2022.02.18 13:07
빨리,2022.02.18 12:43
목표가상향 8곳KB 2곳신한ㅡ서영수이사 신한하향,2022.02.18 11:12
2월 기준금리인상 확정 ㅅㅅㅅ,2022.02.18 10:33
그래도 덜올라서,2022.02.18 09:50
내리는건 1등?,2022.02.18 09:04
우크라 한국 전쟁하냐?,2022.02.18 09:03
금리인상기 per얼마까지보냐?,2022.02.18 08:39
배당성향 30% 상향과 자사주 매입/소각  예상,2022.02.18 08:25
오늘다시 3만원대가겠네,2022.02.18 07:22
올해는 신한지주가 가장 안전하고 발전된 형태 효과 보인다,2022.02.18 04:55
신한지주의 모든 주린이들아 사고싶으면 지금도 늦지않았다 ,2022.02.18 04:41
주린이가 문의드립니다,2022.02.17 22:19
전북 전주시의 9급 공무원이 입사 한 달 만에 업무 과중을 호소하며 극단적 선택을 했다. ,2022.02.17 22:10
차라리 청산해서 잔여재산  분배하자,2022.02.17 21:56
신한저주 주가 올리는법.,2022.02.17 21:30
와 그래도,2022.02.17 21:29
신한지주 조용병 회장님........???,2022.02.17 20:57
내일 꼭 42000 원 올려주세요 ~~~!!!,2022.02.17 20:27
개자슭,2022.02.17 20:27
[중요] 주가 41250150036 거래량 1412745 거래대금 58391,2022.02.17 19:25
외인이랑 기관이 쓸어담네,2022.02.17 18:43
잡주,2022.02.17 18:39
잡주,2022.02.17 17:57
이런 염병할놈..,2022.02.17 17:40
버티면 먹는다!,2022.02.17 17:03
진짜 금융주 중 제일 쓰레기네.,2022.02.17 16:40
경축 하나랑 11150차이 ㅋㅋㅋ,2022.02.17 16:26
자... 자...  떠들지들말고 내일은 42000 원 가기를...,2022.02.17 16:07
회장 한놈 잘못뽑아던이 ,2022.02.17 15:53
잡주,2022.02.17 15:39
진짜 뭐가 문제냐..,2022.02.17 15:30
"[단독] 法, '환매중단'라임자산운용,파산 선고",2022.02.17 15:17
우크라이나,2022.02.17 15:16
우크라이나 정부 포격 부인 뉴스떳다,2022.02.17 15:39
뉴스봐라 개웃김ㅋㅋ,2022.02.17 15:00
전 금융섹터 저평가 원인.,2022.02.17 14:56
ㅋㅋㅋㅋㅋ,2022.02.17 14:43
"아내, 직장 회식때 상사 2명이 성폭행…영상도 있는데 수사 왜 안하나""",2022.02.17 14:36
징글징글 하네 ㅠㅠ,2022.02.17 14:26
배아파!,2022.02.17 14:23
결과는 뻔하다,2022.02.17 14:14
신한금투는 매물이  엄청 나오네,2022.02.17 14:10
개미들 있는 거 없는 거 다 내다파는 중,2022.02.17 14:07
5대금융주중 젤 쓰레기인데 팔고 옮겨가야지 ~,2022.02.17 14:12
조회장 다음이 진옥동이니 암울하다.,2022.02.17 13:46
회장하나 잘못뽑아던이 ㅠㅠ,2022.02.17 13:40
용변아  얼릉 자사주 소각 1억주 발표해라!!!,2022.02.17 13:34
전쟁나는갸??,2022.02.17 13:12
여기 팔라고 하는 애들 반대로 하면 됨,2022.02.17 13:03
어리석은 조 용변 무리들의 목을ㅊ야.....,2022.02.17 13:02
자  파랭이 기다리고 있다,2022.02.17 13:02
개미들아 유증하고 오너리스크 있는 회사 왜투자하냐,2022.02.17 12:59
다팔고  나가자,2022.02.17 12:51
선플하나없고 전부 악플인  금융주 ㅋ 이유를 모름?,2022.02.17 12:54
■신규매수금지■ 하나나 KB로 가세요. 어휴~,2022.02.17 12:46
분기배당,2022.02.17 12:38
받지말고  타 금융으로 갈아타는게 답,2022.02.17 12:49
신주,2022.02.17 12:27
카뱅보다 더한 잡주 회사가 신한이었다니,2022.02.17 12:51
★신한 45→41★하나36→52 KB47→65 우리 12→15,2022.02.17 12:27
몽둥이로 목탁을 칠까 보다 ,2022.02.17 12:22
자냐?,2022.02.17 12:21
축 경축~,2022.02.17 12:21
