title,date
오늘하루 증권가 루머들,2022.02.20 21:23
아주ib투자 인수 추진,2022.02.20 18:49
"바로알자! 남,북 분단과 6.25전쟁",2022.02.20 16:21
내일부터 은행주 폭락,2022.02.20 15:50
24일 기업 설명회에서 분기 배당안 즉각 발표하라!!!!!,2022.02.20 15:00
자사주 하나 매입못하면서,2022.02.20 07:31
손태승은 즉각 우금 주가부양에 나서라!!!!,2022.02.19 20:43
지나가는 개가 웃겠지요.ㅋ  ㅋ 제이피모건이 기업 설명회를.... 주가 하향안정화 시킨 주범사가. ㅋ  ㅋ,2022.02.19 19:25
[속보] 우크라 돈바스 지역 친러 반군 총동원령선포,2022.02.19 16:41
"전쟁은나되 정부군과반군간의 전쟁이될것같다. 미러는뒤에서지원하는전쟁으로, 이는오래끌고지쳐서쌍방이피곤한, 피해야할전쟁이다.",2022.02.19 16:31
암튼,2022.02.19 15:01
주린이 주말 집콕하면서ㅎㅎ ,2022.02.19 13:53
1차로13750원 13750원 13750원 13750원 현재의 제희망사항입니다. 현재의 제희망사항입니다. 14000-14500에서더다운시켰습니다,2022.02.19 13:07
언젠가는12000원대로갈것입니다.참고기다리면크게먹고성급하면적게먹고애태우먼서오래기다려야합나다..,2022.02.19 11:37
언젠가는12000원대로갈것입니다.참고기다리면크게먹고성급하면적게먹고애태우먼서오래기다려야합나다..,2022.02.19 14:02
러시아침공시.금리인상속도올림.우리지주수혜,2022.02.19 10:07
침공을 정당화하기 위한 러샤의 거짓도발!,2022.02.19 09:06
나는 주주입니다.,2022.02.19 08:40
옵티머스 펀드 사기 사건과 윤석열,2022.02.19 08:14
미국증시 폭락,2022.02.19 01:01
우금은,2022.02.18 23:23
RIVE틀니는 아닌것같고 한40대 ?겠네  오늘은,2022.02.18 23:13
손태승!!!! 알맹이 빠진 IR 뭐하러 자꾸해?,2022.02.18 20:39
한국 증시가 Msci 선진국 지수에 편입될시 영향분석,2022.02.18 17:53
"2만주 주주입니다 찬티도 안티도 아닙니다,,,",2022.02.18 17:30
윤석열주식양도세폐지 3월9일이후 대세상승,2022.02.18 17:28
목표가,2022.02.18 15:35
금요일인데 50원이라도 올려주라.,2022.02.18 15:09
20000원 되도,2022.02.18 14:50
우리지주 올해배당금 1000~1400원가능,2022.02.18 14:45
눌림목이 길수록,2022.02.18 14:39
"14,8 너무누르네",2022.02.18 14:34
역시 제이피 모건,2022.02.18 14:03
찬물 뿌리는 타이밍이 아주 예술,2022.02.18 13:50
지수는 보합인데,2022.02.18 13:29
멍청한 예보가 망친 우리금융 주가,2022.02.18 13:08
제이피 천만주,2022.02.18 13:03
코스피 많이 회복되고 있네요,2022.02.18 12:51
이번달~~,2022.02.18 11:59
겁나 누르?ㅋㅋ,2022.02.18 11:29
아. 오늘 팔았는데.,2022.02.18 11:20
주주들 생각해 볼 문제,2022.02.18 11:11
와우 역시 힘이 좋네 빨간불을 보여주고,2022.02.18 10:46
모간만 안팔면,2022.02.18 10:46
나스닥 10000깨진데서 비웃었는데.. 에휴,2022.02.18 10:09
정 신 병 자 백 수 rive****,2022.02.18 10:07
어차피 안팔아. 몇백원 올라도,2022.02.18 10:02
외국인도 은행주 매도 시작,2022.02.18 10:02
블록띨 전 공매도,2022.02.18 10:00
16층,2022.02.18 09:38
6.25때 돈 번 나라는 일본이다.,2022.02.18 09:10
은행주는 상투 고점,2022.02.18 09:09
망치망치~~,2022.02.18 09:04
한국이 전쟁났냐?,2022.02.18 08:52
배당성향 30% 상향과 자사주 매입/소각  예상,2022.02.18 08:26
전쟁영향이 아님...Fed. Mester발표 영향.,2022.02.18 08:17
"[속보] 잇따른 교전…우크라이나 전운, 전쟁으로 확산하나",2022.02.18 02:58
러 침공 가능성 아주높아...,2022.02.18 01:30
그래도 희망이~~,2022.02.18 01:18
미국 은행주 폭락,2022.02.18 01:09
지주사의 좋은 흐름,2022.02.17 23:13
주린이입니다,2022.02.17 20:24
낼은 하락이라 밥도 굶겠네!,2022.02.17 19:52
안티 찬티 댓글은 무의미~~,2022.02.17 19:38
예금보험공사   그냥 장내 매도 하고 있었네...,2022.02.17 19:24
우리금융지주 주주총회는 언제 하나요?,2022.02.17 18:50
우금 시외는 90%는 하방이네,2022.02.17 18:10
상한가 가자,2022.02.17 17:58
장 끝나니까 오보라고 기사 하나 뜨고 끝 ㅋㅋ,2022.02.17 16:47
포탄 오보!,2022.02.17 16:34
포탄 오보!,2022.02.17 16:53
이러다가,2022.02.17 16:03
내일은!,2022.02.17 15:59
우리란 단어 좋은데,2022.02.17 15:57
현금 비중확대,2022.02.17 15:53
15층 천정,2022.02.17 15:08
종가 15100,2022.02.17 15:07
jp모건같은 양아치,2022.02.17 14:58
 4대지주중,2022.02.17 14:56
우리금융지주 ,2022.02.17 14:52
신한개투,2022.02.17 14:41
가자 우크라이나,2022.02.17 14:33
예보 블록딜만 아니면,2022.02.17 14:25
"대신증권 “우리금융, 금리상승 최대 수혜”",2022.02.17 14:24
팬데믹 종료,2022.02.17 14:16
지루한 싸움,2022.02.17 14:02
우크라이나는,2022.02.17 13:31
"[속보] 러 언론 ""우크라군, 친러반군 장악한 루간스크에 포 공격""",2022.02.17 13:20
한투 외인 감사,2022.02.17 13:20
개미들이 던지네 ㅋㅋㅋㅋ,2022.02.17 13:09
급변,2022.02.17 13:01
신한개투 ,2022.02.17 12:58
"“우리금융, 금리상승 최대 수혜”",2022.02.17 12:42
윗꼬리 타임,2022.02.17 12:37
남은 예보지분 3.6%,2022.02.17 12:13
"나토 ""러시아 철군 안했다""…동유럽에 새 전투단 검토",2022.02.17 12:08
"모더나 CEO ""팬데믹 거의 끝났다",2022.02.17 11:49
헤드앤숄더,2022.02.17 11:47
헤드앤숄더,2022.02.17 11:54
금융주 섹터에서,2022.02.17 11:37
제이피 왜이럼?,2022.02.17 11:33
15 이상은,2022.02.17 11:31
와,2022.02.17 11:30
우리도 분기배당 갑시다!!,2022.02.17 11:24
rive야 너 덕분에 빠진 개미가 몇인지 궁금하다.,2022.02.17 11:20
상투잡은듯...,2022.02.17 11:08
상투잡은듯...,2022.02.17 11:32
종필이 블록딜 물량 20프로 소화,2022.02.17 11:01
우상향 차트의 모범답안.,2022.02.17 10:53
미국/한국 금리인상--금융주 상승,2022.02.17 10:35
"당신은주식 초딱지 인가봐, 증권주는끝났고 은행주는잘해야10~20%-----",2022.02.17 11:46
에이 어제살걸!!,2022.02.17 10:32
물량 20프로도 못채웠는데,2022.02.17 10:32
역시 갈놈은 가네요 ,2022.02.17 10:22
오늘 상한가 ,2022.02.17 10:20
제이피,2022.02.17 10:20
노잼이어도 쭉 들고가,2022.02.17 10:16
찔끔.올려주니까,2022.02.17 09:52
개미들 좋다고 달려드네,2022.02.17 09:52
JP 개새 또 납셨네,2022.02.17 09:34
4거래일 떨어졌으니 ,2022.02.17 09:34
오늘 그동안 떨어진걱 다 보전 하겠네요  상한가 예약,2022.02.17 09:27
Fomc 회의록 공개,2022.02.17 09:20
흑자 2조 8천억!!!!  코스피 10위!!!! 배당 12위!!!,2022.02.17 09:19
러시아 철군주장 허위!!!,2022.02.17 09:15
나스닥  !!!!!!!!,2022.02.17 05:48
"'충당금 압박'에 금융지주, 이익·배당 축소 불가피",2022.02.17 04:29
시간외거래..!!!!!,2022.02.16 19:42
우여곡절이 있어도 ,2022.02.16 19:06
Jp,2022.02.16 18:49
이번 주총에서 정관개정 안하면,2022.02.16 18:44
개인이 다 사간다,2022.02.16 18:21
거버넌스가 쓰레기인 기업 (feat.중복상장 및 주주환원),2022.02.16 18:00
속보 : 러시아 크림반도에서 철군 결정 !!!,2022.02.16 17:55
이번 주총에서 정관을 개정하라!!!!!,2022.02.16 17:07
아 진짜;;,2022.02.16 16:42
올랐네 ㅋ~,2022.02.16 15:37
종필아 그냥 호가창에 100만주 올려놔라,2022.02.16 14:50
손태승등 경영진 혼내러 본사가자,2022.02.16 14:34
종필이가,2022.02.16 14:30
얘들아~~ 팔거 다 팔았단다~~,2022.02.16 14:28
농협한테도 밀리고,2022.02.16 13:52
예금보험공사,2022.02.16 13:43
"손태승이 연임 기준은 상장가 16,000원 이다!",2022.02.16 13:43
금융,2022.02.16 13:40
힝! 다 돌아섰네...,2022.02.16 13:39
jp모건 이넘들은,2022.02.16 13:30
시방 블록딜 하더라도,2022.02.16 12:30
오랫만이네,2022.02.16 12:23
태승이형 뭐해요?,2022.02.16 11:54
블록딜 땜에,2022.02.16 11:48
오후장에,2022.02.16 11:40
배당 언제 입금해주나요?,2022.02.16 11:32
모간 vs 모간 프로그램 싸움,2022.02.16 11:23
우금 5% 이상 주주에게 이사 선임권 줘라!!!!,2022.02.16 11:13
오늘,2022.02.16 11:10
꿀팁,2022.02.16 10:50
매수 주체가 없어.,2022.02.16 10:47
오늘같은 날,2022.02.16 10:29
1만원쯤 사면된다,2022.02.16 10:29
우금 손태승은 주가 부양을 위해 뭐했냐?,2022.02.16 10:26
하..예보..,2022.02.16 10:23
최근 수급이 좋지않네요,2022.02.16 10:23
?필이가 개미 피빨아 먹네? ,2022.02.16 10:17
태승이형,2022.02.16 10:13
예보애 지분 다털어라 간보지말고,2022.02.16 10:08
