,Unnamed: 0,날짜,기사제목
0,0, 2022.02.14 18:12,엔씨 리니지 의존도 줄인다… 신규 IP 줄줄이 출격 대기
1,1, 2022.02.14 18:02,"엔씨, 신규 IP 대거 공개…“개발 단계부터 소통 확대할 것”"
2,2, 2022.02.14 14:08,"‘프로젝트R’부터 ‘TL’까지…엔씨, 신규 IP 5종 미리보기 영상 ..."
3,3, 2022.02.14 12:27,"엔씨, 신작 개발 팔 걷었다…신규 IP 5종 티징 영상 공개"
4,4, 2022.02.14 11:43,"엔씨, 리니지 外 글로벌 IP 확장 신호탄…신규 IP 5종 공개[영상..."
5,5, 2022.02.14 11:22,탈(脫)리니지 서두르는 엔씨…신작 5종 공개
6,6, 2022.02.14 11:07,엔씨소프트 신작 5종 쏟아진다…올 하반기 'TL' 출시
7,7, 2022.02.14 10:37,"엔씨소프트, 신작 IP 5종 티징 영상 공개…TL 하반기 출격"
8,8, 2022.02.14 10:23,"엔씨소프트, 리니지 굴레서 벗어나나...신규 IP 티징 영상 공개"
9,9, 2022.02.10 16:25,'오일머니' 유입에…넥슨 이어 엔씨도 강세
10,10, 2022.02.10 09:50,K-게임에 빠진 '오일머니'…넥슨 이어 엔씨에도 투자
11,11, 2022.02.10 09:33,"엔씨소프트, 사우디 국부펀드 8000억 투자 소식에 '강세'"
12,12, 2022.02.10 09:21,"'오일머니의 힘' 사우디PIF, 넥슨이어 엔씨소프트에도 8천억 투자"
13,13, 2022.02.10 09:17,"엔씨소프트, 사우디 국부펀드 매입 소식에 2% 상승"
14,14, 2022.02.09 18:57,"사우디 국부펀드, 넥슨 이어 엔씨소프트에도 투자"
15,15, 2022.02.07 17:04,"엔씨, ‘유니버스’ 1년 만에 다운로드 2100만 기록"
16,16, 2022.02.07 11:12,"엔씨 팬덤 플랫폼 유니버스 출시 1주년, 다운로드 2100만 기록"
17,17, 2022.02.07 10:28,엔씨 '유니버스' 1년…2100만 글로벌 K팝 팬 반했다
18,18, 2022.02.07 10:15,"출시 1주년 맞은 엔씨 '유니버스', 누적 다운로드 2100만…해외 ..."
19,19, 2022.02.07 11:23,"넥슨, 엔씨 출신이 만든 '에누마' 에듀테크 선도한다"
20,20, 2022.02.04 17:28,"반토막난 '황제주' 엔씨, 목표가 줄하향"
