,Unnamed: 0,날짜,기사제목
0,0, 2022.02.10 17:40,"선데이토즈, 이호대 신임 대표이사 선임"
1,1, 2022.02.10 15:27,"선데이토즈, 이호대 신임 대표이사 선임"
2,2, 2022.02.10 16:01,"선데이토즈, 이호대 대표이사 신규 선임"
3,3, 2022.02.10 15:39,선데이토즈 신임 대표이사에 이호대 위메이드커넥트 대표
4,4, 2022.02.10 15:35,"이호대 위메이드커넥트 대표, 선데이토즈 이끈다"
5,5, 2022.02.10 14:27,"선데이토즈, 이호대 대표이사 신규 선임"
6,6, 2022.01.17 16:58,"위메이드, 선데이토즈·플레이링스·플라이셔와 블록체인 사업 MOU"
7,7, 2022.01.17 14:30,"위메이드 ""선데이토즈·플레이링스·플라이셔와 블록체인 MOU"""
8,8, 2022.01.17 11:34,"위메이드, 선데이토즈 등 3사와 블록체인 협력 MOU"
9,9, 2022.01.14 07:01,"[기업공시 1월 13일]선데이토즈, 위메이드이노베이션으로 최대주주 변경..."
10,10, 2022.01.13 17:06,"[공시]선데이토즈, 위메이드이노베이션으로 최대주주 변경"
11,11, 2022.01.13 16:51,"선데이토즈, 위메이드이노베이션으로 최대주주 변경"
12,12, 2022.01.13 15:47,"선데이토즈, 위메이드이노베이션으로 최대주주 변경"
13,13, 2022.01.12 10:27,"선데이토즈, ‘애니팡4’에 신규 장애물 ‘디스코 플로어’ 추가"
14,14, 2021.12.23 08:21,"선데이토즈, ‘애니팡3’ 크리스마스 이벤트 진행"
15,15, 2021.12.20 18:22,위메이드서 인수 소식에···'애니팡' 개발사 선데이토즈 급등
16,16, 2021.12.20 15:52,"위메이드, 1367억원에 선데이토즈 인수…더 커진 '위믹스' 생태계"
17,17, 2021.12.20 15:26,"선데이토즈, 위메이드 피인수 소식에 급등…'NFT' 올라탔다"
18,18, 2021.12.20 15:15,"[특징주] 선데이토즈, 위메이드 생태계 합류...21% 급등"
19,19, 2021.12.20 13:59,"위메이드, '애니팡' 개발사 선데이토즈 인수···블록체인 게임 공격투..."
20,20, 2021.12.20 13:17,"위메이드, ‘애니팡’ 선데이토즈 인수한다"
21,21, 2021.12.20 17:09,"진격의 위메이드, 1600억 들여 선데이토즈 품었다"
22,22, 2021.12.20 15:14,"선데이토즈, 최대주주 변경 수반 주식양수도 계약 체결"
23,23, 2021.12.20 13:36,"선데이토즈, 최대주주 변경 주식양수도 계약 체결"
24,0, 2021.12.20 15:01,"위메이드, '애니팡' 개발사 선데이토즈 인수"
