,Unnamed: 0,날짜,기사제목
0,0, 2022.02.11 07:53,"""DGB금융지주, 곧 시중은행 수준의 배당성향 지급 예상""-메리츠"
1,1, 2022.02.11 07:31,"[클릭 e종목]""DGB금융지주, 올해 순이익 5% 성장 전망"""
2,2, 2022.02.10 16:53,"DGB금융지주, 주당 630원 현금배당 결정"
3,3, 2022.02.10 16:47,"DGB금융지주, 지난해 영업이익 7486억원···전년대비 48.8% ↑"
4,4, 2022.02.10 16:39,"DGB금융지주, 지난해 영업익 7486억원···전년비 48.8% ↑"
5,5, 2022.02.10 16:18,"DGB금융지주, 지난해 영업익 7486억…전년비 48.8% ↑"
6,6, 2022.02.10 16:09,"대구은행, 지난해 영업익 4269억.. 전년비 40.8%↑"
7,7, 2022.02.10 16:05,"대구은행, 지난해 영업익 4269억…전년비 40.8% ↑"
8,8, 2022.01.20 10:39,"DGB금융그룹, 메타버스에서 가상 제2본점 빌딩 매입"
9,9, 2022.01.11 15:20,"DGB금융그룹, 18일까지 전문직 채용 접수"
10,10, 2021.12.30 17:56,[인사]DGB금융그룹
11,11, 2021.12.29 10:07,[인사]DGB금융그룹
12,12, 2021.12.22 10:51,"DGB금융그룹, ‘디지털 패셔니스타’ 메타버스 해단식 개최"
13,0, 2021.03.15 13:58,[특징주]실적 개선 기대...하나·DGB금융지주 등 신고가
14,1, 2021.03.10 17:08,"DGB금융그룹, 2050 탄소중립 위한 기후금융지지 선언 동참"
15,2, 2021.02.18 16:57,"DGB금융그룹, 스마트 오피스 시스템 구축 완료"
16,3, 2021.02.18 16:14,"DGB금융그룹, VDI 구축 통해 비대면 업무환경 보안 강화"
17,4, 2021.02.16 16:22,"DGB금융지주, ESG 목적 영구채 수요예측서 흥행 성공"
18,0, 2021.12.20 15:40,"DGB금융지주, 대구은행 1주당 808원 현금배당 결정"
19,1, 2021.12.20 15:21,"DGB금융지주, 대구은행 1주당 808원 현금배당 결정"
