,Unnamed: 0,날짜,기사제목
0,0, 2022.02.14 17:58,"KB국민은행, 신세계 '이베이 인수' 등 3.9조 주선"
1,1, 2022.02.14 15:36,"KB국민은행, ‘디지털 감정평가서’로 담보평가"
2,2, 2022.02.14 15:19,"감정평가사협회-KB국민은행, 블록체인 기반 ‘감정평가서 디지털화’ 시행"
3,3, 2022.02.14 15:11,"노조추천이사, 민간으로 확산? KB금융 노조, 다섯번째 시도"
4,4, 2022.02.14 15:04,"KB국민은행, 디지털 감정평가서 활용한 담보평가 은행권 첫 시행"
5,5, 2022.02.14 13:27,"국민은행, '디지털 감정평가서' 도입…빠른 대출 가능"
6,6, 2022.02.14 11:04,"KB국민은행, 은행권 최초 ‘디지털 감정평가서’ 활용 담보평가"
7,7, 2022.02.14 13:21,"감정평가사협회-KB국민은행 ""종이 없이 감정평가서 발급"""
8,8, 2022.02.14 10:34,"한국감평協-KB국민은행, 감정평가서 블록체인 전자문서로 발급"
9,9, 2022.02.14 11:30,"KB금융 노조, 김영수 사외이사 추천"
10,10, 2022.02.14 10:16,"KB금융 노조, 김영수 사외이사 주주제안 제출…5번째 시도"
11,11, 2022.02.14 11:22,보험에 힘싣는 은행지주…KB금융만 홀로 웃었다
12,12, 2022.02.14 10:53,KB국민은행 '디지털 감정평가서'활용한 담보평가 시행
13,13, 2022.02.14 10:24,"KB국민은행, 담보 평가에 '디지털 감정평가서' 도입"
14,0, 2022.01.20 18:54,KB금융 차기 회장 후보군 육성 나섰다…61년생 ‘빅3’ 부회장 선의의...
15,1, 2022.01.20 11:31,"국민은행, 싱가포르 지점 열었다…""24시간 자본시장 대응"""
16,2, 2022.01.20 11:28,신한 이어 KB도 은행 점포 폐쇄 대신 '출장소' 전환
17,3, 2022.01.19 15:28,"KB국민은행, 설맞이 전통시장 행사 실시"
18,4, 2022.01.19 14:41,"KB국민은행, 설날맞이 '전통시장 사랑나눔 행사' 실시"
19,5, 2022.01.19 14:11,"국민은행, 설맞이 '전통시장 사랑나눔' 행사…10억원 지원"
20,6, 2022.01.19 13:40,"KB국민은행, 설날맞이 전통시장 사랑나눔 행사"
21,7, 2022.01.19 13:58,"국민은행, 예·적금 금리 최고 0.4%p 인상"
22,8, 2022.01.19 10:50,국민은행도 예·적금 금리 인상…최대 0.4%p↑
23,9, 2022.01.19 10:35,국민은행도 예적금 금리 0.4%p 인상…연 3%대 진입
24,10, 2022.01.19 11:27,"KB국민은행, 예적금 금리 최고 0.4%p 인상"
25,11, 2022.01.19 10:39,"KB국민은행, 수신상품 금리 최대 0.4%p 인상"
26,12, 2022.01.18 21:36,"KB금융 노조, 김영수 전 수은 부행장 사외이사 후보로 추천"
27,13, 2022.01.18 14:59,‘노조추천 이사제’ 또 총대 멘 KB금융 노조…금융권 확산 판가름
28,14, 2022.01.18 10:54,"KB금융 노조, 사외이사에 김영수 전 수은 부행장 추천"
29,15, 2022.01.18 17:11,국민은행 앱에서 화상상담 서비스
30,16, 2022.01.18 14:56,"국민은행, ‘KB 화상상담 서비스’ 모바일로 확대 시행"
31,17, 2022.01.18 14:27,"KB국민은행, '화상 상담서비스' 모바일로 확대 시행"
32,18, 2022.01.18 14:40,"KB국민은행, '화상상담 서비스' 모바일로 확대 시행"
33,19, 2022.01.18 14:27,"KB국민은행, ‘KB 화상상담 서비스’ 모바일로 확대 시행"
34,20, 2022.01.18 10:50,(영상)은행 대출금리 더 오른다…KB국민은행 0.14%p↑
35,0, 2021.08.06 09:10,[특징주]카카오뱅크 고평가 논란 딛고 상승세...KB금융 압도
36,1, 2021.08.06 02:57,[코스닥 메모] (6일) 공모주청약=딥노이드(KB)
37,2, 2021.08.05 11:32,"KB국민은행, 'KB골든라이프센터' 의정부·평촌범계센터 오픈"
38,3, 2021.08.05 11:09,"국민은행, 골든라이프센터 의정부·평촌범계에 추가 오픈"
39,4, 2021.08.05 11:15,"KB국민은행, 무료 은퇴 컨설팅 'KB골든라이프센터' 2 곳 추가 오픈"
40,5, 2021.08.05 09:26,"공시 제대로 안 한 신한·KB금융, 금융당국 제재"
41,6, 2021.08.05 09:11,"신한·KB금융, 내부거래 미공시로 과태료 처분"
42,7, 2021.08.05 02:32,[유가증권 메모] (5일) 공모주청약=엠로(한국) 플래티어(KB)
43,8, 2021.08.04 20:03,다 같은 '메타버스' 펀드? KB·삼성 뭐가 다르나 봤더니
44,9, 2021.08.04 15:33,"KB국민銀, '청소년의 멘토 KB!' 소프트웨어 경진대회 개최"
45,10, 2021.08.04 12:09,"KB국민銀, '청소년의 멘토 KB' 제4회 소프트웨어 경진대회 개최"
46,11, 2021.08.04 11:08,"KB국민은행,‘The Asian Banker Financial Mark..."
47,12, 2021.08.04 07:42,"삼성전자, 올 3분기 비메모리 반도체 실적 개선 본격화-KB"
48,0, 2021.08.04 12:09,"KB국민銀, '청소년의 멘토 KB' 제4회 소프트웨어 경진대회 개최"
49,1, 2021.08.04 11:08,"KB국민은행,‘The Asian Banker Financial Mark..."
50,2, 2021.08.04 07:42,"삼성전자, 올 3분기 비메모리 반도체 실적 개선 본격화-KB"
51,3, 2021.08.03 06:02,자산 포트폴리오 탄소 배출량 공개한 KB금융
52,4, 2021.08.02 18:42,국민銀 ‘KB바이오인증’ 가입자 300만명 돌파
53,5, 2021.08.02 10:50,"KB국민銀, 'KB바이오인증 서비스' 가입자수 300만명 돌파"
54,6, 2021.08.02 13:55,"KB국민銀, 'KB바이오인증서비스' 가입자수 300만 명 돌파"
55,7, 2021.07.29 11:51,"KB국민은행, '민족문화유산의 수호자 간송 전형필' 영상 공개"
56,8, 2021.07.29 08:48,"KB국민은행, 민족문화 지켜낸 간송 전형필 영상 공개"
57,9, 2021.07.29 10:58,"신한금융, 알뜰폰 요금제 출시···국민은행 ‘리브엠’과 경쟁 나서"
58,10, 2021.07.29 07:45,"아모레퍼시픽, 매출부진 우려가 투심에 부정적…목표가 ↓ -KB"
59,11, 2021.07.29 06:49,"KB금융, 넷제로은행연합 대표은행으로 선정…""기후금융에서 인정"""
60,0, 2021.07.29 07:45,"아모레퍼시픽, 매출부진 우려가 투심에 부정적…목표가 ↓ -KB"
61,1, 2021.07.29 06:49,"KB금융, 넷제로은행연합 대표은행으로 선정…""기후금융에서 인정"""
62,2, 2021.07.28 18:35,"KB금융, 넷제로은행연합 亞太 대표 은행에"
63,3, 2021.07.28 17:40,"KB금융, 넷제로은행연합 亞太 대표 선출"
64,4, 2021.07.28 10:36,"KB금융, 글로벌 '넷제로은행연합' 아시아태평양 대표로"
65,5, 2021.07.28 10:31,"KB금융, 넷제로연합 아·태 대표은행 선출"
66,6, 2021.07.28 09:52,"KB금융, 넷제로은행연합 대표은행 선정...“기후금융 리더십 인정”"
67,7, 2021.07.28 16:09,"KB국민은행, 제3회 ‘Future Finance A.I. Challe..."
68,8, 2021.07.28 15:20,"국민은행, 글로벌가정·북한이탈주민 정착 프로그램 지원"
69,9, 2021.07.28 12:07,"국민은행, 북한이탈주민 정착 돕는다…직업체험 등 지원"
70,10, 2021.07.28 14:52,"KB금융, 탄소제로 대응 은행연합 한국대표 됐다"
71,11, 2021.07.28 12:06,"KB금융, '넷제로은행연합' 아태 대표은행 선출"
72,12, 2021.07.28 10:15,"KB금융, 넷제로은행연합 아태지역 대표은행으로 선정"
73,13, 2021.07.28 09:46,"KB금융, 넷제로은행연합 아·태평양 대표 은행 선출"
74,14, 2021.07.28 09:44,"KB금융, 넷제로은행연합 아·태평양 대표 은행으로 선출"
75,15, 2021.07.28 14:13,KB 3243억 vs 신한 3090억…잘나가는 금융지주 보험사들
76,16, 2021.07.27 16:45,새 역사 쓰며 경쟁 벌이는 KB·신한금융…상반기 누가 잘했나
77,17, 2021.07.27 15:44,"최대실적 일제히 갈아치운 5대금융, 리딩금융은 KB"
78,18, 2021.07.27 00:03,[유가증권 메모] (27일) 공모주청약=카카오뱅크(KB) 등
79,0, 2021.07.28 10:36,"KB금융, 글로벌 '넷제로은행연합' 아시아태평양 대표로"
80,1, 2021.07.28 10:31,"KB금융, 넷제로연합 아·태 대표은행 선출"
81,2, 2021.07.28 09:52,"KB금융, 넷제로은행연합 대표은행 선정...“기후금융 리더십 인정”"
82,3, 2021.07.28 10:15,"KB금융, 넷제로은행연합 아태지역 대표은행으로 선정"
83,4, 2021.07.28 09:46,"KB금융, 넷제로은행연합 아·태평양 대표 은행 선출"
84,5, 2021.07.28 09:44,"KB금융, 넷제로은행연합 아·태평양 대표 은행으로 선출"
85,6, 2021.07.27 16:45,새 역사 쓰며 경쟁 벌이는 KB·신한금융…상반기 누가 잘했나
86,7, 2021.07.27 15:44,"최대실적 일제히 갈아치운 5대금융, 리딩금융은 KB"
87,8, 2021.07.27 00:03,[유가증권 메모] (27일) 공모주청약=카카오뱅크(KB) 등
88,9, 2021.07.26 18:40,"KB금융, 저소득층 격차 해소·청년 지원 ‘휴먼뉴딜’ 앞장선다"
89,10, 2021.07.26 15:56,KB금융 “디지털·그린 뉴딜 3.9조 금융지원…휴먼뉴딜 지원확대”
90,11, 2021.07.26 14:25,"KB금융 ""휴먼 뉴딜에 적극 앞장""…'한국판 뉴딜'에 3.9조 지원"
91,12, 2021.07.26 14:20,"KB금융, 휴먼뉴딜도 지원…윤종규 회장 ""ESG, 거스를 수 없는 시..."
92,13, 2021.07.26 14:14,"KB금융, 저소득층·청년 불평등격차 해소 '휴먼 뉴딜' 앞장"
93,14, 2021.07.26 12:22,"KB금융, 포스트 코로나 대비 '휴먼 뉴딜'에 앞장 선다."
