,Unnamed: 0,날짜,기사제목
0,0, 2022.02.14 17:24,"IBK기업은행, 자산관리서비스“럭키머니”이벤트 실시"
1,1, 2022.02.13 14:48,"IBK기업은행, 비대면 ‘전국 영업점장 회의’ 개최"
2,2, 2022.02.13 09:50,"IBK기업은행, 비대면 ‘전국 영업점장 회의’ 개최"
3,3, 2022.02.11 11:00,IBK·유안타證 신용등급 ‘AA-’ 동시 상향···“IB 기반 강화”
4,4, 2022.02.11 06:03,"기업은행 'IBK창공', 혁신 창업기업에 성장지원 확대"
5,5, 2022.02.10 12:23,"기업은행, 창업기업 성장 지원 확대"
6,6, 2022.02.10 10:01,"기업은행, 혁신 창업기업 성장 지원 확대"
7,7, 2022.02.10 10:00,"기업은행, 창업 육성 플랫폼 통해 혁신 창업기업 성장지원 확대"
8,8, 2022.02.09 07:50,"[클릭 e종목]""기업은행, 배당 위한 유증 시행 가능성 작아"""
9,9, 2022.02.09 05:05,"중소기업, 대출 '큰손' 됐다…기업은행 최대 실적 '견인'"
10,10, 2022.02.08 18:09,기업은행도 역대급 실적… 은행 별도 당기순익만 2조
11,11, 2022.02.08 18:04,기업은행 순익 57% 폭증…사상 첫 '2조 클럽' 가입
12,12, 2022.02.08 15:46,"IBK기업은행, 지난해 연결 순익 2.4조 넘어 역대 최대"
13,13, 2022.02.08 17:49,"기업은행, 사상 첫 순이익 '2조 클럽'"
14,14, 2022.02.08 15:52,"기업은행, 지난해 순이익 2조4000억원…첫 '2조 클럽' 입성"
15,15, 2022.02.08 15:45,"기업은행, 사상 최대 순익 2.4조…中企 코로나 지원 '효과'"
16,16, 2022.02.08 17:30,"'코로나 특수' 기업은행, 역대 최대 이익 올렸다"
17,0, 2021.11.18 15:01,"[마켓인]성장금융, 700억 규모 'IBK혁신솔루션펀드 3차 사업' 모..."
18,1, 2021.11.18 11:11,IBK기업은행 ‘금융주치의 프로그램’ 가동
19,2, 2021.11.18 08:54,"기업은행, ‘IBK금융주치의 프로그램’ 시행"
20,3, 2021.11.18 09:38,"기업은행, ‘대출꺾기 의심 거래’에 화들짝..KPI에서 교차판매 삭제"
21,4, 2021.11.17 17:14,"기업은행, '금융주치의 프로그램' 서비스 시행"
22,5, 2021.11.17 15:56,"기업은행, 'IBK금융주치의 프로그램' 1단계 시행"
23,6, 2021.11.17 15:51,"기업은행, '윤종원표 혁신' 금융주치의 시행"
24,7, 2021.11.17 15:27,"기업 '건강검진' 나서는 기업은행, IBK금융주치의 프로그램 시행"
25,8, 2021.11.17 14:58,"기업은행, ‘IBK금융주치의 프로그램’ 1단계 시행"
26,9, 2021.11.17 14:57,"기업은행, 기업에 맞춤형 처방전 주는 '금융주치의' 프로그램 시행"
27,10, 2021.11.17 04:02,"IBK기업은행, 주식·주택·청약 등 금융 재테크 정보 가득"
28,11, 2021.11.16 19:49,"기업은행, 소상공인연합회와 MOU"
29,12, 2021.11.16 16:05,"IBK기업은행-소상공인聯, 디지털 경쟁력 강화 협약"
30,13, 2021.11.16 15:54,"IBK기업은행-소상공인연합회, 소상공인 디지털 경쟁력 강화 MOU"
31,14, 2021.11.16 14:55,"IBK기업은행, 소상공인연합회와 디지털경쟁력 강화 협약 체결"
32,15, 2021.11.16 04:05,"[중기 info] 기업은행, ESG 우군으로…""中企 녹색전환 위해 금융..."
33,16, 2021.11.15 10:18,"기업은행, ‘2021 디지털뉴딜 온라인 일자리박람회’ 개최"
34,17, 2021.11.15 10:07,"IBK기업은행, ‘디지털뉴딜 온라인 일자리박람회’ 개최"
35,18, 2021.11.15 10:06,"IBK기업은행, '디지털뉴딜' 온라인 일자리박람회 개최"
36,19, 2021.11.11 16:00,"기업은행, 올해 '기업인 명예의 전당' 헌액자 선정…다원시스 회장"
37,20, 2021.11.11 15:22,"박선순 다원시스 회장... 기업은행, 2021년 기업인 명예의 전당 ..."
38,21, 2021.11.11 15:13,"IBK기업은행, '2021 기업인 명예의 전당' 헌액자 선정"
