,Unnamed: 0,날짜,기사제목
0,0, 2022.02.14 17:47,무심코 서울페이 깔았더니…신한 계열사 13곳 ‘판촉 전화’
1,1, 2022.02.14 16:28,"“친필 사인볼 받자”…신한은행, ‘쏠야구 어워즈’ 이벤트 실시"
2,2, 2022.02.14 13:32,"신한은행 ""기대되는 야구 슈퍼루키 투표해주세요"""
3,3, 2022.02.14 11:39,신한은행 쏠야구 어워즈 이벤트 실시
4,4, 2022.02.14 13:24,"신한은행 ""머니버스 가입하고 커피 받으세요"""
5,5, 2022.02.14 10:34,"신한은행, 마이데이터 고객유치전…매일 100명에 상품권"
6,6, 2022.02.14 10:05,"신한은행, 마이데이터 서비스 ‘머니버스’ 이벤트 실시"
7,7, 2022.02.14 11:15,'메타버스' 힘 주는 신한…투자 플랫폼 개발 추진
8,8, 2022.02.14 10:00,"신한금투, VIP 올시즌 자문형랩 서비스 출시"
9,9, 2022.02.14 08:15,"삼성증권, 불확실한 증시에도 여전한 배당 매력-신한"
10,10, 2022.02.13 18:50,"신한은행, 고객자문단 '쏠메이트' 1기 모집"
11,11, 2022.02.13 10:18,"신한은행, 고객자문단 ‘쏠메이트’ 1기 모집"
12,12, 2022.02.13 09:02,"신한은행, 고객자문단 ‘쏠메이트’ 1기 모집"
13,13, 2022.02.13 09:01,"신한은행, 고객자문단 ‘쏠메이트’ 1기 모집"
14,14, 2022.02.13 09:01,"신한은행, 5000명 고객 의견 듣는다"
15,15, 2022.02.13 09:00,"신한은행, 고객자문단 '쏠메이트' 1기 모집…5000명 선착순"
16,16, 2022.02.13 18:01,"신한, 메타버스 플랫폼 구축…'넥스트 모바일뱅킹' 주도한다"
17,17, 2022.02.12 06:02,"조용병 신한금융 회장, 자사주 1200주 매입"
18,18, 2022.02.11 18:01,조용병 신한금융 회장 자사주 1200주 매입에 나서
19,19, 2022.02.11 17:01,조용병 신한금융 회장 자사주 1200주 취득
20,20, 2022.02.11 16:29,"조용병 신한지주 회장, 자사주 1200주 매입"
21,21, 2022.02.11 16:19,"조용병 신한금융 회장, 자사주 1200주 추가 매입"
22,22, 2022.02.11 16:06,조용병 신한금융 회장 자사주 1200주 매입…주가 부양 의지
23,23, 2022.02.11 15:59,"조용병 신한지주 회장, 자사주 1200주 매입"
24,0, 2022.01.27 06:43,[특이점 온 인뱅]③신한-KT 손잡자 머리 복잡해진 곳은
25,1, 2022.01.27 05:02,"신한금투, 해외서 경쟁력 인정…1400억 '단독주관' 빛났다"
26,2, 2022.01.26 18:15,신한금투 여의도 본사 매각 검토
27,3, 2022.01.26 18:13,KB·신한·하나금융 '기후변화대응 리더기업' 등극
28,4, 2022.01.26 11:20,KB금융 '리더십A'·신한금융 '플래티넘 클럽 편입'…CDP도 경쟁
29,5, 2022.01.26 17:49,1등 카드사 안주 않고 '신한플레이' 비금융 탑재…생활금융플랫폼 도약
30,6, 2022.01.26 16:55,"신한금투, 계열사에 LG엔솔 청약 권유했다 급히 취소한 사연은?"
31,7, 2022.01.26 16:36,"VC, 닷컴 열풍 이후 최대 호황…""회수 시장 활성화 기대""-신한"
32,8, 2022.01.26 15:24,"신한금융, 탄소정보공개프로젝트 '명예의 전당' 편입"
33,9, 2022.01.26 11:23,"신한금융, 탄소정보공개프로젝트 ‘플래티넘 클럽’ 편입"
34,10, 2022.01.26 10:17,"신한금융그룹, ‘CDP 명예의 전당 플래티넘 클럽’ 편입"
35,11, 2022.01.26 09:30,"신한금융, 탄소정보공개프로젝트 '플래티넘 클럽' 편입"
36,12, 2022.01.26 09:24,"신한금융, 금융사 최초 CDP 명예의 전당 플래티넘 클럽 영예"
37,13, 2022.01.26 10:04,"신한은행, 아임웹과 소상공인 디지털 전략 지원 협약"
38,14, 2022.01.26 09:35,"신한은행, 아임웹과 업무협약…""소상공인 디지털 경쟁력 강화 지원"""
39,15, 2022.01.26 09:11,"신한금융투자, 언택트 강연프로그램 ‘신한디지털포럼’ 5회차 진행"
40,16, 2022.01.26 09:09,"신한금융투자, 언택트 강연프로그램 ‘신한디지털포럼’ 5회차 진행"
41,17, 2022.01.26 08:54,"신한금융투자, 언택트 강연 ‘신한디지털포럼’ 5회차 진행"
42,0, 2021.11.14 14:40,"신한은행 ESG, ‘착한 예술’ 지원"
43,1, 2021.11.14 09:17,"신한은행과 대교, 키즈 뱅크 플랫폼 구축"
