,Unnamed: 0,날짜,기사제목
0,0, 2022.02.13 14:55,"우리은행 ""청약 새로 가입하고 경품 받아가세요"""
1,1, 2022.02.13 09:57,"우리은행, ‘청약으로 세배드림’ 이벤트 실시"
2,2, 2022.02.11 14:01,"예보, 우리금융 지분 2.2% 추가 매각…2392억원 회수"
3,3, 2022.02.11 11:34,"예보, 우리금융 지분 2.2% 매각…공적자금 2392억원 회수"
4,4, 2022.02.11 11:04,"예보, 우리금융 지분 1586만주 매각"
5,5, 2022.02.11 10:34,"예보, 우리금융 지분 2.2% 블록딜로 매각…2400억원 회수"
6,6, 2022.02.11 10:09,"예보, 우리금융지주 지분 2.2% 매각…공적자금 2392억원 회수"
7,7, 2022.02.11 10:09,"예보, 우리금융 지분 2.2% 매각… 잔여지분 3.6%"
8,8, 2022.02.11 09:48,"예보, 우리금융 지분 2.2% 매각... 공자금 2392억원 회수"
9,9, 2022.02.11 09:38,"예보, 우리금융지주 지분 2.2% 매각…""공적자금 2392억원 회수"""
10,10, 2022.02.11 09:27,"예보, 우리금융 지분 2.2% 매각… 공적자금 2392억원 회수"
11,11, 2022.02.11 09:24,"예보, 우리금융 지분 2.2% 매각"
12,12, 2022.02.11 09:37,"예보, 우리금융 지분 2.2% 매각…공적자금 2392억 회수"
13,13, 2022.02.10 18:37,"[단독] 예보, 우리금융 지분 최대 3400억 블록딜 처분"
14,14, 2022.02.10 11:40,"우리은행, 청년 고객 위한 비대면 금융교육 실시"
15,15, 2022.02.10 11:19,우리은행 “청년들에 ‘슬기로운 금융생활’ 알려드려요”
16,16, 2022.02.10 09:13,"NH증권 ""우리금융, 구조적 성장 기대""…목표주가 1만8,500원↑"
17,17, 2022.02.10 07:59,"우리금융지주, 4분기 실적 '대박'…""수급 개선 지속될 것""-하나"
18,18, 2022.02.10 07:41,"[클릭e종목]우리금융지주, 사상최대 실적에 은행업 최선호 업종"
19,19, 2022.02.09 18:13,"우리금융, 지난해 순익 2조5879억…“배당성향 30%까지 상향”(종합..."
20,20, 2022.02.09 17:29,우리금융 ‘역대급 실적’… 손태승 “비은행·디지털 강화할것”
21,21, 2022.02.09 16:29,"'완전 민영화' 우리금융, 지난해 순익 2조5879억원 '사상최대'"
22,0, 2022.01.11 09:23,"[특징주] 우리금융지주, 호실적 전망에 52주 신고가"
23,1, 2022.01.11 07:50,"[클릭 e종목]""우리금융지주, 호실적 지속 전망에도 주가는 저평가"""
24,2, 2022.01.10 16:57,"우리금융, 필리핀 태풍 피해 복구에 10만달러 지원"
25,3, 2022.01.10 15:17,"우리금융, 필리핀 태풍 피해 복구 10만달러 지원"
26,4, 2022.01.10 10:43,"우리금융그룹, 필리핀 태풍 피해 복구에 10만달러 지원"
27,5, 2022.01.10 14:54,"케이뱅크 IPO, 부실채권 투자회사 출범에…우리금융지주 주가↑"
28,6, 2022.01.10 13:47,"우리금융지주, 케이뱅크 IPO 도전에 52주 최고가"
29,7, 2022.01.10 14:02,"우리금융, 필리핀 태풍 라이(RAI) 피해 복구 지원"
30,8, 2022.01.10 10:37,"우리금융, 필리핀 태풍 피해 지원에 10만달러 기부…'글로벌 ESG경..."
31,9, 2022.01.09 18:06,"우리금융F&I 공식 출범…""비은행 포트폴리오 강화"""
32,10, 2022.01.09 16:30,"우리금융, 부실채권 투자 전문회사 '우리금융F&I' 출범"
33,11, 2022.01.09 13:47,우리금융 '비은행 확장' 시동…NPL투자사 '우리 F&I' 출범
34,12, 2022.01.09 10:14,"우리금융, 부실채권 투자 전문회사 '우리금융F&I' 공식 출범"
35,13, 2022.01.09 09:24,‘우리금융F&I’ 공식 출범… “적극적인 투자로 시장 판도 바꿀 것”
36,14, 2022.01.09 11:01,[이번주 株인공] 삼성전자?우리금융지주?천연가스주
37,15, 2022.01.09 10:17,"우리금융, NPL투자전문회사 ‘우리금융F&I’ 공식 출범"
38,16, 2022.01.09 09:32,부실채권투자사 '우리금융F&I' 출범…대표에 최동수 우리금융 부사장
39,17, 2022.01.09 09:02,NPL전문 투자회사 '우리금융F&I' 공식 출범
40,18, 2022.01.09 09:02,"'우리금융F&I' 공식 출범…""기업구조조정사업으로 수익원 다각화"""
41,19, 2022.01.09 09:00,"우리금융, 부실채권 투자전문 '우리금융F&I' 공식 출범"
42,20, 2022.01.07 09:23,"'완전민영화' 우리금융, 사외이사진 정비…윤인섭·신요환 선임"
43,21, 2022.01.07 08:55,"우리금융지주, 오스템임플란트 대출잔액 500억-하나"
44,22, 2022.01.07 08:12,"[클릭 e종목]""우리금융지주, 순이자마진 대폭 확대...배당 매력 최..."
45,0, 2021.07.27 18:11,"우리금융, 장학금 6억7천만원 쾌척"
46,1, 2021.07.27 13:41,"우리금융, 다문화·소상공인 자녀에 6억 7,000만원 장학금"
47,2, 2021.07.27 15:22,"우리금융, 다문화·소상공인 가정 자녀에 장학금 6억7000만원 지원"
48,3, 2021.07.27 13:46,"우리금융, 다문화·소상공인 자녀 500명에 6.7억 장학금 전달"
49,4, 2021.07.27 13:44,"우리금융그룹, 다문화 가정 자녀 등 500 명에 장학금 전달"
50,5, 2021.07.27 12:03,"우리은행, 병원비 선납·처방전 전송 서비스 만든다"
