,Unnamed: 0,날짜,기사제목
0,0, 2022.02.14 14:15,"KT, AI 역량인증 AIFB 정기 시험...""KT 채용우대"""
1,1, 2022.02.14 09:53,"""각종 채용 우대""…KT, 실무 AI 자격시험 'AIFB' 첫 시행"
2,2, 2022.02.14 10:54,"SPC 에그슬럿, KT멤버십 대상 시그니처 2종 제휴 프로모션"
3,3, 2022.02.13 10:43,"KT ""'갤럭시S22' 사전예약하면 삼성가전 할인"""
4,4, 2022.02.13 09:47,"KT 갤S22 사전예약...""삼성제품 할인·밀리의서재 혜택"""
5,5, 2022.02.11 16:53,"KT엔지니어링, 기업 신용등급으로 BBB 부여 받아"
6,6, 2022.02.10 16:50,"KT, 'AI 통화비서' 전국 미용실로 확대 공급"
7,7, 2022.02.10 16:24,"'한국식 영어발음도 척척'…KT, 아마존 알렉사 품는다"
8,8, 2022.02.10 10:18,‘알렉사’와 하나 된 KT ‘기가지니’…SKT ‘누구’와 어떻게 다를...
9,9, 2022.02.10 08:56,"'지니'와 '알렉사' 한 몸에…KT, 기가지니 듀얼브레인 AI 출시"
10,10, 2022.02.10 08:54,"KT ‘기가지니’, 아마존 ‘알렉사’와 하나 된다"
11,11, 2022.02.10 14:53,KT·네이버·KB까지...빅테크-금융사들 가상자산 사업 '군침'
12,12, 2022.02.10 11:49,배당전쟁 승전보 KT…물적분할 이슈 어쩌나
13,13, 2022.02.10 10:14,"KT, 배당전쟁은 이겼는데…물적분할 어쩌나"
14,14, 2022.02.10 10:57,KT도 기가지니에 아마존 알렉사 탑재… SKT에 맞불
15,15, 2022.02.10 10:23,"KT 기가지니, 아마존 ‘알렉사’ 탑재한다"
16,16, 2022.02.10 10:22,"KT알파, ‘기프티쇼 비즈’ 설문조사 서비스 오픈"
17,0, 2022.01.17 16:38,"신한은행-KT, '디지털 동맹' 맺는다…4375억원 지분교환까지"
18,1, 2022.01.17 16:17,"'디지털 전환 가속' 신한은행, KT와 손잡았다"
19,2, 2022.01.17 15:10,"신한은행, KT 지분 4375억원 취득…파트너십 동맹"
20,3, 2022.01.17 14:11,"신한銀, KT와 기술·금융 동맹…4375억원 지분 맞교환"
21,4, 2022.01.17 13:47,"신한은행, KT 지분 5.46% 취득…전략적 파트너십 맺어"
22,5, 2022.01.17 14:11,"KT, 신한지주 지분 2.08% 취득 결정"
23,6, 2022.01.17 13:29,"[공시]KT, 신한금융지주 지분 2.08% 취득"
24,7, 2022.01.17 12:20,"KT, 4375억 규모 신한지주 지분 취득…테크·금융 동맹"
