,Unnamed: 0,날짜,기사제목
0,0, 2022.02.14 13:49,"""글로벌 경쟁 주가 하락"" NH투자證, SK텔레콤 목표주가 7만원으로 ..."
1,1, 2022.02.13 15:45,갤럭시S22 사전개통하면 NFT 받는다...코빗-SK텔레콤
2,2, 2022.02.13 15:17,"코빗, 'T우주' NFT 출시…SK텔레콤과 협업 진행"
3,3, 2022.02.13 09:36,"코빗, NFT 마켓서 SKT텔레콤 NFT 선보인다"
4,4, 2022.02.13 09:44,"SKT, 갤럭시S22 사전예약 실시…2000명에 NFT 준다"
5,5, 2022.02.13 09:14,"SKT 갤S22 사전예약 돌입...""NFT·벤츠 한정판 굿즈 증정'"
6,6, 2022.02.10 11:02,"SKT, 올해 설비투자 전년과 유사한 3조 수준…마케팅비는 감소 예상"
7,7, 2022.02.10 10:57,KT도 기가지니에 아마존 알렉사 탑재… SKT에 맞불
8,8, 2022.02.10 10:18,‘알렉사’와 하나 된 KT ‘기가지니’…SKT ‘누구’와 어떻게 다를까
9,9, 2022.02.10 10:05,"SKT, 강원도와 대형 산불 대비 비상통신체계 구축"
10,10, 2022.02.10 09:41,"소방차에 '기지국' 장착…SKT·강원도, 대형산불 비상통신 구축"
11,11, 2022.02.10 09:34,SKT-에퀴닉스 기업용 ‘양자암호’ 서비스 '시동'
12,12, 2022.02.10 09:08,"SKT-에퀴닉스, '양자암호' 기업용 서비스 개시"
13,13, 2022.02.10 09:07,"SKT-에퀴닉스, ‘양자암호’ 기업용 서비스 첫 시동"
14,14, 2022.02.10 09:15,"'분할 첫 성적표' SK텔레콤, 5G 가입자 전환 '두각'"
15,15, 2022.02.10 08:58,"SKT, 포트폴리오 재편해 매출 증가 예상-삼성"
16,16, 2022.02.10 08:35,"[클릭e종목]SK텔레콤, 5대 사업군 중심 포트폴리오 재편으로 고성장..."
17,0, 2022.01.03 04:03,"SK텔레콤, 한국어·영어 척척…똑똑한 AI 선보여"
18,1, 2022.01.02 18:14,"SKT, CES서 ‘그린 ICT’ 기술 소개 [CES 2022]"
19,2, 2022.01.02 09:38,"SKT, CES서 자체 개발 저전력 AI 반도체 '사피온' 선봬"
20,3, 2022.01.02 09:01,"[CES2022] SKT, ‘그린 ICT’ 기술로 탄소중립 앞당긴다"
21,4, 2022.01.02 15:20,"유영상 SKT 대표, '하늘 나는 택시' 사업 TF 직접 챙긴다"
22,5, 2022.01.02 10:32,SK텔레콤 CES서 '그린 ICT' 기술 공개한다
23,6, 2022.01.02 09:02,SKT 탄소 감축 ‘그린ICT’ 기술…CES 2022에 총 출동
24,7, 2022.01.02 09:00,"SKT, CES 2022서 '넷-제로' 시대의 그린 ICT 기술 전시"
25,8, 2022.01.02 09:02,코스피 주간 기관 순매도 1위 ‘SK텔레콤'
26,9, 2021.12.31 19:18,"제야의 종, 정동진 해돋이…""SKT, 메타버스에서 본다"""
27,10, 2021.12.31 11:04,"SKT·KT, PASS 전자서명인증 획득... 공인인증서처럼 쓴다"
28,11, 2021.12.31 08:33,"SKT, PASS인증서로 공인인증서 대체한다"
29,12, 2021.12.31 10:24,"SKT, ‘제야의 종부터 새해 첫 해돋이’까지 “이프랜드서 만나요”"
30,13, 2021.12.31 09:53,SKT·KT 'PASS인증서'로 공인인증서 기능 대체
31,14, 2021.12.31 09:23,"SKT, 전자서명인증사업자 인정…PASS로 공인인증서 대체"
32,15, 2021.12.31 08:22,"SK텔레콤, '전자서명인증사업자' 법적 지위 확보"
33,16, 2021.12.30 18:02,"속도·면적은 SKT, 공공시설은 KT, 동영상은 LGU+ 돋보였다"
34,17, 2021.12.30 16:17,"SK텔레콤, 5G 품질 평가서 속도·커버리지 1위"
35,18, 2021.12.30 15:09,"SK텔레콤, 5G 품질 1위…회사별 소비자 체감속도 '답답'"
36,19, 2021.12.30 14:19,"""통신3사 '5G 커버리지' 3.5배 늘어…5G 품질 SKT 우수"""
37,20, 2021.12.30 12:00,'3년차 5G' 성적표…SKT 속도·범위 '1등' KT 다중시설 '최...
38,0, 2021.07.12 08:42,"SKT, ‘패스 QR출입증’ 위젯 출시…기부포인트 프로모션"
39,1, 2021.07.10 14:51,“서민들은 100원 할인도 아쉽다” SKT 멤버십 개편 왜 몸살?
40,2, 2021.07.09 10:36,[특징주]코스피 급락 속 SK텔레콤 '강세'…外人 매수세
41,3, 2021.07.09 08:59,"""SK텔레콤, 분할 전 매수 추천""-SK증권"
42,4, 2021.07.09 08:22,"SK텔레콤, 인적분할 후 주가 상승여력 충분-이베스트"
43,5, 2021.07.08 18:37,"‘비통신 신사업' SKT신설투자, ‘렌터카’ 롯데렌탈, ‘수소연료’ 일..."
44,6, 2021.07.08 18:11,"SKT신설투자, 코스피 분할 재상장 예비심사 통과"
45,7, 2021.07.08 16:08,'5G 불통' SK텔레콤 첫 재판…배상 책임 부인
46,8, 2021.07.08 11:25,"EDGC, IR신뢰도 종합우수기업…SKT·포스코와 어깨 나란히"
47,9, 2021.07.08 10:55,"SKT 멤버십, 포인트 10배로 사용한다"
48,10, 2021.07.08 09:00,"SKT ""멤버십 혜택 강화""…7~9월 고객 프로모션 진행"
49,11, 2021.07.08 09:16,“아직도 관공서 가서 증명서 받으세요?” SKT 블록체인 앱으로 간편 ...
50,12, 2021.07.08 08:58,'등본·백신접종증명서'…이제 SKT 이니셜 앱으로 제출한다
51,0, 2021.07.08 09:16,“아직도 관공서 가서 증명서 받으세요?” SKT 블록체인 앱으로 간편 ...
52,1, 2021.07.08 09:00,"SKT ""멤버십 혜택 강화""…7~9월 고객 프로모션 진행"
53,2, 2021.07.08 08:58,'등본·백신접종증명서'…이제 SKT 이니셜 앱으로 제출한다
54,3, 2021.07.08 08:08,SKT 대상 5G 집단소송…오늘 1차 변론기일 진행
55,4, 2021.07.07 14:03,"SKT, 자체 개발 솔루션으로 하나카드 '마이데이터' 구축"
56,5, 2021.07.07 09:37,"SKT, TACO에 힘준다···하나카드 마이데이터 구축 시작으로 활용..."
57,6, 2021.07.07 08:47,"SKT, 자체개발 솔루션으로 하나카드 ‘마이데이터’ 구축"
58,7, 2021.07.07 09:54,"SKT, 하나카드 ‘마이데이터’ 구축 나선다"
59,8, 2021.07.07 09:48,"SKT, 하나카드 ‘마이데이터’에 시스템 구축"
60,9, 2021.07.06 20:02,"“8월부터 빵집 바로 할인 안 돼” SKT 멤버십, 진짜 혜택 줄었나?..."
61,10, 2021.07.06 17:47,"SKT ""제주 스벅 다회용컵 사용한 뒤 공항서 반납"""
62,11, 2021.07.06 13:12,"SK텔레콤, 제주 공항 등에 무인 다회용컵 회수기 가동"
63,12, 2021.07.06 09:29,"[AI]SKT, 제주 스타벅스 매장서 다회용컵 회수기 운영"
64,13, 2021.07.06 16:09,"제주 스타벅스에 일회용컵 사라져…SKT, ESG경영 영향?"
65,14, 2021.07.06 08:48,SKT “제주 스타벅스에는 일회용컵 없어요”
66,15, 2021.07.06 10:53,"SKT ""스벅에서 다회용컵 사용하고 제주 공항에서 반납하세요"""
67,16, 2021.07.06 09:58,"SKT, AI 활용한 ‘일회용컵 없는 제주’ 본격 시동···스타벅스와..."
68,17, 2021.07.06 09:34,"일회용컵 없는 제주 스타벅스, SKT와 환경소비 시동"
69,18, 2021.07.06 09:30,"SKT 'AI'-스타벅스, '일회용 컵없는 제주' 본격 시동"
70,19, 2021.07.06 09:04,"""제주 스벅에는 일회용 컵 없어요""…SKT-스타벅스 맞손"
71,0, 2021.07.06 17:47,"SKT ""제주 스벅 다회용컵 사용한 뒤 공항서 반납"""
72,1, 2021.07.06 13:12,"SK텔레콤, 제주 공항 등에 무인 다회용컵 회수기 가동"
73,2, 2021.07.06 09:29,"[AI]SKT, 제주 스타벅스 매장서 다회용컵 회수기 운영"
74,3, 2021.07.06 16:09,"제주 스타벅스에 일회용컵 사라져…SKT, ESG경영 영향?"
75,4, 2021.07.06 08:48,SKT “제주 스타벅스에는 일회용컵 없어요”
76,5, 2021.07.06 10:53,"SKT ""스벅에서 다회용컵 사용하고 제주 공항에서 반납하세요"""
77,6, 2021.07.06 09:58,"SKT, AI 활용한 ‘일회용컵 없는 제주’ 본격 시동···스타벅스와..."
78,7, 2021.07.06 09:34,"일회용컵 없는 제주 스타벅스, SKT와 환경소비 시동"
79,8, 2021.07.06 09:30,"SKT 'AI'-스타벅스, '일회용 컵없는 제주' 본격 시동"
80,9, 2021.07.06 09:04,"""제주 스벅에는 일회용 컵 없어요""…SKT-스타벅스 맞손"
81,10, 2021.07.06 08:39,"SK텔레콤, 4년 만에 4000억대 영업이익 회복할 것-메리츠"
82,11, 2021.07.05 09:50,"SKT ""20배 빠른 5G가 옵니다"""
83,12, 2021.07.05 09:02,"SKT, 코엑스서 28㎓ 5G 시범 서비스…‘초고속 5G’ 즐긴다"
84,13, 2021.07.05 08:50,"""더 강한 5G 온다"" SKT, 코엑스에 28㎓ 시범 서비스"
85,14, 2021.07.05 08:39,"SKT, 코엑스서 20배 빠른 28㎓ 5G 시범 서비스 선봬"
86,15, 2021.07.04 18:09,비대면 서비스품질 향상…SKT 22년 연속 1위·ADT캡스 첫 정상
87,16, 2021.07.01 11:28,SK텔레콤 22년 연속 한국서비스품질지수 1위
88,17, 2021.07.01 10:25,"기관은 KT, 외국인은 SKT…소외주 벗어난 통신주 고점 아니다"
89,0, 2021.07.06 08:39,"SK텔레콤, 4년 만에 4000억대 영업이익 회복할 것-메리츠"
90,1, 2021.07.05 09:50,"SKT ""20배 빠른 5G가 옵니다"""
91,2, 2021.07.05 09:02,"SKT, 코엑스서 28㎓ 5G 시범 서비스…‘초고속 5G’ 즐긴다"
92,3, 2021.07.05 08:50,"""더 강한 5G 온다"" SKT, 코엑스에 28㎓ 시범 서비스"
93,4, 2021.07.05 08:39,"SKT, 코엑스서 20배 빠른 28㎓ 5G 시범 서비스 선봬"
94,5, 2021.07.04 18:09,비대면 서비스품질 향상…SKT 22년 연속 1위·ADT캡스 첫 정상
95,6, 2021.07.01 11:28,SK텔레콤 22년 연속 한국서비스품질지수 1위
96,7, 2021.07.01 10:25,"기관은 KT, 외국인은 SKT…소외주 벗어난 통신주 고점 아니다"
97,8, 2021.07.01 09:44,"SKT '창덕아리랑', GSMA 글로모 어워드 수상"
98,9, 2021.07.01 09:24,"""AR기술로 장벽 낮춰"" SKT, 모바일 접근성·포용성 '최우수상'"
99,10, 2021.07.01 09:18,"SKT, GSMA 글로모 어워드서 모바일 접근성·포용성 최우수상"
100,11, 2021.06.30 17:01,"표준협회 KS-SQI 결과 발표, SK텔레콤 22년 연속 1위"
101,12, 2021.06.30 16:13,SK텔레콤 'T멤버십' 24년만에 대폭 변경…할인→적립 방식
102,13, 2021.06.30 10:22,"SKT 포인트, 몰아쓴다..24년만에 개편"
103,14, 2021.06.30 09:35,아웃백서 15% 적립하고 파바에서 쓴다…SKT 'T멤버십' 개편
104,15, 2021.06.30 09:08,"“CU에서 적립하고 아웃백에서 쓴다!” SKT 멤버십, 확 바뀐다"
105,0, 2021.07.01 09:18,"SKT, GSMA 글로모 어워드서 모바일 접근성·포용성 최우수상"
106,1, 2021.06.30 17:01,"표준협회 KS-SQI 결과 발표, SK텔레콤 22년 연속 1위"
107,2, 2021.06.30 16:13,SK텔레콤 'T멤버십' 24년만에 대폭 변경…할인→적립 방식
108,3, 2021.06.30 10:22,"SKT 포인트, 몰아쓴다..24년만에 개편"
109,4, 2021.06.30 09:35,아웃백서 15% 적립하고 파바에서 쓴다…SKT 'T멤버십' 개편
110,5, 2021.06.30 09:08,"“CU에서 적립하고 아웃백에서 쓴다!” SKT 멤버십, 확 바뀐다"
111,6, 2021.06.30 15:49,"SK텔레콤, 최첨단 ICT 기술로 무장 22년간 '품질 1위' 지켰다"
112,7, 2021.06.30 10:02,"SKT, 자사주 소각으로 주주 달랬지만…"
113,8, 2021.06.30 09:22,"“필요할 때 한 곳서 몰아 쓴다” SK텔레콤, 'T멤버십' 개편"
114,9, 2021.06.30 08:37,"SK텔레콤, SKT인베 적정 시총 최소 14조원 '매수'-현대차증권"
115,10, 2021.06.29 17:18,"[사진] SKT, AI 콘택트센터 서비스 출시"
116,11, 2021.06.29 08:39,"SK텔레콤, AI 콘택트센터 서비스 출시"
117,12, 2021.06.29 11:29,"SKT, '5GX 클라우드 게임' 서비스 전 국민 대상 확대"
118,13, 2021.06.29 10:44,"""아이폰·PC서도 엑스박스 된다""…SKT, 클라우드 서비스 확대"
119,14, 2021.06.29 10:34,"SKT-제네시스, AI 콘택트센터 서비스 선보인다"
120,15, 2021.06.29 09:47,"“AI 콘택트센터 시장 선점한다” SK텔레콤, 'SKT AICC' 출..."
121,16, 2021.06.29 09:28,"고객 접점, AI로 진화..SKT AI 콘택트센터 시장 선점"
122,0, 2021.06.29 17:18,"[사진] SKT, AI 콘택트센터 서비스 출시"
123,1, 2021.06.29 08:39,"SK텔레콤, AI 콘택트센터 서비스 출시"
124,2, 2021.06.29 11:29,"SKT, '5GX 클라우드 게임' 서비스 전 국민 대상 확대"
125,3, 2021.06.29 10:44,"""아이폰·PC서도 엑스박스 된다""…SKT, 클라우드 서비스 확대"
126,4, 2021.06.29 10:34,"SKT-제네시스, AI 콘택트센터 서비스 선보인다"
127,5, 2021.06.29 09:47,"“AI 콘택트센터 시장 선점한다” SK텔레콤, 'SKT AICC' 출..."
128,6, 2021.06.29 09:28,"고객 접점, AI로 진화..SKT AI 콘택트센터 시장 선점"
129,7, 2021.06.28 18:25,"영우디에스피, SKT 등과 로봇 관련 MOU 체결···""13조 로봇 시..."
130,8, 2021.06.28 10:19,"영우디에스피, SKT 등과 로봇 관련 양해각서…""로봇 시장 공략"""
131,9, 2021.06.28 09:47,"영우디에스피, SK텔레콤 등과 서빙 로봇 시장 진출 소식에 강세"
132,10, 2021.06.28 09:26,"[특징주]영우디에스피, SKT 등과 로봇 관련 맞손에 ‘강세’"
133,11, 2021.06.28 08:30,"SKT 등과 손잡은 영우DSP, 13조 서비스로봇 시장 공략 본격화"
134,12, 2021.06.28 18:24,"박정호 SKT 대표 ""넷플릭스 CEO 만날 때 됐다"""
135,13, 2021.06.28 11:03,"SKT, AI 플랫폼으로 반려동물 진단까지···충남대와 동물용 영상진단..."
136,14, 2021.06.28 10:45,"SKT, AI?동물영상 빅데이터로 반려동물 진료수준 UP↑"
137,15, 2021.06.28 09:54,SKT-충남대 “반려동물 엑스레이도 빅데이터로 빠르고 정확하게 본다!...
138,16, 2021.06.28 09:09,"SK텔레콤, 충남대와 AI 기반 수의용 영상진단 보조 솔루션 개발 나..."
139,17, 2021.06.28 09:02,"SKT-충남대, 반려동물 엑스레이 AI로 분석·진단한다"
140,18, 2021.06.27 11:10,"SKT, 누구 백신 케어콜 서비스 본격 시작"
141,19, 2021.06.27 11:05,"SKT, 웰컴인사·음식 서빙도 가능한 AI 로봇 상용화"
142,20, 2021.06.27 08:31,SKT 서빙로봇 시장 진출…4개 회사와 협업
143,21, 2021.06.24 16:02,"""6G 핵심기술 확보""··· ETRI, 삼성전자·SKT·카이스트 등 참..."
144,0, 2021.06.28 10:45,"SKT, AI?동물영상 빅데이터로 반려동물 진료수준 UP↑"
145,1, 2021.06.28 09:54,SKT-충남대 “반려동물 엑스레이도 빅데이터로 빠르고 정확하게 본다!...
146,2, 2021.06.28 09:09,"SK텔레콤, 충남대와 AI 기반 수의용 영상진단 보조 솔루션 개발 나..."
147,3, 2021.06.28 09:02,"SKT-충남대, 반려동물 엑스레이 AI로 분석·진단한다"
148,4, 2021.06.28 10:19,"영우디에스피, SKT 등과 로봇 관련 양해각서…""로봇 시장 공략"""
149,5, 2021.06.28 09:47,"영우디에스피, SK텔레콤 등과 서빙 로봇 시장 진출 소식에 강세"
150,6, 2021.06.28 09:26,"[특징주]영우디에스피, SKT 등과 로봇 관련 맞손에 ‘강세’"
