,Unnamed: 0,날짜,기사제목
0,0, 2021.11.15 15:08,"알에프텍, 3분기 누적 매출 2435억 달성…당기순익 흑자전환"
1,1, 2021.11.15 10:54,"알에프텍, 3분기 누적 순익 흑자전환 ""경쟁사대비 PER·PBR 저평..."
2,2, 2021.11.15 10:39,"알에프텍, 3분기 누적 순익 흑자전환…“실적 턴어라운드”"
3,3, 2021.08.17 17:27,"알에프텍, 4년 만에 상반기 매출 1400억 달성…성과 가시화"
4,4, 2021.08.17 17:09,"알에프텍, 상반기 매출액 1479억원…전년비 17.1% 증가"
5,5, 2021.08.17 16:01,"알에프텍, 상반기 매출액 1479억 원 달성 ""전 사업 고른 성장 시..."
6,6, 2021.08.02 18:11,"알에프텍, 종속회사에 92억원 규모 금전대여 결정"
7,7, 2021.07.20 09:50,"알에프텍 자회사, HA필러 유럽 CE인증 이어 베트남 품목허가 취득"
8,8, 2021.07.20 09:43,"알에프텍 ""알에프바이오, HA필러 유럽 CE인증 이어 베트남 품목허가..."
9,9, 2021.07.20 09:38,"알에프텍-알에프바이오, HA필러 베트남 품목허가 취득 '해외 시장 공..."
10,10, 2021.07.20 09:35,"알에프텍 “알에프바이오, HA필러 베트남 품목허가 취득”"
11,11, 2021.05.31 10:08,"알에프텍-알에프바이오 보툴리눔톡신, 10억원 규모 정부 지원사업 선정"
12,12, 2021.05.31 10:04,"알에프텍, 보툴리눔톡신 10억원 규모 정부 지원사업 선정"
13,13, 2021.05.31 10:03,"알에프텍 “알에프바이오 보툴리눔톡신, 정부 지원사업 선정”"
14,14, 2021.05.25 13:23,"알에프텍 ""알에프바이오, HA필러 인도네시아 품목허가 취득…동남아 시장..."
15,15, 2021.05.25 13:22,"알에프텍-알에프바이오, HA필러 인도네시아 품목허가 취득 ""동남아 시..."
16,16, 2021.05.25 10:35,"[특징주] 알에프텍 급등세…자회사 알에프바이오, HA필러 인도네시아 ..."
17,17, 2021.05.25 10:04,"알에프텍 “알에프바이오, HA필러 인도네시아 품목허가 취득”"
18,18, 2021.05.14 14:35,"알에프텍, HA필러 '유스필' 英 의약품 승인 ""유럽 진출 본격화"""
19,19, 2021.05.14 10:47,"알에프텍, 히알루론산 필러 '유스필' 英 제품 인증 획득"
20,20, 2021.05.14 10:23,"알에프텍 ""알에프바이오, HA필러 ‘유스필’ 英 의약품 당국 제품 승..."
21,21, 2021.05.14 10:19,"알에프텍-알에프바이오, HA필러 ‘유스필’ 英의약품 당국 제품 승인"
22,22, 2021.05.13 09:16,"알에프텍, 1분기 호실적…히알루론산 필러 매출 증가"
23,23, 2021.05.13 09:10,"알에프텍, 1Q '어닝 서프라이즈'… 영업익 전년 比 490%↑"
24,24, 2021.05.13 08:24,"알에프텍, 1Q ‘어닝 서프라이즈’…영업익 전년比 490%↑"
25,25, 2021.05.13 08:11,"알에프텍, 1분기 깜짝 실적…영업익 전년비 490%↑"
26,26, 2021.04.23 18:30,"알에프텍, 158억 규모 319만주 전환청구권 행사…전환가 4954원"
27,27, 2021.04.15 17:49,[코스닥 공시] 알에프텍 / 루멘스 / 한프
28,0, 2021.04.15 10:08,"알에프텍 “알에프바이오, HA필러·보툴리눔 톡신 신공장 부지 계약”"
29,1, 2021.04.15 10:00,"알에프텍, HA필러·보툴리눔 톡신 신공장 부지 계약 체결"
30,2, 2021.04.15 09:59,"알에프텍-알에프바이오, HA필러·보툴리눔 톡신 신공장 부지 계약 체결"
31,3, 2021.04.13 15:54,"알에프텍 자회사 '알에프바이오', 신공장 건립 MOU 체결"
32,4, 2021.04.13 14:52,"알에프텍 “알에프바이오, 신공장 건립 MOU 체결”"
33,5, 2021.04.13 14:52,"알에프텍 ""알에프바이오 신공장 건립 양해각서"""
34,6, 2021.04.05 13:56,"알에프텍, 알에프바이오 주력 필러 유럽 CE 획득 ""해외시장 확대"""
35,7, 2021.04.05 13:44,"알에프텍, 알에프바이오 주력 필러 유럽 CE 획득 '해외 시장 확대 본..."
36,8, 2021.04.05 13:38,"알에프텍 “알에프바이오, 주력 필러 유럽 CE 획득”"
37,9, 2021.02.22 08:58,"알에프텍, 작년 영업익 97억…“전방산업 설비투자 감소에도 선방”"
38,10, 2021.02.22 08:56,"알에프텍, 코로나 사태로 인한 전방산업 위축에도 실적선방"
39,11, 2021.02.22 08:51,"알에프텍, 지난해 영업익 98억…""올해 실적 개선 기대"""
