title,date
제조업 보다 낮은 영업이익율 이라 게임게발도 지연된다네요,2022.02.07 23:21
아이텀코인ㅋㅋㅋㅋ,2022.02.07 23:18
중국혐오로 내일 개박살나겠네요,2022.02.07 22:44
아이텀큐브 50프로 상승 ㄷㄷ,2022.02.07 22:42
오버프라임 전에 썸에이지 크로우즈 한번 해보면 어떨까여,2022.02.07 22:25
아이텀코인 폭등,2022.02.07 22:16
모두가 원하는 건 ????텐센트 대주주????,2022.02.07 21:52
넷마블 itam 코인 신고가 돌파,2022.02.07 21:51
도박마인드로 경영하면 이런거 ㅋ ,2022.02.07 21:46
IR팀 넷마블 문의사항,2022.02.07 21:29
넷마블,2022.02.07 21:17
이 OOO 개잡주는,2022.02.07 20:52
솔직히 넷마블은 변동성도 없고 지겨움. 차라리 썸에이지,2022.02.07 20:28
2월 MSCI 라밸런싱 일정 및 편입 편출 예상,2022.02.07 20:24
잡주,2022.02.07 20:05
돈귀신 방가놈 ntp 떡상했으면 ,2022.02.07 20:05
암마블 본전치면 미국장으로 이사간다.,2022.02.07 19:46
"금감원, 블록딜 전 공매도에 칼 들었다",2022.02.07 19:08
니들 암마블을 그렇게 몰라?,2022.02.07 18:59
니들 암마블을 그렇게 몰라?,2022.02.07 19:17
주린입니다.회사주가방치 법적문제,2022.02.07 18:58
공매가  오늘은 졌다   ,2022.02.07 18:40
[단독]조이시티 '건쉽배틀 P2E' 3월 초 글로벌 론칭...멀티플랫폼 서비스,2022.02.07 18:34
방C를 믿는가?,2022.02.07 18:33
9만블 안찍네...,2022.02.07 18:32
????공시???? 텐센트 대주주,2022.02.07 18:23
이번주 공시뜬다 ,2022.02.07 18:03
네오위즈 자기주식취득 신탁계약 100억,2022.02.07 18:01
무대응 --> 사실이라는 의미,2022.02.07 17:57
크래프톤은 nft한다고 하니깐 5퍼올랐는데,2022.02.07 17:53
????실적 발표날 전격 텐센트 대주주 된다????,2022.02.07 17:25
박스줍는 할배다…,2022.02.07 17:19
궁굼한게 있있는데,2022.02.07 16:55
실적발표 후 -10퍼 찍는다~,2022.02.07 16:46
????텐센트 님이 답입니다????,2022.02.07 16:27
역겨운 회사 무대응 ,2022.02.07 16:20
공매애들 너네 그거 언제 다 갚을래?,2022.02.07 16:18
공매비율 28%실화냐?ㅋㅋ 외인들은,2022.02.07 16:11
던파 모바일 3.24 출시 확정,2022.02.07 16:10
질근질근 밟네...,2022.02.07 15:46
공매도 따먹기 ㅋㅋ,2022.02.07 15:40
정말 그지같다,2022.02.07 15:32
정말 그지같다,2022.02.07 15:58
넷마블 itam 코인 신고가,2022.02.07 15:27
시원하게 19만 한번 찍자 19만원 오면 박은거 시원하게 한번 뺄려니 ,2022.02.07 15:25
시원하게 9자 ,2022.02.07 15:22
가짜 돈 광고 작작 해라,2022.02.07 15:12
벙신,2022.02.07 15:08
????텐센트님을 모두 원해요????,2022.02.07 15:02
넷마블 다팔고 itam코인 샀다 가자,2022.02.07 14:39
itam코인 시총 4조 실화냐,2022.02.07 14:38
올해 20만원 간다,2022.02.07 14:36
개잡주,2022.02.07 14:22
실적 조심해라 적자에서 아무리 잘 나와도,2022.02.07 14:20
신작20종 발표하면 뭐하냐 ㅋㅋ 출시시기도 얘기못하면서,2022.02.07 14:11
13만원 올려나.. 에휴..,2022.02.07 14:02
드디어 본색을 드러내네...,2022.02.07 13:54
넷마블 itam 코인 원화 상장하나..,2022.02.07 13:54
어차피 처박을거 뜸들이지말고 9만원대로 내려놔라,2022.02.07 13:46
????텐센트님 얼른 오세요????,2022.02.07 13:43
암마블!! 4년차 주주입니다!! ,2022.02.07 13:41
신입 버프 인가요ㅎㅎ ,2022.02.07 13:05
모두의 마블이 아니라,2022.02.07 12:58
어쩔티비?,2022.02.07 12:46
아침에 입성■■■■,2022.02.07 12:45
모건형님 양전 ㅅ ㅅ,2022.02.07 12:43
"어제는 카카오게임, 오늘은 조이시티",2022.02.07 12:32
10센트님 어서나와주세요?,2022.02.07 12:13
골드만vsjp모건싸움이넹,2022.02.07 12:05
????탠센트님 얼른 와주세요????,2022.02.07 11:50
쳐다보면 암걸립니다. 기존 매수자는,2022.02.07 11:45
[거래원별입체분석없는곳은 가래침뱉고토껴라],2022.02.07 11:09
넷마블,2022.02.07 11:05
안녕하세요,2022.02.07 10:58
10만원 깨지것네 ㅅㅂ,2022.02.07 10:50
접근금지,2022.02.07 10:47
넷마블 신작중,2022.02.07 10:36
야야!! 씨꾸랍다!!!,2022.02.07 10:31
"넷마블, 자체 개발력과 블록체인-메타버스로 제2의 도약 선언!",2022.02.07 10:29
오스템임플란트가 부럽다,2022.02.07 10:27
미국 잼시티랑 스핀엑스 형님들만 믿자,2022.02.07 10:26
주담연결 번호입니다.,2022.02.07 10:13
뭐라도,2022.02.07 10:12
박스줍는 할배다…,2022.02.07 10:11
내가 볼땐 챔피언스 어센션,2022.02.07 10:09
주담 번호 아시는분,2022.02.07 10:04
게임주 중에서 제일 ㅋㅋ 잡주긴함,2022.02.07 10:03
월봉으로 보면 매수할때이긴 한데,2022.02.07 10:02
다른 게임주식들 거의 다 오르는데 얘만 파란불임ㅋ,2022.02.07 10:00
실적이 얼마나 개작살났길래 회복을 못하냐,2022.02.07 09:57
????텐센트님 얼른 와주세요????,2022.02.07 09:55
하 진짜 넌 시방..,2022.02.07 09:53
이정도면 기정 사실 인가봐,2022.02.07 09:51
9일 컨퍼런스콜 이후에도 반등 못주면,2022.02.07 09:49
KISU야!!!!오버프라임 족망한거 같은데?!!,2022.02.07 09:43
결국 골드만도,2022.02.07 09:40
2/9 8만원까지..,2022.02.07 09:34
심각하네....,2022.02.07 09:24
넷버스 또 시작이다 ㅋㅋ,2022.02.07 09:23
백사(104) 풀어났다,2022.02.07 09:20
쳐다보지말고 본업에 충실해라!!,2022.02.07 09:14
공매도 OOO ,2022.02.07 09:10
????역시 넷마블은 텐센트님이 답입니다????,2022.02.07 09:07
와 거짓.뉴스로  폭락했는데  만회 못 하네 ?  ㅋ,2022.02.07 08:58
죤마블 4년차 주주다!!,2022.02.07 08:56
도대체 뭐하는 회사냐?,2022.02.07 08:50
다팔고 돔황챠~~~~!,2022.02.07 08:15
■■핵심 주간증시일정(2월7일~11일)■,2022.02.07 08:02
????텐센트님????2월에 대주주 등극????,2022.02.07 07:10
NTP 요약,2022.02.07 02:31
외국인 수급분석...주린이여요...,2022.02.07 01:48
에효..,2022.02.07 01:18
ㅉㅉ OOO들,2022.02.07 00:08
나혼자만 레벨업 잘만들었음 좋겠다...,2022.02.06 23:20
주가관리,2022.02.06 22:34
주가관리,2022.02.06 22:40
잡쥬!! 상한가 가도 13만원이네 ㅋㅋㅋㅋ,2022.02.06 21:36
평일이 싫다!!,2022.02.06 19:18
텐센트는,2022.02.06 18:58
????환영????2월달에 텐센트 대주주 등극????,2022.02.06 18:28
위메이드가 개발한 클레바 디파이 천억 출금금지행태,2022.02.06 17:16
이기 어디서!! 미친나??,2022.02.06 23:37
넷마블이 왜 하필 IR 9일에 하는줄 알아?,2022.02.06 14:43
신입 안티들이 잘 모르는데 ㅋㅋ,2022.02.06 17:58
실적발표날 9자 안착한다~,2022.02.06 13:37
4년 골수 주주 gogu가 까로 변한거 보면,2022.02.06 13:00
구세주는 텐센트 뿐이다,2022.02.06 12:10
2월 MSCI 라밸런싱 일정 및 편입 편출 예상,2022.02.06 11:47
씨끄럽다!! 그냥 암마블 쳐다보지도 마라!!,2022.02.06 11:22
????텐센트님 방가숩니다????대주주 환영,2022.02.06 11:05
단기 초악재만 4개 ,2022.02.06 10:36
월요일 9만 깬다 딱 잡?ㅋㅋ?ㅋㅋㅋ,2022.02.06 10:32
니네 여기 영업이익 150억인건 알지??,2022.02.06 10:30
개작두를 대령해라,2022.02.06 07:10
블럭딜????대주주는 텐센트님 원츄????,2022.02.06 05:39
오버프라임 반응 괜찮은데…,2022.02.06 01:47
넷마블 신작게임 총정리 신작만 20개,2022.02.05 23:01
Cj  에스엠 인수 예정,2022.02.05 22:57
단기악재만 4개 ,2022.02.05 21:44
[여성들의 권위와권세를 바라는것이아니라..],2022.02.05 21:40
[여성들의 권위와권세를 바라는것이아니라..],2022.02.05 23:16
올인,2022.02.05 21:38
이거 주식 이상하다 하이브,2022.02.05 21:23
????텐센트님 어서오세요????,2022.02.05 19:42
암마블!! 4년차 주주다!! 쳐다보지도 마라!!,2022.02.05 19:34
nft 약팔이 소재는 좋은데,2022.02.05 18:15
메타버스 NFT 대장주 월요일날 +10퍼,2022.02.05 17:31
넷마블,2022.02.05 17:19
희망회로 하나 던져주고 간다ㅋ,2022.02.05 16:13
님들 평단 몇임? ㅋㅋㅋ?,2022.02.05 16:02
공매도에 당할기업이 있겠냐,2022.02.05 15:23
중국이 이렇게 설치 는데.....,2022.02.05 15:08
