,Unnamed: 0,날짜,기사제목
0,0, 2022.02.03 17:56,CJ ENM 지분 매각설에…넷마블 주가 9% '주르륵'
1,1, 2022.02.03 16:07,넷마블 주가 9% 급락…2대주주 CJ ENM 지분매각설
2,2, 2022.02.03 10:38,"넷마블, CJ ENM 지분 매각 보도에 7% 넘게 하락[증시이슈]"
3,3, 2022.02.03 09:48,"넷마블, 2대주주 CJ ENM 지분 매각 가능성에 6% 가까이 내려"
4,4, 2022.02.03 09:28,"[특징주] 넷마블, CJ ENM 보유 지분 매각 소식에 7% 급락"
5,5, 2022.02.03 09:35,"[특징주] CJ ENM, 넷마블 매각·SM 인수설…주가 희비 엇갈려"
6,6, 2022.01.28 08:20,"넷마블, ‘제2의 나라’ 신규지역 대형 업데이트"
7,7, 2022.01.27 17:44,"넷마블, 블록체인·메타버스 신사업 키운다"
8,8, 2022.01.27 17:18,"승부수 던진 넷마블, ‘NFT·메타노믹스·메타휴먼’ 키운다"
9,9, 2022.01.27 16:19,"""겨울잠 끝"" 넷마블, NFT·메타버스 본격 시동"
10,10, 2022.01.27 14:45,"넷마블 '환골탈태'…NFT, 메타버스로 '풍덩'"
11,11, 2022.01.27 13:03,방준혁 넷마블 의장 “블록체인·메타버스 사업 본격화…P2E 규제 안타...
12,12, 2022.01.27 16:09,신작 20종 공개한 넷마블… ‘IP 경쟁력’ 키운다
13,13, 2022.01.27 14:30,"방준혁 넷마블 의장 ""올해가 블록체인 사업 원년될 것…국내 P2E 규제..."
14,14, 2022.01.27 13:24,넷마블의 새로운 도전...NTP서 블록체인·메타버스 청사진 공개
15,15, 2022.01.27 14:07,"방준혁 '뉴 넷마블' 선포…""메타버스·블록체인 신사업 강력추진"""
16,16, 2022.01.27 12:54,4년 만에 돌아온 넷마블 NTP…방준혁 의장의 ‘승부수’는?(종합)
17,17, 2022.01.27 13:52,"방준혁 ""P2E 허용해달라""...넷마블 코인' 나온다"
18,18, 2022.01.27 13:46,"디앤씨미디어, 넷마블과 '나혼자만 레벨업' 게임 개발"
19,19, 2022.01.25 08:51,"DB금융투자, 넷마블 목표주가↓…“상반기 신작모멘텀 기대”"
20,0, 2021.10.25 10:35,"카카오, 넷마블과 손잡고 ‘글로벌 버츄얼 아이돌’ 사업 진출"
21,1, 2021.10.22 09:35,"넷마블, '제2의 나라' 크로스필드 업데이트"
22,2, 2021.10.20 10:50,'투자의마블 투자해'…넷마블 하나은행과 금융결합게임 출시
23,3, 2021.10.20 10:45,"하나은행, 넷마블과 함께 모의투자게임 '투자의 마블' 출시"
24,4, 2021.10.20 10:33,"하나은행, 넷마블과 모의투자게임 ‘투자의 마블’ 오픈"
25,5, 2021.10.19 16:29,메타버스에 꽂힌 넷마블…'가상인간' 기술기업 인수
26,6, 2021.10.19 14:05,"넷마블에프앤씨, 나인엠인터렉티브 품고 메타버스 강화"
27,7, 2021.10.19 11:34,"넷마블에프앤씨, 나인엠인터렉티브 흡수합병…메타버스 기술 활용"
28,8, 2021.10.19 16:01,"[시그널] 넷마블, 나인엠인터렉티브 잡고 메타버스 강화한다"
29,9, 2021.10.19 10:40,"넷마블에프앤씨, 실사형 게임개발사 인수…“메타버스 게임 위한 투자”"
30,10, 2021.10.19 10:29,"넷마블, 메타버스 콘텐츠 강화…스포츠 전문 개발사 합병"
31,11, 2021.10.17 20:43,뷰티 시장 진출한 넷마블…화장품 업계 경쟁 격화한다
32,12, 2021.10.15 08:02,"[클릭 e종목] “넷마블, 투자의견 ‘매수’로 상향 조정”"
