,Unnamed: 0,날짜,기사제목
0,0, 2022.02.07 20:21,"""1분만 멈춰도 수십억 피해""…삼성 반도체, 노조 파업 여부에 촉각"
1,1, 2022.02.07 20:18,"韓서 만든 삼성 반도체 탑재한 美 스마트폰…삼성전자, 美에도 세금 내야"
2,2, 2022.02.07 18:19,"삼성전자, 반도체 들어간 완제품 소비국에도 세금 낸다"
3,3, 2022.02.07 18:01,"삼성전자, 53년 만에 첫 파업? 대의원대회까지 운명의 일주일"
4,4, 2022.02.07 18:00,"삼성전자, 내년부터 부품 수출 땐 완제품 팔리는 나라에 세금 낸다"
5,5, 2022.02.07 17:48,폐어망이 갤럭시폰으로…삼성 '친환경 혁신'
6,6, 2022.02.07 17:43,LG엔솔 2조4천억 담느라 삼전 8천억 던졌다…연기금발 수급교란
7,7, 2022.02.07 17:39,"삼성전자, 스마트폰에 폐어망 재활용 소재 쓴다"
8,8, 2022.02.07 08:17,"삼성전자, ‘갤럭시’에 폐어망 재활용 소재 적용한다"
9,9, 2022.02.07 17:24,"삼성, 갤럭시S22에 '해양 폐기물 재활용 소재' 적용한다"
10,10, 2022.02.07 09:49,"삼성, 갤럭시S22에 '해양 폐기물 재활용 소재' 적용"
11,11, 2022.02.07 09:48,"삼성전자, '갤럭시S22'에 버려진 어망 재활용 소재 적용한다"
12,12, 2022.02.07 16:47,스마트폰 격전지 유럽서 삼성 작년 1위 유지
13,13, 2022.02.07 16:22,"삼성폰, 작년 유럽시장 1위 지켜…성장률은 주춤"
14,0, 2022.02.01 08:01,신약에 힘 싣는 CMO 강자…‘두 마리 토끼’ 노리는 삼성
15,1, 2022.02.01 06:31,삼성 잡겠다더니 中 2.7조 사기 '굴욕'…마냥 비웃을 수가 없다[차이...
16,2, 2022.01.31 20:02,"초등생 내 아이, 삼성전자·아마존·테슬라 주주입니다"
17,3, 2022.01.31 17:31,"""줘도 문제, 안 줘도 문제""…호실적 LG·삼성·SK '성과급 갈등'"
18,4, 2022.01.31 13:26,"""삼성은 비추고 LG는 세웠다""…세계 1·2위가 만든 혁신 스크린"
19,5, 2022.01.31 12:27,"'삼성전자 100조·SK하이닉스 50조'…K-반도체, 새 역사 또 쓴다"
20,6, 2022.01.31 08:01,연매출 279조 삼성전자…최대 실적에도 주가는 하락세
21,7, 2022.01.30 22:20,"""내가 반도체 끝판왕""…삼성전자 TSMC 인텔 파운드리 격전"
22,8, 2022.01.30 20:01,반도체 왕좌 탈환한 삼성전자…1위 수성 전략 셋
23,9, 2022.01.30 17:26,"어깨 무거워진 갤Z플립, 올해 과제는?[임인년 삼성폰 전략은, 下]"
24,0, 2022.01.06 11:02,"“소니와는 다른 길” 삼성, 전기차 말고 ‘전장’에 더 집중"
25,1, 2022.01.06 11:02,"[CES 2022]한종희, '삼성-LG' OLED 동맹설에 ""가능성 열..."
26,2, 2022.01.06 11:02,한종희 삼성전자 부회장 “LG OLED 구매 가능성 있어…M&A 조만...
27,3, 2022.01.06 11:00,"삼성 TV속에 LG OLED?…한종희 부회장 ""가능성 열려있다"""
28,4, 2022.01.06 09:12,"전자랜드, 새해맞이 '삼성전자 세일 페스타' 동참..할인 판매"
29,5, 2022.01.06 08:49,"전자랜드, '삼성전자 세일 페스타' 동참…한정·할인 판매"
30,6, 2022.01.06 08:59,"[CES 2022] 한종희 '소니', 유영상 '삼성'…개막날 현장 찾은..."
31,7, 2022.01.06 08:21,"""이것만 있으면 TV 없어도 되겠는데?""…삼성 '히든카드' (영상) [..."
32,8, 2022.01.06 07:32,[영상] “귀엽지 않나요?” 삼성이 세계 최초 공개한 ‘이것’ 만나보니...
33,9, 2022.01.06 05:05,"""반도체 춥지 않다""…잠정실적 발표 앞둔 삼성전자, 눈높이 '쑥'"
34,10, 2022.01.06 05:05,미리 가본 삼성전자 CES 부스…가장 핫했던 '이 제품'[CES+]
35,11, 2022.01.06 04:33,[CES 2022]삼성 부스서 만난 유영상·노태문 “가전·IT 융합에 ...
36,12, 2022.01.06 04:05,소니·TCL 찾은 한종희 삼성전자 부회장... 멕시코 최대 유통사와 협...
37,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
38,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
39,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
40,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
41,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
42,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
43,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
44,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
45,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
46,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
47,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
48,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
49,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
50,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
51,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
52,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
53,0, 2022.01.06 05:05,미리 가본 삼성전자 CES 부스…가장 핫했던 '이 제품'[CES+]
54,1, 2022.01.06 04:33,[CES 2022]삼성 부스서 만난 유영상·노태문 “가전·IT 융합에 ...
55,2, 2022.01.06 04:05,소니·TCL 찾은 한종희 삼성전자 부회장... 멕시코 최대 유통사와 협...
56,3, 2022.01.06 03:29,[사진]유영상 SK텔레콤 대표 안내하는 노태문 삼성전자 사장
