,Unnamed: 0,날짜,기사제목
0,0, 2022.01.21 07:25,"[클릭 e종목]쏠리드, 과도한 주가 하락은 매수 기회"
1,1, 2021.12.21 13:43,쏠리드. 미 현지법인과 163억 규모 중계기 공급 계약
2,2, 2021.12.21 13:33,"쏠리드, 163억 규모 북미판매용 4G·5G 중계기 공급계약"
3,3, 2021.12.06 14:05,"쏠리드, 유럽·북미지역서 꿈틀대는 수주… 3년 적자고리 끊을까"
4,4, 2021.11.24 10:55,이젠 5G 장비까지 메타버스 관련주…쏠리드·케이엠더블유 등 급등
5,5, 2021.11.20 08:01,[하나금투 주간추천주]'밸류에이션 매력'…삼성전기·농심·쏠리드
6,6, 2021.10.12 14:05,"쏠리드, 美법인과 196억 규모 북미 판매용 중계기 공급 계약"
7,7, 2021.10.12 13:54,"쏠리드, 196억 규모 북미판매용 중계기 공급계약"
8,8, 2021.09.30 09:07,"[특징주]쏠리드, 런던 지하철 공사 관련 매출 기대에 ↑"
9,9, 2021.09.30 07:31,"쏠리드, 런던 지하철 공사 관련 매출 개시… 실적 개선 기대 -하나"
10,10, 2021.09.23 15:55,"쏠리드, 쏠리드랩스 지분 추가 취득…100% 자회사 편입"
11,11, 2021.09.23 15:43,"쏠리드, 종속회사 쏠리드랩스 주식 110억 규모 추가 취득 결정"
12,12, 2021.09.04 08:01,[하나금투 주간추천주]'실적 성과'…BNK금융지주·솔루스첨단소재·쏠리드
13,13, 2021.08.21 08:11,[하나금투 주간추천주]'이익 성장 전망'…SK하이닉스·LG화학·쏠리드
14,0, 2021.07.10 08:01,[하나금투 주간추천주]'실적개선 기대'…DB하이텍·노바렉스·쏠리드
15,1, 2021.07.09 14:04,"㈜쏠리드, 런던지하철에 DAS 솔루션 공급업체로 선정"
16,2, 2021.06.14 09:45,"쏠리드, 유상증자 확정발행가액 5620원"
17,3, 2021.06.09 15:42,"쏠리드, 10억원 규모 타법인 출자증권 취득 결정"
18,4, 2021.06.08 09:29,"쏠리드, 83억 규모 북미판매용 중계기 공급계약"
19,5, 2021.05.25 16:28,"쏠리드, 美 판매법인에 182억 규모 담보 제공 결정"
20,6, 2021.05.07 16:48,"쏠리드, 10일 권리락 발생"
21,7, 2021.04.19 14:43,"쏠리드, 미국 현지법인과 67억 규모 북미판매용 중계기 공급계약"
22,8, 2021.04.19 14:26,"쏠리드, 美 현지법인과 67억 규모 북미판매용 중계기 공급계약"
23,9, 2021.04.09 09:34,"[자금조달]쏠리드, 주주배정 증자로 임차보증금 상환…임대료 수익기대"
24,10, 2021.04.06 10:35,"쏠리드, 540억원 유상증자 결정에 12%대 '급락'"
25,0, 2021.05.07 16:48,"쏠리드, 10일 권리락 발생"
26,1, 2021.04.19 14:43,"쏠리드, 미국 현지법인과 67억 규모 북미판매용 중계기 공급계약"
27,2, 2021.04.19 14:26,"쏠리드, 美 현지법인과 67억 규모 북미판매용 중계기 공급계약"
28,3, 2021.04.09 09:34,"[자금조달]쏠리드, 주주배정 증자로 임차보증금 상환…임대료 수익기대"
29,4, 2021.04.06 10:35,"쏠리드, 540억원 유상증자 결정에 12%대 '급락'"
30,5, 2021.04.05 17:57,"쏠리드, 540억원 규모 주주배정후 실권주 유상증자"
31,6, 2021.03.15 14:33,"쏠리드, 56억 규모 북미판매용 중계기 공급계약"
