,Unnamed: 0,날짜,기사제목
0,0, 2022.02.07 13:38,"라온피플, 카카오VX에 63억원 골프센서 공급계약"
1,1, 2022.02.07 13:35,"라온피플, 카카오VX와 63억 규모 스크린골프센서 공급계약"
2,2, 2022.02.07 13:24,"라온피플, 카카오VX와 63억 규모 공급 계약 체결"
3,3, 2022.02.07 13:12,"[fn마켓워치]미래에셋벤처·카카오벤처스, NFT P2E 게임에 투자"
4,4, 2022.02.07 11:25,개인사업자 대출 노린다…카카오·토스·케이뱅크도 영역 확장
5,5, 2022.02.07 10:57,"""회사 제발 오지마""…카카오 이어 네이버도, 무슨일이"
6,6, 2022.02.07 06:02,‘쪼개기 상장·먹튀’…카카오 소액주주 잔혹사
7,7, 2022.02.06 18:06,[단독]삼성 이름으로 거대 금융플랫폼…네이버 카카오도 초긴장
8,8, 2022.02.06 10:29,"[단독] 카카오벤처스, 루나(LUNA) 코인으로 수백 배 평가차익 ‘잭..."
9,9, 2022.02.05 11:12,카카오패밀리 반등했지만…개미 울상 왜[금나와라 뚝딱]
10,10, 2022.02.05 06:49,"""내릴 만큼 내렸다""…네이버·카카오에 '2조' 베팅한 개미들"
11,11, 2022.02.04 15:19,포식자 지적에도 여전한 카카오 먹성…비판 받는 성장방정식 유지
12,0, 2022.01.16 09:35,코스피 주간 외국인 순매도 1위 ‘카카오’
13,1, 2022.01.16 09:34,코스피 주간 개인 순매수 1위 ‘카카오’
14,2, 2022.01.15 12:02,"""개미들 살려""…위풍당당했던 '카카오 3형제' 올해만 시총 20조 날아..."
15,3, 2022.01.15 11:32,"""14층에서 뛰어내린 기분""…고통 호소하는 카카오 주주들 [박의명의 불..."
16,4, 2022.01.14 17:26,"카카오 노조 ""주식매도제한 환영···신뢰회복위원회 만들자"""
17,5, 2022.01.14 11:00,카카오노조 “신뢰회복위원회 구성하자”
18,6, 2022.01.14 10:54,"카카오노조, 류영준 대표에 '신뢰회복위원회' 구성 제안"
19,7, 2022.01.14 09:21,"카카오노조 ""스톡옵션 매도 제한 환영…신뢰회복위원회 만들자"""
20,8, 2022.01.14 09:18,"카카오 노조 ""임원 주식 매도제한 환영…신뢰회복위 구성해야"""
21,9, 2022.01.14 16:35,"'스톡옵션 먹튀' 카카오 임원, 상장 후 1년간 주식 못 판다"
22,10, 2022.01.14 15:11,'류영준 나비효과'…카카오 '미전실' 같은 컨트롤타워 가동
23,11, 2022.01.14 11:03,"카카오, '스톡옵션 먹튀' 막는다지만…당사자 결정에 따라 달라져"
24,12, 2022.01.14 10:38,"(영상)카카오 ""계열사 상장 후 CEO 2년·임원 1년 주식 매도 금..."
25,13, 2022.01.14 05:58,"""CEO 주식매도 2년제한, 계열사 상장도 재검토""..카카오 신속행보"
26,14, 2022.01.14 14:52,"카카오 남궁훈 센터장, 평택 순직 소방관 유족에 3억 기부"
27,15, 2022.01.14 12:55,"""카카오만 걱정할 게 아니다""…네이버, 목표가 줄하락 개미 '발동동'"
28,16, 2022.01.14 11:36,카카오 칼 빼들었지만…주가엔 ‘안 드는 칼’ [증시이슈]
29,17, 2022.01.14 11:07,먹튀 논란에도 카카오 담는 개미들
30,0, 2021.10.13 08:22,"한국투자증권 “카카오, 당분간 시간 두고 규제 방향 지켜봐야”"
31,1, 2021.10.13 08:13,"""카카오, 규제 불확실성 여전…시간 두고 지켜봐야""-한국"
32,2, 2021.10.13 07:46,"“카카오, 페이·모빌리티 수익모델 변화 가능성”-한투"
33,3, 2021.10.13 07:04,"[클릭 e종목]카카오, 밸류에이션 매력…규제 지켜봐야"
34,4, 2021.10.12 18:42,"카뱅, 카카오에 낸 브랜드사용료 5년간 10배로"
35,5, 2021.10.12 18:12,"네이버는 리더십 정비, 카카오는 글로벌 진출 [국감 표적 된 플랫폼]"
36,6, 2021.10.12 15:08,[국감 표적 된 플랫폼-下] ‘네이버 리더십-카카오 글로벌’ 과제로 ...
37,7, 2021.10.12 18:11,카카오가 여성 이용자를 저격했다고? 다음카페앱에 무슨 일이
38,8, 2021.10.12 17:48,[단독]대리 이어 퀵서비스도 중기적합업종 신청···카카오 '긴장'
39,9, 2021.10.12 10:09,"네이버·카카오, 3%대 동반 하락"
40,10, 2021.10.12 10:05,"카카오벤처스, 美 프롭테크 기업 '마켓 스타디움'에 투자"
41,11, 2021.10.12 09:31,[특징주] 외국인 '팔자'에 네이버·카카오 2%대 동반 하락
42,12, 2021.10.11 17:39,"[단독] 카카오 '선투자-고율 수수료', 작가몫 1,500만원 더 떼갔..."
43,13, 2021.10.11 17:39,네이버·카카오 때리기에…스타트업 M&A 위축될라
44,0, 2021.10.12 10:05,"카카오벤처스, 美 프롭테크 기업 '마켓 스타디움'에 투자"
