,Unnamed: 0,날짜,기사제목
0,0, 2022.02.07 09:18,"""카카오게임즈, '보라 코인-오딘' P2E 연계 주목해야"" - ktb"
1,1, 2022.02.04 11:37,"카카오게임즈, 구글 1위 + NFT게임 기대감 '쌍끌이'에 11% 상승"
2,2, 2022.02.04 10:22,"[특징주]'오딘' 구글플레이 매출 1위 복귀 소식에, 카카오게임즈 1..."
3,3, 2022.02.04 10:12,"[특징주]카카오게임즈, 오딘 1위 탈환에 11% 급등"
4,4, 2022.02.04 10:09,"카카오게임즈, '오딘' 구글 매출 1위 탈환에 주가 10%대↑"
5,5, 2022.02.04 09:48,"[특징주] 카카오게임즈, 구글 매출 1위 탈환·NFT 게임 등 겹호재..."
6,6, 2022.02.04 09:45,"[특징주] 카카오게임즈, 오딘 구글 매출 '1위' 탈환에 강세"
7,7, 2022.02.03 17:09,종합 엔터사로 진화하는 카카오게임즈...향후 리스크는?
8,8, 2022.02.02 11:07,코스닥 주간 기관 순매수 1위 '카카오게임즈'
9,9, 2022.01.27 10:22,"남궁훈 전 대표의 카카오 단독 대표 내정, 카카오게임즈에 어떤 영향이?"
10,10, 2022.01.26 17:49,"카카오게임즈, '스타크래프트' 개발진이 차린 회사에 240억 원 투자"
11,11, 2022.01.26 09:53,"[특징주]카카오게임즈, 美게임개발사 240억 투자에 상승"
12,12, 2022.01.26 09:13,"카카오게임즈, 美 게임 개발사에 2천만 달러 규모 투자 "
13,13, 2022.01.26 09:04,"카카오게임즈, 스타크래프트·워크래프트 개발자들이 차린 개발사에 240..."
14,14, 2022.01.26 11:01,"카카오게임즈, 美 RTS 개발사 프로스트자이언트에 240억 투자"
15,15, 2022.01.26 10:22,"카카오게임즈, 美개발사 240억 투자…""제2 스타크래프트 기대"""
16,16, 2022.01.26 07:52,카카오게임즈 실탄 글로벌로…美신생개발사에 240억 투자
17,17, 2022.01.21 11:06,"류영준 '먹튀'와 선긋기?…남궁훈 ""카카오게임즈 주식 안 판다"""
18,18, 2022.01.18 14:22,"크래프톤-카카오게임즈 ‘2K’, 4Q 실적 날개"
19,0, 2021.11.04 09:40,"카카오게임즈, 장 초반 8%↑…3Q 호실적에 메타버스 기대감"
20,1, 2021.11.04 09:22,"[특징주]카카오게임즈, 3Q 호실적에 NFT·가상자산 등 신사업 기대..."
21,2, 2021.11.04 08:42,"카카오게임즈, '오딘' 성장에 메타버스·NFT 확대까지-NH"
22,3, 2021.11.04 07:57,"카카오게임즈, '오딘' 매출성장 견조…내년 큰폭 성장 -NH"
23,4, 2021.11.04 09:39,[특징주] 엔씨소프트 '급락' 카카오게임즈 '상승'
24,5, 2021.11.04 09:37,리니지W보다 오딘?···카카오게임즈 7% 급등 [특징주]
25,6, 2021.11.04 09:34,"""호실적에 신사업까지""…카카오게임즈, 이틀째 강세"
26,7, 2021.11.04 09:24,"카카오게임즈, 3분기 실적 훈풍 속 이틀 연속 강세"
27,8, 2021.11.03 17:51,카카오게임즈·위메이드 3분기 실적 '고공행진'
28,9, 2021.11.03 09:20,"카카오게임즈, 3분기 매출액 전년比  210%↑...분기 최고 매출"
29,10, 2021.11.03 17:05,[증시이슈] 카카오게임즈 분기 최대 매출… 주가는 3%대 상승
30,11, 2021.11.03 11:01,"카카오게임즈, '오딘' 대박에 3Q 날았다…'내년엔 해외'"
