title,date
네이버 이자슥들아,2022.02.07 22:42
호주달러 숏 권고,2022.02.07 22:42
남조선은 나라가아니다.,2022.02.07 22:41
쇼트보니까 한국 힘이 없어서 주식 못사겠다,2022.02.07 22:41
짱개,2022.02.07 22:40
나르시시스트 놈이 인덕을 논하냐!?,2022.02.07 22:40
칠판낙서 하러,2022.02.07 22:40
어차피 인구감소로 몰락이라면 핵무장.,2022.02.07 22:40
석열  머리 좋은건  대한민국 사람이 다알고있다 말이 느려서  글치,2022.02.07 22:39
중국 OOO들 맞지 누가 아니래냐?,2022.02.07 22:38
실버 급등 중... =  잘봐라,2022.02.07 22:38
중국 잘하네! 쇼트,2022.02.07 22:37
"<<< 윤뚱, 병역회피 의혹 >>>",2022.02.07 22:37
"연기금 수급교란,,, lg엔솔 2조4천억 담느라,,  삼전 8천억 던졌다.,,",2022.02.07 22:37
청약 점수도 모르는 쇄키가 청약공약을 낸다고?,2022.02.07 22:37
조선은 전세계 확진자수용소될 가능성있다.,2022.02.07 22:37
박근혜 뽑은 국민 수준에서 좀 올라갔으면 한다,2022.02.07 22:36
이시각 세계는.. 재팬,2022.02.07 22:36
내일 매수 관심주,2022.02.07 22:36
그릇 정리하는 개며니언니,2022.02.07 22:35
그릇 정리하는 개며니언니,2022.02.07 22:35
나스닥 하락하죠.. 딩동댕동.. 이번에도 적중,2022.02.07 22:34
뇌물을,2022.02.07 22:34
대게가 서해에서 잡히는거,2022.02.07 22:34
올림픽에서 중국을 보았다. 핵무장이 답이다.,2022.02.07 22:34
오늘 미장은 중국동계 반사이익,2022.02.07 22:34
강성노조,2022.02.07 22:33
윤석열이 대통되면...,2022.02.07 22:33
써글 국힘놈들 공공개발 다막고 민간개발 진행시킨,2022.02.07 22:33
민주당 국회의원이란 눔이 하는말,2022.02.07 22:33
이재명대통령 꿈꾸고 싶다,2022.02.07 22:33
이런 열받게 하는 올림픽에,2022.02.07 22:33
민주팔이 쓰레기들 아웃 ㅡ정권교체 ㅡ 2배 차 확실하다~~,2022.02.07 22:33
허경영 유튜브민심 지지율23%,2022.02.07 22:32
윤~~서결이가 중국에 선제타격?,2022.02.07 22:32
윤~~서결이가 중국에 선제타격?,2022.02.07 22:35
승부조작 올림픽..주가조작 김건희,2022.02.07 22:32
일본싫어하면서 qr은 잘만쓰는나라,2022.02.07 22:32
■ 중국은 체육대회 허냐? ■,2022.02.07 22:32
"연기금 시장 교란  ,,,  lg엔솔 2조4천억  담느라,,    삼전 8천억 매도",2022.02.07 22:32
중국도  선제공격  겁을  줘야 한다  윤석열이 밖에 없다,2022.02.07 22:30
"<<< 윤뚱, 공무원 임용때는 눈깔이 정상이었다 >>>",2022.02.07 22:30
꼴림픽 보니 윤서결이 보는듯,2022.02.07 22:30
대장동 얘기해봐야 국힘만 불리한데 자꾸 얘기해주네 ,2022.02.07 22:30
독일의 인피니온 완전한 하락추세전환 !!!,2022.02.07 22:29
"일본 불매 주동하는 대깨들,,, 중공 올림픽 횡포에는",2022.02.07 22:29
시브러르 ㅈㅈ ㅏ장.,2022.02.07 22:29
술땡겨도 칭따오는 먹지말ㅈㅏ,2022.02.07 22:29
올림픽 따위나 보면서 열받는 똘추들,2022.02.07 22:28
코딱지만한 나라...서럽다,2022.02.07 22:28
중국에 말도 못하고,2022.02.07 22:27
일베 태극기들은 다 죽어야한다.,2022.02.07 22:26
중국을 믿을수가없는데,2022.02.07 22:26
나스닥 지금부터 분할매도 권고 !!!,2022.02.07 22:25
이게 씨,2022.02.07 22:25
화천대유 누가 불렀냐고?,2022.02.07 22:25
이 정도면 준결승부터 짱개로 금은동 주려고,2022.02.07 22:24
역시 중국,2022.02.07 22:24
"<<< ""윤뚱은 빽으로 군대 빠졌다""는 의혹! 국민분노 ~ >>>",2022.02.07 22:24
중국 금메달 최은순이 요양비 훔치듯 싹 뺏어가네,2022.02.07 22:23
오림픽 철수하라,2022.02.07 22:23
베이징 OOO,2022.02.07 22:23
CJ 제일제당을 톱픽으로 잡는다 !!!,2022.02.07 22:23
와~헝가리,2022.02.07 22:23
오노는? 미국이랑 싸워서 못 이기잖아,2022.02.07 22:23
헝가리 금메달 강탈하는 중공 개쑤레기들ㅋㅋㅋ,2022.02.07 22:22
이재명이 국감에서 대장동 팩트로 조지니까,2022.02.07 22:22
다음 대통령  알켜  준다  윤석열 대통령 만세 ,2022.02.07 22:21
돌대가리 윤석열,2022.02.07 22:21
그러게 대장동 ?감 유투브 보니까 국힘 개망신만 당하던데,2022.02.07 22:20
